"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,1.1315673711379,0.616853896575996,1.83441715683235,0.0665920947587035,NA,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,0.528696274958537,7.28870614558853,0.0725363685128848,0.942175063796317,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,1.16784692792451,0.832386077000228,1.40301112691988,0.160613520939582,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,-0.0135100157692002,0.320492228692101,-0.0421539574433157,0.966375966546067,0.999929152946801,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.452777523575229,0.382688360739238,1.18314945011811,0.23674992273098,NA,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-0.476927135297351,0.945456620497854,-0.504441055208025,0.613951473926882,NA,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,0.0814324037886039,0.278975647416248,0.291897893392472,0.770364694214864,0.999929152946801,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-0.274640470782545,1.83193739093271,-0.149918044220231,0.880829275379222,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.286941669800353,0.290117033010782,0.989054888720336,0.322636287289942,NA,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,-0.0225543668317667,0.292977811868467,-0.0769831909383382,0.938636916968453,0.999929152946801,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,0.989419952325309,3.25986310891994,0.3035157978315,0.761496810017798,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,0.504737207798138,0.529157787299413,0.953850098992389,0.340159525729112,NA,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,-0.783743499806347,0.650506733374935,-1.20481996510652,0.228272810830858,NA,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,-0.232533839950981,0.26739971625661,-0.869611393782596,0.384512809075145,0.999929152946801,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
