"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,0.195133058539638,0.594237983058708,0.3283752706874,0.742627938412348,0.967571464618726,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,1.76068631716184,5.03804725143011,0.349477928509315,0.726730538003951,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,1.03545313788847,0.809202408298993,1.27959720246641,0.200686834252814,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,-0.0151374239646714,0.289870598450425,-0.052221315461424,0.958352348822374,0.996568612106416,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.0444694404991366,0.350875896623896,0.12673837367291,0.899147472919385,0.991311312391804,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-0.961898949127188,0.805144650304034,-1.19469085308331,0.232207837507906,0.793484828774623,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,0.542907501370425,0.265339260482262,2.04608809259389,0.0407477043131651,0.47116181031981,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-2.10272947203732,1.95975600655937,-1.072954727527,0.283291429263846,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,-1.06374296542341,0.438640781082127,-2.42508907356756,0.0153046311445427,0.322072955189682,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.268075677355625,0.318918732530295,0.840576767719845,0.400585078343012,0.876932531870421,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,-0.504889470202742,2.87615621384446,-0.175543132105427,0.860652882393482,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,-0.628649274224304,0.543344441234841,-1.15699955040599,0.247272544034569,0.802058238272048,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,-0.228729240368137,0.524868116114215,-0.435784215778815,0.662993296974589,NA,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,-0.0285309388888022,0.229392637920559,-0.124376000674803,0.901017574473467,0.991311312391804,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,-0.805937045835576,0.880451682387319,-0.915367716318404,0.359998620577578,NA,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,0.075821351640171,0.599654618710054,0.126441703731515,0.899382292232303,NA,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,0.50874189431805,0.31515704412694,1.61424884450032,0.106473461160477,0.652839518122251,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,-0.581818065999563,1.22035024501843,-0.476763182024662,0.633530766050572,NA,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,-0.102083910675858,0.361381095986571,-0.282482708170357,0.777573403795888,0.976496814210521,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,-0.0560958965065537,0.236712727550464,-0.236978793185486,0.812673242293448,0.982585391597438,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,-0.386522173876756,0.992215596788728,-0.389554624143908,0.696865911088698,NA,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,-0.0555320750465563,0.264393871286635,-0.210035409581611,0.83364003653465,0.984700869852655,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,-0.62282540320105,0.380071487858161,-1.63870593585142,0.101274517240976,0.647245991342686,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,0.251045523106633,0.178290382626905,1.40807103225516,0.159110037664312,0.726564886758294,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,0.235114155992715,1.48189995397884,0.158657239553482,0.873938929244965,NA,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
"KH2013:KH.C1.15",41.7113326960679,-1.58294382349522,0.918870255879429,-1.72270656642402,0.0849416022781978,0.614759110467798,8,22,97,4,11,6,14,16,83,5,403,72,77,50,43,30
"KH2013:KH.C1.344",92.0899061917587,0.0860779739000861,0.667350180998366,0.128984716496686,0.897369742269111,0.991311312391804,49,118,173,100,86,72,43,27,52,115,51,103,255,204,283,354
"KH2013:KH.C1.269",397.259593059735,0.426928536351014,0.252749486829508,1.68913710451566,0.0911931586862207,0.625398192795961,511,420,378,458,675,678,404,253,230,293,186,247,706,465,715,454
"KH2013:KH.C1.1208",76.9700718061155,-0.221392894364599,0.796757799398012,-0.277867244640557,0.781114269064579,0.976496814210521,81,70,40,73,88,80,54,43,31,42,316,50,360,92,50,89
"KH2013:KH.C1.208",88.9941541196302,0.253058710613395,0.734946293120504,0.344322725323146,0.730603595659347,0.964473030380441,52,65,27,15,28,100,37,24,18,15,486,244,96,29,86,77
"KH2013:KH.C1.1011",643.409662434636,0.20342311606759,0.240325048143833,0.846449912893985,0.397301804162601,0.876932531870421,733,897,733,871,901,605,538,343,250,279,777,480,2370,1135,1489,938
"KH2013:KH.C1.230",201.741455045667,0.00808316496070912,0.380138010295741,0.0212637640587968,0.983035249391285,0.997147740153696,321,294,217,210,159,148,238,142,66,50,168,75,839,380,611,426
"KH2013:KH.C1.516",76.0739827179298,-1.20499488984216,0.423245942376288,-2.84703234974161,0.00441288777771152,0.170476508345716,72,74,67,71,87,32,62,50,58,31,252,62,287,129,163,79
"KH2013:KH.C1.897",133.798978130198,0.329358795463244,0.414698024432585,0.79421356278196,0.427071114106141,0.883545424545274,134,195,119,85,178,108,104,68,68,95,84,120,271,183,363,200
"KH2013:KH.C1.821",173.121423963017,0.0137536423330214,0.269771626230813,0.0509825385463406,0.959339434673137,0.996568612106416,225,202,128,233,258,224,237,168,101,143,277,134,440,391,442,226
"KH2013:KH.C1.329",12310.1808544586,0.297715081841447,0.182956975815769,1.62724094292658,0.103685935219793,0.648156078983797,13825,15657,14103,16126,18811,13499,18583,13907,6674,9182,15643,12714,36521,19969,27017,18602
"KH2013:KH.C1.301",306.329391770314,0.258506713636779,0.375448332265321,0.688528064772698,0.491120303297819,0.90557392673447,298,348,318,341,413,450,240,246,163,252,312,106,569,572,561,311
"KH2013:KH.C1.1197",165.121473746535,0.022720900837769,0.383877256793108,0.059187931651847,0.952802421937736,0.996568612106416,128,135,99,184,181,204,143,104,129,172,148,78,525,230,179,190
"KH2013:KH.C1.593",68.4710681969186,-0.1672368855433,0.542673979819124,-0.308171925985913,0.757951513397918,0.970506454626441,67,76,112,60,22,130,53,35,48,32,249,62,30,81,57,75
"KH2013:KH.C1.1300",670.926131160087,0.171387215307989,0.34628041679195,0.494937648786996,0.620644133934167,0.937764607213288,445,635,431,607,835,883,765,530,347,394,602,351,804,519,924,745
"KH2013:KH.C1.582",31.9657894552891,0.130083867547587,0.889057268062293,0.146316634732772,0.883671434561591,NA,15,20,38,6,32,15,60,12,8,7,38,110,83,26,52,8
"KH2013:KH.C1.78",195.177612937017,0.204712719897853,0.303994712705527,0.673408817133453,0.500687240769794,0.909152660239704,187,240,119,240,247,241,216,179,86,122,119,107,361,266,351,227
"KH2013:KH.C1.1225",17.669103035408,-1.63397498167365,0.893523606894836,-1.82868697487695,0.0674465148199181,NA,23,13,8,6,7,51,29,12,3,2,6,27,63,31,15,25
"KH2013:KH.C1.671",37.7438569561875,-0.265674235855086,0.440756063574128,-0.60276932709833,0.546662154496311,NA,53,40,57,61,57,26,37,27,21,44,45,23,279,140,115,65
"KH2013:KH.C1.287",7505.20198627257,0.174865602974988,0.178230983337589,0.981117871317428,0.326534618412776,0.846804819730411,9859,9531,7526,9519,5383,5492,11001,8148,3445,4202,5119,5814,26596,12865,18041,13668
"KH2013:KH.C1.869",41.1189343718194,-0.478346242609932,0.798572447373075,-0.59900168630093,0.549171760062273,0.922790834075558,24,25,61,57,60,32,13,38,37,8,164,39,68,12,34,42
"KH2013:KH.C1.1216",696.909481687381,0.231514112791583,0.260058096988927,0.890239971268574,0.373337046109147,0.868187407823639,770,863,593,905,967,516,1005,840,526,556,2220,658,2054,1006,1520,979
"KH2013:KH.C1.1220",27.7634618045383,-2.09778541222684,1.11305616541581,-1.8847075982398,0.0594693259609037,NA,8,12,17,4,21,13,5,13,10,6,108,56,33,85,8,22
"KH2013:KH.C1.791",242.004929344913,-0.00466338737217195,0.406934862017115,-0.0114597883038485,0.990856611971297,0.998019455865778,188,194,167,69,753,533,143,178,185,422,605,216,554,256,274,203
"KH2013:KH.C1.1166",15.5394081140114,-4.65040331430134,1.51412167417684,-3.07135377137345,0.00213090510791389,NA,7,20,11,10,29,16,5,11,10,6,46,7,19,5,9,3
"KH2013:KH.C1.1253",7.9316383217624,-1.74521358601142,1.27697036639632,-1.36668291758132,0.171724714504881,NA,6,0,0,11,21,15,3,2,3,16,26,9,5,8,2,1
"KH2013:KH.C1.139",260.729488924044,-0.0414968869820009,0.315126118790821,-0.131683426119135,0.895234695387289,0.990827269968641,320,321,173,260,468,423,233,173,148,178,213,184,868,369,414,290
"KH2013:KH.C1.631",2209.54162956342,-0.0443127427007354,0.214149988896926,-0.206923861770845,0.836069320800034,0.984700869852655,1462,1374,1222,1224,2928,4841,1912,1538,2112,2564,1113,1549,3654,1754,1933,1685
"KH2013:KH.C1.130",743.426273386777,0.218691116576403,0.301809805559307,0.724599110261278,0.468698004924974,0.901626550125834,850,862,674,796,590,449,904,600,458,583,448,563,1986,1107,1264,1196
"KH2013:KH.C1.608",413.799053569684,-0.0267987714913253,0.509524827562007,-0.0525956146622983,0.958054111128848,0.996568612106416,231,197,407,457,587,1357,596,309,131,104,1377,496,345,497,720,493
"KH2013:KH.C1.1246",1.59659395854191,-1.6251171500386,2.3246269510583,-0.699087287660828,0.484497482526476,NA,1,1,0,0,1,0,1,0,0,0,1,1,2,3,1,0
