"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,1.00378841225928,0.693953305824764,1.44647832041995,0.148043088424198,0.349385728576204,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,0.693386452894438,5.79810955951233,0.119588366824989,0.904809235513544,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,0.973064886991582,0.933556167005166,1.04232066733934,0.297263033514197,0.524500927752918,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,0.0328750353864715,0.334461896200829,0.0982923189753475,0.921700177217837,0.963348266249084,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.46868228288174,0.405176899502113,1.15673495566421,0.247380663535649,0.470023277762852,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,-2.25635541483032,0.918880110182802,-2.45554930379486,0.0140669454899409,0.0717795243055257,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,1.29880597574655,0.306717436604,4.23453583248164,2.29024266028948e-05,0.000580301047820863,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,-0.0481193881658832,2.32381986689818,-0.0207070215946267,0.983479367799365,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,-1.23866135277574,0.503347417867907,-2.46084773420015,0.0138609178215629,0.0712620275552636,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.000282284692090379,0.367288173259988,0.000768564611228474,0.999386774223093,0.999912216459207,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,-1.60353524532941,3.22291090371722,-0.497542530102193,0.618806519118538,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,-1.68168321353024,0.621321716816262,-2.70662229890727,0.00679715411231855,0.0440863761636132,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,-0.231285588535523,0.594927057585501,-0.388762934189261,0.69745152234908,0.83771743024588,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,-0.620488960234702,0.263429761875573,-2.35542467114168,0.0185015478424661,0.0872372279882463,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
