"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,0.938489505393848,0.567645963123084,1.65330076555191,0.0982696672748761,0.366811513953965,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,-1.8892535483692,4.96406918875295,-0.380585659976227,0.703510723604469,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,1.45445975364593,0.787301550770597,1.84739856313293,0.0646893972974872,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,0.37370243704859,0.289593655751656,1.29043723723376,0.196898890177127,0.505348987959624,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.468581881178057,0.348715683881425,1.34373618061122,0.179033713197143,0.484777616680663,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,0.474552506564794,0.794802110008611,0.597070013515254,0.55046063727862,0.792806931288091,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,-0.67185804900217,0.265582170716055,-2.52975584615009,0.0114141922910763,0.107637228112376,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,1.24577076902457,1.52549633780398,0.816633077479501,0.414138146247163,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.534745933048734,0.430291917724146,1.24275151594075,0.213959413865884,0.523376910687064,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.177731768455257,0.320075780497998,0.555280278247635,0.578702966280183,0.808470799102495,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,-2.19249557504087,2.90333564175367,-0.755164350793616,0.450150375715158,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,0.570682518200832,0.533835287565724,1.06902359490533,0.285059037641023,0.601584565326889,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,1.44394664778488,0.475112525659773,3.03916771249025,0.00237232747079453,0.0403766454175302,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,0.215003536370519,0.231423791117879,0.929046816370766,0.352864824622207,0.659140699587413,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,-1.12452641410232,0.900265105413994,-1.24910585486393,0.211626359474698,0.520100283859905,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,1.27414120502643,0.582908754032046,2.18583302483116,0.0288278236700991,0.188185430882066,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,-0.199378930914498,0.315398651709953,-0.632148963965297,0.527289542674674,0.782714968975998,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,0.160430981177359,1.17499637768883,0.136537426177365,0.891396439761048,NA,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,1.12927085067912,0.360578481089649,3.1318309602573,0.00173719864804779,0.0326444867316058,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,-0.235985189169158,0.238369359511353,-0.989997999964918,0.322175096601181,0.631086023320551,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,-0.33389747514157,0.950422328371622,-0.351314847278097,0.725352157454108,0.885878931995668,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,0.587542785024382,0.264220683431669,2.22368202743798,0.0261698452796457,0.177912868991432,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,0.273101211892833,0.378285417616253,0.721944857440625,0.470328380687916,0.743609936560083,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,0.134305461437024,0.177588798062754,0.756272146115686,0.449486044586593,0.728951230452152,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,-0.676786193850615,1.501800943908,-0.450649732639983,0.652242016820723,NA,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
