"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C1.286",50.7510885924162,0.278975283227882,0.597561987388307,0.466855805951054,0.640603045972627,0.894286092262134,55,51,50,53,92,19,32,42,41,46,128,83,70,114,60,77
"KH2013:KH.C1.560",0.46593380744501,-2.91149709225255,7.15540866140407,-0.406894592611743,0.684085407666738,NA,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0
"KH2013:KH.C1.907",14.5444481606357,0.769175307969204,0.777423201340838,0.989390729068274,0.322472008708093,NA,14,13,8,9,39,11,10,3,2,4,26,25,14,16,41,20
"KH2013:KH.C1.1180",1487.86280180981,0.677338995501494,0.321840842068591,2.10457750218395,0.0353281017058648,0.265094946759201,1426,1346,1129,1440,2039,1911,1854,1304,1123,1237,1046,1078,4926,2394,2505,2059
"KH2013:KH.C1.526",339.085645887788,0.571043115985889,0.387158322021578,1.47496019975534,0.140223244009014,0.508813953517965,316,356,202,250,615,573,352,281,232,316,351,292,553,312,368,239
"KH2013:KH.C1.183",50.2834836549822,0.443048155670176,0.943383262278813,0.469637498761596,0.638614028868981,0.893872697744814,55,25,64,44,307,15,62,14,36,7,76,65,37,48,30,25
"KH2013:KH.C1.172",2239.87671665839,-0.439371468463903,0.280206158540242,-1.56802930653933,0.116874293055536,0.470365255940022,2484,2782,1385,2293,4399,2419,3068,2428,1910,2098,6331,1885,4422,2421,3140,2905
"KH2013:KH.C1.969",2.36313878286063,1.50520389939247,1.87013726318438,0.804862792172527,0.420898861718701,NA,4,3,0,0,1,2,0,1,0,0,8,5,0,2,0,4
"KH2013:KH.C1.655",238.865407619354,0.14886968195614,0.286789478421642,0.519090458881025,0.603697661483902,0.879589172608585,87,141,125,118,267,507,260,117,112,137,275,141,634,262,306,164
"KH2013:KH.C1.962",451.578337228838,0.7874213381234,0.301873676715047,2.60844650879144,0.00909542259755857,0.127894203174877,437,466,350,407,702,658,470,397,382,460,429,298,969,533,924,644
"KH2013:KH.C1.403",2.31761881347799,-2.89035013442063,3.37955791548497,-0.855245036984628,0.392415508261071,NA,0,14,3,4,7,0,1,4,0,0,2,0,11,2,0,0
"KH2013:KH.C1.881",110.212747920876,-0.0511438807911187,0.515249425146051,-0.0992604325111505,0.920931493502129,0.979560082592097,70,92,96,123,232,120,95,70,30,99,53,102,399,185,263,102
"KH2013:KH.C1.1034",26.4632730263252,1.65261772447768,0.640593043604085,2.57982464995213,0.00988504945358919,0.134027131678997,24,18,16,12,53,72,22,18,21,14,16,17,57,30,27,60
"KH2013:KH.C1.165",592.332298971341,0.365268234995212,0.270561026286953,1.35004010003944,0.177003120467459,0.564251428140699,598,661,569,738,918,1191,662,611,282,254,659,254,1069,837,1255,913
"KH2013:KH.C1.709",33.719088787804,-1.37324500490927,1.03927880926379,-1.32134417893314,0.186386629521782,0.576800639487422,41,12,17,18,93,238,55,30,8,17,19,22,33,46,16,24
"KH2013:KH.C1.841",29.9990813977889,1.67987338240349,0.719937276728212,2.33336074781091,0.0196292195844922,0.188367913780671,27,18,29,20,91,63,59,36,14,4,19,24,38,66,50,14
"KH2013:KH.C1.1238",574.212159458034,0.0303863841824563,0.340329103086504,0.0892852944602057,0.928855180711393,0.980667223869948,713,711,558,622,889,702,805,601,446,600,449,637,1951,848,874,731
"KH2013:KH.C1.443",10.8078677456409,-0.423824915857884,1.38419235544282,-0.306189319852368,0.759460503679981,NA,2,7,0,7,2,4,7,10,6,2,16,12,32,4,9,11
"KH2013:KH.C1.914",116.384336691763,0.703010502006992,0.355544789383247,1.97727690856188,0.0480103383425076,0.308359704613209,128,199,90,114,171,192,92,89,55,149,173,86,432,215,233,158
"KH2013:KH.C1.150",577.214478900475,-0.264914496931965,0.290912389341057,-0.910633258116027,0.362488640828093,0.750687254288765,922,750,451,705,1044,619,731,576,298,445,758,431,1470,831,1244,844
"KH2013:KH.C1.771",23.0699468403475,-1.07094229802027,1.06962503682432,-1.00123151679383,0.316714892822037,0.712187517683255,11,8,18,6,23,14,12,25,8,5,26,36,84,36,34,34
"KH2013:KH.C1.110",271.857253180905,0.373234261110697,0.296002560680597,1.26091564969074,0.20733923916028,0.601398647799115,247,251,273,405,387,221,146,209,163,171,796,187,566,388,633,546
"KH2013:KH.C1.831",347.805720676782,0.0262983232799303,0.334330703171477,0.0786596116673198,0.93730337111761,0.982078349267224,302,307,197,230,398,612,370,218,101,244,723,269,1290,705,952,370
"KH2013:KH.C1.997",1309.07771136847,0.290175078812675,0.187363166666652,1.5487306495462,0.121446482792917,0.478647141502119,1216,1228,1093,1327,1903,1841,1645,1288,1041,1190,1486,1336,3148,1498,1983,1737
"KH2013:KH.C1.781",5.06721276758372,-1.56283201298993,1.57560659179239,-0.991892278904515,0.321250075963498,NA,4,16,4,5,0,2,11,0,0,1,5,7,18,13,3,19
"KH2013:KH.C1.15",41.7113326960679,-0.0225293782151733,0.909779005085251,-0.0247635723502569,0.980243547195167,0.995080727058699,8,22,97,4,11,6,14,16,83,5,403,72,77,50,43,30
"KH2013:KH.C1.344",92.0899061917587,0.063602683350609,0.765684546495654,0.0830664320465948,0.933798716918507,0.981654962584039,49,118,173,100,86,72,43,27,52,115,51,103,255,204,283,354
"KH2013:KH.C1.269",397.259593059735,-0.117181707417168,0.296976456889799,-0.394582481872127,0.693151044094124,0.911902993342949,511,420,378,458,675,678,404,253,230,293,186,247,706,465,715,454
"KH2013:KH.C1.1208",76.9700718061155,0.306960459128785,0.894149856852928,0.34329867278531,0.731373779177101,0.925389855892924,81,70,40,73,88,80,54,43,31,42,316,50,360,92,50,89
"KH2013:KH.C1.208",88.9941541196302,0.184036800234635,0.584825252305532,0.314686822275738,0.75299945060992,0.930303495772926,52,65,27,15,28,100,37,24,18,15,486,244,96,29,86,77
"KH2013:KH.C1.1011",643.409662434636,-0.607811485163493,0.296494429314736,-2.04999293433027,0.04036512031298,0.282583363630057,733,897,733,871,901,605,538,343,250,279,777,480,2370,1135,1489,938
"KH2013:KH.C1.230",201.741455045667,-0.401284344210679,0.437704818991192,-0.916792154894585,0.359251564357839,0.748026927036319,321,294,217,210,159,148,238,142,66,50,168,75,839,380,611,426
"KH2013:KH.C1.516",76.0739827179298,0.300603179620331,0.392438653011838,0.765987695945086,0.443683623311727,0.798879428511052,72,74,67,71,87,32,62,50,58,31,252,62,287,129,163,79
"KH2013:KH.C1.897",133.798978130198,-0.206650896578048,0.502968143139883,-0.410862793989272,0.681173145527754,0.91023199569751,134,195,119,85,178,108,104,68,68,95,84,120,271,183,363,200
"KH2013:KH.C1.821",173.121423963017,-0.180064163948411,0.328621410274781,-0.547938017178636,0.583734463518085,0.873893010326053,225,202,128,233,258,224,237,168,101,143,277,134,440,391,442,226
"KH2013:KH.C1.329",12310.1808544586,-0.0228672505367076,0.181887750615064,-0.12572177323311,0.899952166071205,0.973373486633181,13825,15657,14103,16126,18811,13499,18583,13907,6674,9182,15643,12714,36521,19969,27017,18602
"KH2013:KH.C1.301",306.329391770314,-0.399383397613085,0.426568654757272,-0.936269913785259,0.349134234551153,0.74105231513461,298,348,318,341,413,450,240,246,163,252,312,106,569,572,561,311
"KH2013:KH.C1.1197",165.121473746535,1.18777872864253,0.427727187264117,2.77695401183159,0.00548709420404309,0.0918433653119904,128,135,99,184,181,204,143,104,129,172,148,78,525,230,179,190
