counts	countsprimedCardiacPeaks	countsdenovoCardiacPeaks	countsprimedAsmPeaks	countsdenovoAsmPeaks	log2OddsRatioprimedCardiacPeaks	log2OddsRatiodenovoCardiacPeaks	log2OddsRatioprimedAsmPeaks	log2OddsRatiodenovoAsmPeaks	pprimedCardiacPeaks	pdenovoCardiacPeaks	pprimedAsmPeaks	pdenovoAsmPeaks	fdrprimedCardiacPeaks	fdrdenovoCardiacPeaks	fdrprimedAsmPeaks	fdrdenovoAsmPeaks
TFAP2C	950	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ARID3B	1189	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HEY1.2	1113	0	0	2	0	-Inf	-Inf	2.92586296768684	-Inf	1	1	0.034812357090498	1	1	1	0.469715629715519	1
MSGN1	758	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
HAND1.2	1834	1	0	0	0	3.30175464470922	-Inf	-Inf	-Inf	0.124516915680755	1	1	1	1	1	1	1
MAX	1246	0	0	1	0	-Inf	-Inf	1.65260290114507	-Inf	1	1	0.286101024498061	1	1	1	1	1
TFAP4	1074	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
KH2013.KH.C10.106	2681	1	0	2	0	2.73127724712021	-Inf	1.61580002970028	-Inf	0.177920735402192	1	0.159155021224267	1	1	1	0.998336042224949	1
HES1.4.5	1969	0	1	3	0	-Inf	2.45872538516501	2.78065348005238	-Inf	1	0.192991685366037	0.0143225766797249	1	1	1	0.282359368828863	1
USF1.2	2520	1	0	2	0	2.82496715649857	-Inf	1.70948993907863	-Inf	0.167962998980807	1	0.144078792248339	1	1	1	0.946803491917657	1
TCF12.3.4	1010	0	0	1	0	-Inf	-Inf	1.96174643932557	-Inf	1	1	0.238600717600071	1	1	1	1	1
HER	1942	0	1	1	0	-Inf	2.47936485095705	0.993938023786805	-Inf	1	0.190572946543528	0.410579087364966	1	1	1	1	1
NFIL3	3182	0	0	4	0	-Inf	-Inf	2.59604852336856	-Inf	1	1	0.00851722135025446	1	1	1	0.211779469649404	1
BATF.3	922	1	0	1	0	4.3179586179386	-Inf	2.09556619660216	-Inf	0.0641496162967126	1	0.220145814501688	1	1	1	1	1
TEFB	3254	0	0	4	0	-Inf	-Inf	2.56180347534822	-Inf	1	1	0.00920780302823495	1	1	1	0.211779469649404	1
XBP1	2134	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
MAF	1169	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ATF4B1.2	6942	0	1	6	1	-Inf	0.501781344404604	2.23874693857081	-0.76125306142919	1	0.547408856037281	0.00662183859756182	0.820534899464857	1	1	0.211779469649404	1
CREB3L3	5941	1	1	4	0	1.49248073858174	0.755515144415538	1.6180116206656	-Inf	0.360998547192888	0.489204262925347	0.0662050659212024	1	1	1	0.609086606475062	1
