counts	countsprimedCardiacPeaks	countsdenovoCardiacPeaks	countsprimedAsmPeaks	countsdenovoAsmPeaks	log2OddsRatioprimedCardiacPeaks	log2OddsRatiodenovoCardiacPeaks	log2OddsRatioprimedAsmPeaks	log2OddsRatiodenovoAsmPeaks	pprimedCardiacPeaks	pdenovoCardiacPeaks	pprimedAsmPeaks	pdenovoAsmPeaks	fdrprimedCardiacPeaks	fdrdenovoCardiacPeaks	fdrprimedAsmPeaks	fdrdenovoAsmPeaks
EBF	646	0	0	1	0	-Inf	-Inf	2.61599844706945	-Inf	1	1	0.159520261268084	1	1	1	1	1
K562_GATA2_UChicago	908	1	0	0	0	4.34039913778624	-Inf	-Inf	-Inf	0.0631992646399351	1	1	1	1	1	1	1
ALX3_1	936	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ALX3_2	928	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ALX3_3	863	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ALX4_1	940	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
ARNTL_1	2431	0	0	2	0	-Inf	-Inf	1.76375865187139	-Inf	1	1	0.135900163119795	1	1	1	1	1
ARX_1	804	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
BARX1_1	1083	0	0	0	1	-Inf	-Inf	-Inf	2.08154757390609	1	1	1	0.223912184429311	1	1	1	1
BARX1_2	796	0	1	1	0	-Inf	3.79628260497855	2.31085577780831	-Inf	1	0.0821879885825098	0.19299390095219	1	1	0.923334640493887	1	1
BHLHA15_1	788	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
BSX_1	792	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
CART1_1	1090	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
CDX1_1	1824	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
CDX2_1	1799	0	0	0	0	-Inf	-Inf	-Inf	-Inf	1	1	1	1	1	1	1	1
DBP_1	2862	0	0	3	0	-Inf	-Inf	2.21708978197949	-Inf	1	1	0.0380953385429586	1	1	1	0.625067475665568	1
