counts	countsheart15.promoter500	countsheart15.promoter1k	countsheart15.TSS	countsheart15.five_prime_utr	countsheart15.CDS	countsheart15.intron	countsheart15.TTS	countsheart15.three_prime_utr	countsheart15.intergenic	countsheart15.TSC	countsheart15.genome	countsasm15.promoter500	countsasm15.promoter1k	countsasm15.TSS	countsasm15.five_prime_utr	countsasm15.CDS	countsasm15.intron	countsasm15.TTS	countsasm15.three_prime_utr	countsasm15.intergenic	countsasm15.TSC	countsasm15.genome	log2OddsRatioheart15.promoter500	log2OddsRatioheart15.promoter1k	log2OddsRatioheart15.TSS	log2OddsRatioheart15.five_prime_utr	log2OddsRatioheart15.CDS	log2OddsRatioheart15.intron	log2OddsRatioheart15.TTS	log2OddsRatioheart15.three_prime_utr	log2OddsRatioheart15.intergenic	log2OddsRatioheart15.TSC	log2OddsRatioheart15.genome	log2OddsRatioasm15.promoter500	log2OddsRatioasm15.promoter1k	log2OddsRatioasm15.TSS	log2OddsRatioasm15.five_prime_utr	log2OddsRatioasm15.CDS	log2OddsRatioasm15.intron	log2OddsRatioasm15.TTS	log2OddsRatioasm15.three_prime_utr	log2OddsRatioasm15.intergenic	log2OddsRatioasm15.TSC	log2OddsRatioasm15.genome	pheart15.promoter500	pheart15.promoter1k	pheart15.TSS	pheart15.five_prime_utr	pheart15.CDS	pheart15.intron	pheart15.TTS	pheart15.three_prime_utr	pheart15.intergenic	pheart15.TSC	pheart15.genome	pasm15.promoter500	pasm15.promoter1k	pasm15.TSS	pasm15.five_prime_utr	pasm15.CDS	pasm15.intron	pasm15.TTS	pasm15.three_prime_utr	pasm15.intergenic	pasm15.TSC	pasm15.genome	fdrheart15.promoter500	fdrheart15.promoter1k	fdrheart15.TSS	fdrheart15.five_prime_utr	fdrheart15.CDS	fdrheart15.intron	fdrheart15.TTS	fdrheart15.three_prime_utr	fdrheart15.intergenic	fdrheart15.TSC	fdrheart15.genome	fdrasm15.promoter500	fdrasm15.promoter1k	fdrasm15.TSS	fdrasm15.five_prime_utr	fdrasm15.CDS	fdrasm15.intron	fdrasm15.TTS	fdrasm15.three_prime_utr	fdrasm15.intergenic	fdrasm15.TSC	fdrasm15.genome
TFAP2C	950	0	0	0	0	0	1	0	0	0	0	1	3	2	3	2	0	4	2	0	3	0	9	-Inf	-Inf	-Inf	-Inf	-Inf	-0.388899569764343	-Inf	-Inf	-Inf	-Inf	-1.56723681102285	0.325049371676892	0.0646120773291369	1.08643843978232	1.00104694855167	-Inf	0.304439092001606	1.46671052090048	-Inf	0.889401592722762	-Inf	0.277408886032457	1	1	1	1	1	0.731854144455039	1	1	1	1	0.948170165033695	0.43264440115331	0.572646246235436	0.174867367535135	0.270251518537514	1	0.409581773692962	0.170847768259174	1	0.22689145905816	1	0.33053978304835	1	1	1	1	1	0.978629532470707	1	1	1	1	1	1	1	0.709755785877899	0.95747517587637	1	0.96811294888321	1	1	1	1	0.996883262862533
ARID3B	1189	1	0	1	1	0	2	1	1	0	1	2	3	2	3	1	1	2	2	0	1	1	6	0.774124305229665	-Inf	1.20708371250577	1.00544985133612	-Inf	0.300193116897253	2.06958018875584	1.82857208925204	-Inf	3.20708371250577	-0.888840707492764	-0.00496676460921756	-0.265404058956972	0.756422303496206	-0.353631241968708	-1.52627062810806	-1.04084380093781	1.13669438461437	-Inf	-1.05595069332802	0.774124305229665	-0.647576924330189	0.451228670500095	1	0.362388865778632	0.402099019587795	1	0.487720685182579	0.226737923656192	0.259180938789157	1	0.120640672427902	0.883809722430903	0.581775460824367	0.694117013448706	0.269242578046045	0.723693003634471	0.94355720020337	0.916046399687452	0.239213819375077	1	0.875084768416434	0.451228670500095	0.906070443872984	0.974520853195393	1	0.909180505362115	0.867026010986182	1	0.978629532470707	0.905885532468691	0.950302438147354	1	0.607359615153856	1	1	1	0.905846582173224	0.97478453089795	1	0.96811294888321	1	1	1	0.890248763409715	0.996883262862533
HEY1.2	1113	2	2	1	1	2	2	1	1	1	0	3	2	1	1	1	3	3	1	1	3	2	10	1.92586296768684	1.71941209021942	1.30437459094057	1.10274072977092	1.30437459094057	0.397483995332054	2.16687106719064	1.92586296768684	-0.304434651734952	-Inf	-0.198125749588611	-0.502980331117032	-1.18105223622967	-0.766014736950826	-0.256340363533907	0.17784218501164	-0.350977237671982	0.200037931125837	0.719412090219416	0.656676334871453	1.92586296768684	0.200037931125837	0.106028810927881	0.132256712061293	0.343590858992244	0.381910931266087	0.202616752123489	0.453345196541404	0.213793152017536	0.244691977674604	0.711576658162304	1	0.669706382277316	0.775365686794493	0.896388194183564	0.818211833307676	0.699767157989008	0.498099263828833	0.736103873829567	0.58613574098714	0.462856154031978	0.302737257865047	0.106028810927881	0.376681703682541	0.743738960788153	0.6948362516184	0.909180505362115	0.867026010986182	1	0.978629532470707	0.905885532468691	0.950302438147354	1	1	1	1	1	1	0.97478453089795	1	0.96811294888321	1	0.986972318658765	1	0.483912355101157	0.996883262862533
MSGN1	758	0	0	0	0	0	0	0	0	1	0	1	2	4	1	0	2	2	0	0	2	0	6	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	0.259035075399106	-Inf	-1.23649234174011	0.0604893960170254	1.42158808818507	-0.202545009816768	-Inf	0.145378293603539	-0.380083195368956	-Inf	-Inf	0.619916804631044	-Inf	0.0131836812386691	1	1	1	1	1	1	1	1	0.570031315424888	1	0.905343767021702	0.573708861763503	0.0676009553992237	0.685696042503339	1	0.542309177187948	0.734214170136869	1	1	0.377855735442774	1	0.547276913754524	1	1	1	1	1	1	1	1	1	1	1	1	0.747095679671098	1	1	1	0.96811294888321	1	1	1	1	0.996883262862533
HAND1.2	1834	1	2	0	0	1	2	0	0	3	0	7	1	1	0	0	2	4	1	1	2	0	7	0.131829643266908	0.979826549821858	-Inf	-Inf	-0.470834859187707	-0.342101545065504	-Inf	-Inf	0.589036596789692	-Inf	0.319032636141056	-2.25283420696842	-1.92063777662723	-Inf	-Inf	-1.15767697392808	-0.667871706247261	-0.539547609271721	-0.0201734501781419	-0.683138462900571	-Inf	-1.06415114723874	0.605863784881823	0.281529143113795	1	1	0.752604098378978	0.72163528453621	1	1	0.330794841360257	1	0.337709626476325	0.991144225403439	0.976725246357011	1	1	0.935940918398132	0.876538434903514	0.768529898759146	0.643293883200484	0.830080154312272	1	0.989939809863015	1	1	1	1	1	0.978629532470707	1	1	1	1	1	1	1	1	1	1	0.96811294888321	1	1	1	1	0.996883262862533
MAX	1246	2	2	1	1	1	2	1	1	3	0	5	3	3	2	2	2	2	0	0	3	1	9	1.75951810506158	1.55306722759415	1.13802972831531	0.936395867145657	0.102405818584587	0.231139132706789	2.00052620456537	1.75951810506158	1.16227727456199	-Inf	0.389568495311272	-0.074020748799681	0.263560610399167	0.0849183918557455	0.601976828075098	-0.584436296155783	-1.10989778512828	-Inf	-Inf	0.490331472246189	0.705070321039202	-0.121661234444116	0.127715869475738	0.158395291849121	0.376149718565013	0.416823779142319	0.610880390451176	0.512624682658826	0.236317964991832	0.269877823267431	0.159258336604853	1	0.340128502112045	0.613566251925893	0.460397537357842	0.565934064955258	0.386141410396243	0.80105848116044	0.928531037323563	1	1	0.3656306077152	0.466963946458408	0.644367728914567	0.743738960788153	0.753743112937195	0.910678265999506	0.871540629115758	1	0.978629532470707	0.905885532468691	0.950302438147354	1	1	1	1	1	1	0.968863902448755	1	0.96811294888321	1	1	1	0.890248763409715	0.996883262862533
TFAP4	1074	2	3	1	1	1	3	0	0	0	0	4	0	1	0	0	3	3	0	0	0	0	4	1.97834563412861	2.40576685786329	1.35685725738234	1.15522339621269	0.321233347651622	1.05429448736191	-Inf	-Inf	-Inf	-Inf	0.277905915987521	-Inf	-1.1285695697879	-Inf	-Inf	0.230324851453411	-0.298494571230211	-Inf	-Inf	-Inf	-Inf	-1.08939897250722	0.0998860242032529	0.0229873342850158	0.333740755420538	0.371299244780711	0.556166796690514	0.183376069987473	1	1	1	1	0.423201339602316	1	0.887734639348759	1	1	0.474502594102555	0.713807122401722	1	1	1	1	0.969876800880075	0.743738960788153	0.396531516416522	0.909180505362115	0.867026010986182	1	0.978629532470707	1	1	1	1	1	1	1	1	1	1	0.96811294888321	1	1	1	1	0.996883262862533
KH2013.KH.C10.106	2681	3	5	2	2	3	5	1	1	6	0	12	7	5	4	4	7	9	3	2	3	3	16	1.2573460587878	1.88328034056526	1.06831223439778	0.85680812920407	0.615800029700275	0.468242841286417	0.85680812920407	0.615800029700275	1.09384732650492	-Inf	0.570285370447907	0.0467790728481405	-0.116719659434739	-0.0236102550432575	0.508884825783763	0.134909983126805	-0.0295350890003628	0.54365024394444	0.458258752713795	-0.653386603115114	1.2573460587878	-0.411680706721832	0.147850571056962	0.0170476854806517	0.265582957178115	0.319467899738272	0.325352385316386	0.307392525530056	0.444450932727288	0.496301431152355	0.0752451775186722	1	0.126640496075461	0.521251524179076	0.632606040692477	0.583876591730424	0.322399007835761	0.46008749979295	0.571450021703301	0.351855783380184	0.440050573038982	0.848088235655739	0.147850571056962	0.896779723586862	0.784585340334172	0.380622318276619	0.909180505362115	0.867026010986182	1	0.978629532470707	1	1	1	1	0.796549030104341	1	1	1	0.95747517587637	1	0.96811294888321	1	0.986972318658765	1	0.523163559124636	0.996883262862533
HES1.4.5	1969	1	1	0	0	1	2	0	0	4	0	8	3	4	2	2	3	5	3	2	4	2	12	0.0257659778889064	-0.1735428303345	-Inf	-Inf	-0.576898524565709	-0.448165210443506	-Inf	-Inf	0.922672484924803	-Inf	0.414331265806559	-0.753325091949976	0.0124691552754487	-0.59438595129455	-0.077327515075197	-0.667807020763919	-0.444312884947899	1.00806397615545	0.922672484924803	0.241494668944344	1.08021376191128	-0.375851005627616	0.632426736737438	0.681409995457427	1	1	0.777190869453602	0.757588194305739	1	1	0.173029003992223	1	0.26358355457598	0.878868220521184	0.563610102038886	0.803973271404781	0.627205519303723	0.853223588830022	0.807378788076685	0.200252259440669	0.297212537460487	0.444406531100128	0.257800176486919	0.848721328173467	1	1	1	1	1	0.978629532470707	1	1	1	1	1	1	1	1	0.97478453089795	1	0.96811294888321	1	0.986972318658765	1	0.808555098981702	0.996883262862533
USF1.2	2520	3	4	2	2	2	5	1	1	6	0	11	6	4	3	3	5	6	1	1	3	2	13	1.35103596816615	1.60257473516212	1.16200214377614	0.950498038582426	0.0880015623323606	0.561932750664773	0.950498038582426	0.709489939078631	1.18753723588327	-Inf	0.529511272972395	-0.0925706833094601	-0.358254667557203	-0.362659846677205	0.162002143776137	-0.279369503316169	-0.544266653167152	-1.01633509748238	-0.496960938388796	-0.559696693736758	0.709489939078631	-0.627722884259675	0.129345906224027	0.0537669893107536	0.242902861420362	0.293615843095233	0.568459438128355	0.26444675847227	0.424015981189949	0.474619755178837	0.0593624778526539	1	0.15703747814137	0.618245963433625	0.752359460538333	0.741029459252384	0.509323763507134	0.724145947734709	0.865981343853686	0.867794861847459	0.759589757430196	0.81659763167159	0.360330517781015	0.960632583700691	0.743738960788153	0.571861050316429	0.909180505362115	0.867026010986182	1	0.978629532470707	1	1	1	1	0.797729553100687	1	1	1	0.97478453089795	1	0.96811294888321	1	1	1	0.862340208360832	0.996883262862533
TCF12.3.4	1010	1	0	0	0	1	2	0	1	0	0	3	1	2	1	0	1	3	1	1	3	0	7	1.0142138592197	-Inf	-Inf	-Inf	0.411549356765086	0.540282670887289	-Inf	2.06866164324208	-Inf	-Inf	-0.0553270740333762	-1.37044999101562	-0.0253145049669365	-0.623216061395591	-Inf	-1.28618107411802	-0.208178562116747	0.342836606681071	0.862210765774651	0.799475010426688	-Inf	-0.181766931285951	0.398848302106868	1	1	1	0.533948037869516	0.404808386994537	1	0.22463541641197	1	1	0.604662517432534	0.924493901943263	0.606097786187645	0.786835734534263	1	0.912648441035186	0.674144579161332	0.550593606765074	0.430757661501858	0.254454608359441	1	0.680245817513771	0.974520853195393	1	1	1	1	0.978629532470707	1	0.950302438147354	1	1	1	1	1	1	1	1	0.96811294888321	1	0.986972318658765	1	1	0.996883262862533
HER	1942	2	2	1	2	3	4	0	0	3	0	9	5	2	4	3	3	6	3	2	4	1	13	1.10085322770332	0.894402350235891	0.479364850957047	1.34186132720711	1.10085322770332	0.611468386964392	-Inf	-Inf	0.503612397203725	-Inf	0.613665942668638	0.025188957771245	-0.993122920505697	0.461442942959785	0.553365432400824	-0.647167554971884	-0.152903364542466	1.02870344194748	0.943311950716837	0.262134134736378	0.0464054436809408	-0.236359595634989	0.252756130382377	0.304549986655061	0.522934231977525	0.201224530488797	0.177254285093718	0.277033262936772	1	1	0.363633844890848	1	0.147710047071985	0.547813786426566	0.905974710205441	0.339722013143808	0.344607678151568	0.846638310590192	0.65652032371802	0.194824366154582	0.291634029903755	0.433972921183125	0.627256187105861	0.756834980588655	0.974520853195393	1	1	0.867026010986182	1	0.978629532470707	1	1	1	1	0.796549030104341	1	1	1	0.95747517587637	1	0.96811294888321	1	0.986972318658765	1	0.991472118064054	0.996883262862533
NFIL3	3182	0	2	0	1	1	4	0	0	0	0	6	7	8	4	2	5	7	2	1	6	1	21	-Inf	0.148589546397337	-Inf	-0.468081814051157	-1.30207186261223	-0.134344416874161	-Inf	-Inf	-Inf	-Inf	-0.74326164974704	-0.213980532987371	0.341234624339734	-0.284369860878769	-0.802500853121716	-0.633819018530036	-0.668546396452852	-0.336837280772904	-0.851410453602663	0.132648002528316	-0.699407360157613	-0.263008868914735	1	0.548825850568053	1	0.753887792971586	0.914037931148654	0.642197281490266	1	1	1	1	0.931546663332725	0.700937246336267	0.311528448826423	0.717308303299223	0.86155695024312	0.882689184261819	0.923230142449876	0.72097555359095	0.83650802746585	0.474141524373077	0.805181922253569	0.821067616154409	1	1	1	1	1	0.978629532470707	1	1	1	1	1	1	1	1	1	1	0.96811294888321	1	1	1	1	0.996883262862533
BATF.3	922	2	1	2	1	1	1	0	0	0	0	2	6	5	5	4	1	6	3	1	1	1	10	2.20248140051867	0.948724808272885	2.65499360521617	1.37935916260275	0.545369114041677	-0.345006394783825	-Inf	-Inf	-Inf	-Inf	-0.514931396226138	1.40042077813058	1.46996171138365	1.90292111865976	2.09556619660216	-1.15236131684143	0.948724808272885	2.13033161476283	0.996030523051242	-0.682041382061396	1.14803361649629	0.476656363957662	0.0770435005083214	0.411707399760512	0.0461163363414572	0.328250317194383	0.501615966488124	0.721157090623665	1	1	1	1	0.779259323918233	0.0304355374893412	0.0391723146500574	0.0132314389822974	0.0171068107129782	0.89178531006397	0.0984072953935288	0.0356235626797358	0.401869980651369	0.799934877249324	0.371360792291332	0.19151048386246	0.743738960788153	1	0.909180505362115	0.867026010986182	1	0.978629532470707	1	1	1	1	1	0.350008681127424	0.747095679671098	0.202882064395227	0.22431627853312	1	0.96811294888321	0.986496237495603	0.986972318658765	1	0.862340208360832	0.996883262862533
TEFB	3254	1	2	0	1	2	4	0	0	0	0	7	8	8	5	3	6	8	1	1	5	2	22	-0.733652408177947	0.114344498377003	-Inf	-0.502326862071491	-0.300693000901841	-0.168589464894496	-Inf	-Inf	-Inf	-Inf	-0.546449415303799	-0.0448540964722507	0.306989576319399	0.0212350939855217	-0.226692419458064	-0.393802405293322	-0.502326862071491	-1.40502966071658	-0.885655501622997	-0.180398767184129	0.32079537584443	-0.226692419458064	0.812472290140885	0.561240688339238	1	0.761803077550888	0.708667136679875	0.659776023228402	1	1	1	1	0.879913935452746	0.584963514349459	0.3332830347344	0.552433005068996	0.683986288679555	0.795700957876742	0.873467489600334	0.927971183271559	0.843268093693547	0.669513275981733	0.488928486988323	0.792496574300959	1	1	1	1	1	0.978629532470707	1	1	1	1	1	1	1	1	0.97478453089795	1	0.96811294888321	1	1	1	0.890248763409715	0.996883262862533
XBP1	2134	2	3	0	0	1	2	0	0	2	0	6	6	3	5	4	9	11	2	3	3	3	14	0.959711599387808	1.38713282312248	-Inf	-Inf	-0.697400687089183	-0.56866737296698	-Inf	-Inf	-0.246739278079618	-Inf	-0.138590474223996	0.157650976999717	-0.536245895274603	0.6601513175289	0.852796395471296	0.864292034309125	0.619737049082992	0.26783389475014	1.43775889619245	-0.309475033427581	1.60125762847533	-0.267203380639334	0.288671367183462	0.120875176214588	1	1	0.804017609245668	0.796104393916964	1	1	0.688523240265658	1	0.647489752901619	0.455728148904949	0.808398473490972	0.222621785963386	0.194204121653899	0.070567770576163	0.116981617644138	0.502827620794214	0.112561049422528	0.718760265056922	0.0890398739020704	0.787590692038477	0.974520853195393	0.667230972704525	1	1	1	0.978629532470707	1	1	1	1	1	1	1	0.83031909359317	0.865852365279509	1	0.96811294888321	1	0.926921910331368	1	0.483912355101157	0.996883262862533
MAF	1169	2	1	0	0	1	1	0	0	1	0	4	3	2	2	1	3	3	1	1	1	0	6	1.85357134115098	0.599814748905198	-Inf	-Inf	0.19645905467399	-0.693916454151512	-Inf	-Inf	-0.376726278270813	-Inf	0.153131623009889	0.0200324872897223	-0.240404807058032	0.178971627945149	-0.328631990069768	0.105550558475779	-0.423268864207843	0.127746304589975	0.647120463683555	-1.03095144142908	-Inf	-0.62257767243125	0.115027680900138	0.49041796961935	1	1	0.587253049664655	0.802667761228706	1	1	0.729246619661567	1	0.487516066661523	0.570242351285417	0.685141347509942	0.531259971370998	0.717584935925128	0.531037107930281	0.765706718071215	0.604291074445032	0.479565329912391	0.87058863879068	1	0.897632747385535	0.743738960788153	1	1	1	1	0.978629532470707	1	1	1	1	1	1	1	1	0.97478453089795	1	0.96811294888321	1	0.986972318658765	1	1	0.996883262862533
ATF4B1.2	6942	1	3	0	3	4	6	0	0	2	0	12	13	14	6	3	19	19	2	6	8	4	46	-1.9311780628715	-0.44930905511445	-Inf	0.0163545172343617	-0.42421807415162	-0.74107517949156	-Inf	-Inf	-2.08318115631655	-Inf	-0.922244938101495	-0.487078097990196	0.00170774126996038	-0.895108808163981	-1.42421807415162	0.226146901791176	-0.362991274901173	-1.56860798348679	0.764815750238397	-0.652023991674432	0.23874693857081	-0.274780424107397	0.975285153079867	0.775274441841773	1	0.584742670952419	0.780419090340763	0.926619925293503	1	1	0.997307165545146	1	0.99290379310886	0.906869247320441	0.541087014532089	0.960142773685349	0.983882070897703	0.298974298542537	0.878364328474788	0.978481187228322	0.177797236576016	0.924677938776038	0.462505712430193	0.9058884317618	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96811294888321	1	0.986972318658765	1	0.890248763409715	0.996883262862533
CREB3L3	5941	2	4	2	3	6	5	1	0	3	0	14	7	6	5	3	18	18	2	6	6	5	31	-0.622996478838192	0.270088317245296	-0.170484274140685	0.270088317245296	0.492480738581744	-0.770553667252049	-0.381988379334397	-Inf	-1.22023730933778	-Inf	-0.428084793923851	-1.19201743569033	-1.07906124637709	-0.9225567606971	-1.17048427414069	0.389387245617641	-0.195575255103516	-1.31487418347586	1.01854955024933	-0.84538890017464	0.87580937813325	-0.644317483251973	0.812252603437622	0.444040086381658	0.667802128859407	0.47464206401336	0.282684747100048	0.920922228124584	0.739107556855146	1	0.966340452100914	1	0.887084829623611	0.994701171688048	0.983946441556945	0.954158705516334	0.960221668515042	0.174679999257396	0.741824075361894	0.954991463531036	0.103362507861948	0.951932389611351	0.168910300452839	0.995762212139473	1	1	1	0.922543730054137	1	1	1	1	1	1	1	1	1	1	1	1	0.96811294888321	1	0.926921910331368	1	0.554990987202184	0.996883262862533
MAFG.1.2	1217	1	1	0	0	1	1	0	0	1	0	3	2	2	1	1	3	2	0	0	0	1	4	0.739807877221584	0.540499068998177	-Inf	-Inf	0.137143374766969	-0.753232134058533	-Inf	-Inf	-0.436041958177834	-Inf	-0.329733056031493	-0.634587637559914	-0.299720486965053	-0.897622043393708	-0.387947669976789	0.0462348785687586	-1.0751602289459	-Inf	-Inf	-Inf	0.739807877221584	-1.27348894539187	0.459013445345656	0.504482205354038	1	1	0.602141007149362	0.815524610392256	1	1	0.743541306240773	1	0.727147629955032	0.816215287837094	0.706331068337497	0.845256006410063	0.732026592752544	0.558301121675308	0.922414543325466	1	1	1	0.459013445345656	0.986617721212558	0.974520853195393	1	1	1	1	0.978629532470707	1	1	1	1	1	1	1	1	0.97478453089795	1	0.96811294888321	1	1	1	0.890248763409715	0.996883262862533
ZIP.3	6149	0	2	0	3	4	5	0	0	2	0	10	7	8	5	2	18	18	3	6	10	3	40	-Inf	-0.885089597995562	-Inf	0.214446075555353	-0.226126515830629	-0.826195908941993	-Inf	-Inf	-1.88508959799556	-Inf	-1.00499906173076	-1.24765967738027	-0.692444520053166	-0.978199002387043	-1.83617999751462	0.333745003927697	-0.251217496793459	-0.750788506283971	0.962907308559388	-0.0992144033484094	-0.037092691440612	-0.300127097274406	1	0.879837979653378	1	0.498495353711681	0.690284174432735	0.934352975220726	1	1	0.993568433045586	1	0.993610194462406	0.996364980824492	0.937363168880503	0.963111925440342	0.992116762518176	0.214020507052401	0.791478762254144	0.874681014581445	0.117127245077545	0.629692528823945	0.605898200382187	0.91245060587918	1	1	1	0.942361079619342	1	1	1	1	1	1	1	1	1	1	1	1	0.96811294888321	1	0.926921910331368	1	0.983693548855787	0.996883262862533
ATF1	7943	0	3	1	3	6	5	0	0	3	0	13	14	17	8	4	20	21	3	6	10	4	51	-Inf	-0.673328495089893	-1.72223809557084	-0.207664922741082	0.0147274985953663	-1.24830690723843	-Inf	-Inf	-1.69799054932416	-Inf	-1.02179837742975	-0.592955078625873	0.102190339845706	-0.667096541378379	-1.20766492274108	0.0887280800391432	-0.425845092790615	-1.17289950458041	0.540796310262954	-0.521325401644844	0.0147274985953663	-0.331511003698174	1	0.850770776299736	0.959533903759375	0.680669331158723	0.55775611367813	0.988891563180474	1	1	0.995167751024284	1	0.997621612364881	0.950215290763074	0.43405682903041	0.927935576329328	0.977723914478495	0.436832018049969	0.921324231658021	0.958974865288944	0.269841084991845	0.895865638842832	0.574348460687846	0.950586059050233	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96811294888321	1	0.986972318658765	1	0.96667616829007	0.996883262862533
XBP1.1	1435	0	0	0	0	0	0	0	0	4	0	4	3	3	2	3	5	6	1	0	1	1	9	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	1.39324984677503	-Inf	-0.149648594379585	-0.282747730099752	0.0548336290990953	-0.123808589444326	1.00330332845901	0.561931681366707	0.297034531515724	-0.175033912799499	-Inf	-1.33373165881856	0.49634333973913	-0.330388215744187	1	1	1	1	1	1	1	1	0.074307051685339	1	0.648642206331887	0.707085659684372	0.55483250010194	0.643180598245819	0.198372479183478	0.259539781215546	0.368375003946771	0.680431647001472	1	0.919227252292278	0.516086239657806	0.794567779233409	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.865852365279509	1	0.96811294888321	1	1	1	0.890248763409715	0.996883262862533
