counts	countsheart15.promoter500	countsheart15.promoter1k	countsheart15.TSS	countsheart15.five_prime_utr	countsheart15.CDS	countsheart15.intron	countsheart15.TTS	countsheart15.three_prime_utr	countsheart15.intergenic	countsheart15.TSC	countsheart15.genome	countsasm15.promoter500	countsasm15.promoter1k	countsasm15.TSS	countsasm15.five_prime_utr	countsasm15.CDS	countsasm15.intron	countsasm15.TTS	countsasm15.three_prime_utr	countsasm15.intergenic	countsasm15.TSC	countsasm15.genome	log2OddsRatioheart15.promoter500	log2OddsRatioheart15.promoter1k	log2OddsRatioheart15.TSS	log2OddsRatioheart15.five_prime_utr	log2OddsRatioheart15.CDS	log2OddsRatioheart15.intron	log2OddsRatioheart15.TTS	log2OddsRatioheart15.three_prime_utr	log2OddsRatioheart15.intergenic	log2OddsRatioheart15.TSC	log2OddsRatioheart15.genome	log2OddsRatioasm15.promoter500	log2OddsRatioasm15.promoter1k	log2OddsRatioasm15.TSS	log2OddsRatioasm15.five_prime_utr	log2OddsRatioasm15.CDS	log2OddsRatioasm15.intron	log2OddsRatioasm15.TTS	log2OddsRatioasm15.three_prime_utr	log2OddsRatioasm15.intergenic	log2OddsRatioasm15.TSC	log2OddsRatioasm15.genome	pheart15.promoter500	pheart15.promoter1k	pheart15.TSS	pheart15.five_prime_utr	pheart15.CDS	pheart15.intron	pheart15.TTS	pheart15.three_prime_utr	pheart15.intergenic	pheart15.TSC	pheart15.genome	pasm15.promoter500	pasm15.promoter1k	pasm15.TSS	pasm15.five_prime_utr	pasm15.CDS	pasm15.intron	pasm15.TTS	pasm15.three_prime_utr	pasm15.intergenic	pasm15.TSC	pasm15.genome	fdrheart15.promoter500	fdrheart15.promoter1k	fdrheart15.TSS	fdrheart15.five_prime_utr	fdrheart15.CDS	fdrheart15.intron	fdrheart15.TTS	fdrheart15.three_prime_utr	fdrheart15.intergenic	fdrheart15.TSC	fdrheart15.genome	fdrasm15.promoter500	fdrasm15.promoter1k	fdrasm15.TSS	fdrasm15.five_prime_utr	fdrasm15.CDS	fdrasm15.intron	fdrasm15.TTS	fdrasm15.three_prime_utr	fdrasm15.intergenic	fdrasm15.TSC	fdrasm15.genome
EBF	646	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	1	0	4	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-0.716197983271741	-Inf	-Inf	0.540710319765211	-0.631929066374137	-0.146502239203896	-Inf	-Inf	-0.161609131594104	-Inf	-0.344830955649874	1	1	1	1	1	1	1	1	1	1	1	0.807376336456941	1	1	0.501130334296354	0.788623743993463	0.650376858988778	1	1	0.67522423434216	1	0.747075338425379	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K562_GATA2_UChicago	908	2	2	1	0	1	2	0	0	2	0	6	2	3	2	1	1	2	0	0	4	0	7	2.2249219203663	2.01847104289888	1.60343354362003	-Inf	0.567809633889312	0.696542948011515	-Inf	-Inf	1.01847104289888	-Inf	1.1266198467545	-0.203921378437571	0.728964425703892	0.550322207160471	0.0427185891455545	-1.12992079699379	-0.644493969823552	-Inf	-Inf	1.38620282739936	-Inf	-0.0255066541617249	0.075036231415615	0.0944436373493757	0.290217688043244	1	0.49627429010716	0.354883451477791	1	1	0.26559254480818	1	0.0632988210478991	0.671675606716289	0.276796828035104	0.401014622571053	0.624600107994562	0.888038050595295	0.819313588764953	1	1	0.0730304418814424	1	0.570411713993751	0.685657997284913	0.641429237137833	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX3_1	936	0	1	0	0	0	1	0	0	0	0	1	3	2	2	0	1	2	2	1	1	0	6	-Inf	0.926616869500957	-Inf	-Inf	-Inf	-0.367114333555754	-Inf	-Inf	-Inf	-Inf	-1.54545157481427	0.346834607885481	0.0863973135377261	0.505773748540907	-Inf	-1.17446925561336	-0.689042428443116	1.48849575710907	0.973922584279313	-0.704149320833324	-Inf	-0.295775551835491	1	0.416467306388222	1	1	1	0.726557241882184	1	1	1	1	0.945839407849509	0.423267178856869	0.564554137441231	0.415827580722265	1	0.895408057101591	0.832210861223469	0.166951347854772	0.406558799935006	0.804804301707161	1	0.744210234067349	1	0.906432147983592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX3_2	928	3	1	3	2	0	4	1	1	1	1	5	4	2	4	3	3	4	0	0	2	2	7	2.83451246073676	0.939209839403458	3.30844364906918	2.43397453115304	-Inf	1.70358159091032	2.43397453115304	2.19296643164924	-0.0373311877725534	3.57147805490297	0.823016821898935	0.784881693012164	0.0989902834402269	1.55355614690571	1.64547863634675	0.444945648974039	0.338817298112695	-Inf	-Inf	0.323550541459385	2.19296643164924	-0.0574621428787878	0.0108688634851184	0.413751947617441	0.00480677908813158	0.0593731640296402	1	0.0390398152893207	0.181448198106895	0.208315687165128	0.644748056536347	0.0952565877337515	0.160335500919758	0.209457986220093	0.559881629194945	0.0527902688591212	0.0773178257696114	0.382388944773256	0.392655829187332	1	1	0.478426500566012	0.0779090804945787	0.593322145479627	0.543826867119282	0.906432147983592	0.68616523359002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX3_3	863	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	2	1	1	0	1	2	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-1.13968196149736	-0.807485531156172	0.624829959554507	0.117226341539591	-0.0445247284570216	-0.569986217429516	0.573604636199334	1.09297879529291	-Inf	1.24498188873796	-1.77491766869974	1	1	1	1	1	1	1	1	1	1	1	0.889703824580433	0.826901728374257	0.376861399588086	0.605772935092193	0.612932619730286	0.796731911072911	0.49465260822145	0.381713016809106	1	0.352257194565029	0.991593591974984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALX4_1	940	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	2	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-0.932798603256497	-0.517761103977653	-Inf	-1.18072611670008	-1.70287250923464	-Inf	-Inf	-0.710406181920049	-Inf	-1.90023074080007	1	1	1	1	1	1	1	1	1	1	1	1	0.852173454195279	0.76251569773179	1	0.89642083621678	0.961246642495149	1	1	0.80617389262631	1	0.995101308434374	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARNTL_1	2431	3	5	2	2	5	6	1	1	2	0	10	8	6	5	4	8	9	3	2	4	3	18	1.40530468095891	2.03123896273638	1.2162708565689	1.00476675137519	1.5766730992709	0.899413751228958	1.00476675137519	0.763758651871391	-0.442692225596035	-Inf	0.437398310668768	0.398109179554711	0.307693884332493	0.464198370012483	0.656843447954879	0.486918446512567	0.118423533170753	0.691608866115556	0.606217374884911	-0.074960441095548	1.40530468095891	-0.0869758172523894	0.119518057855591	0.0115532582637818	0.230425489513615	0.279293445281458	0.0342821131284263	0.116943916344842	0.412426145523033	0.462265426113701	0.755971347285793	1	0.219226362967104	0.274685705109494	0.365609227645883	0.308238831399926	0.26205831947422	0.226230261584359	0.453277328200817	0.297547739502332	0.391214433847302	0.610484550246904	0.119518057855591	0.632312156746781	0.782082858541526	0.470407475274883	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARX_1	804	0	0	0	0	0	1	1	1	0	0	1	1	1	2	0	1	1	1	0	1	0	3	-Inf	-Inf	-Inf	-Inf	-Inf	-0.144352630104562	2.64414326470173	2.40313516519793	-Inf	-Inf	-1.32268987136307	-1.03597646905977	-0.70378003871858	0.728535451992099	-Inf	-0.951707552162166	-1.47385394469672	0.677310128636926	-Inf	-0.481387617382132	-Inf	-1.08295208544042	1	1	1	1	1	0.671254820368408	0.15909038119572	0.183030274061015	1	1	0.918047076399244	0.871621463590132	0.804680354840582	0.344633219228257	1	0.855861913601177	0.937764431648031	0.470334704282176	1	0.75381653581631	1	0.952131625308681	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX1_1	1083	1	1	1	1	1	1	0	0	2	0	3	0	1	0	0	0	1	0	0	1	0	3	0.911622572463781	0.712313764240375	1.34458197973989	1.14294811857024	0.308958070009166	-0.581417438816336	-Inf	-Inf	0.759619479018731	-Inf	-0.157918360789296	-Inf	-1.14084484743035	-Inf	-Inf	-Inf	-1.9109187534085	-Inf	-Inf	-0.918452426093906	-Inf	-1.52001689415219	0.420767512822902	0.464246529134903	0.336026272977794	0.373763482121525	0.559207179094005	0.777383389872353	1	1	0.337052907081731	1	0.651597552883157	1	0.88979310400088	1	1	1	0.976479737997017	1	1	0.849358781202482	1	0.991322741763702	0.998084064709988	0.906432147983592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BARX1_2	796	0	0	1	0	1	1	1	0	3	0	5	3	4	1	1	1	5	3	1	2	1	8	-Inf	-Inf	1.79628260497855	-Inf	0.760658695247833	-0.129716813577669	2.65877908122862	-Inf	1.82053015122523	-Inf	1.04782137197452	0.584232127863565	1.35002637508899	-0.274106722912844	0.235567650504075	-0.937071735635273	0.893244334865642	2.34562119596899	1.2113201042574	0.548355091534968	1.36332319770245	0.363323197702448	1	1	0.2593372238789	1	0.451480785377236	0.667569159429614	0.157628896424624	1	0.0581924459866783	1	0.101156444883137	0.327460074392167	0.0777358625211997	0.703537363553494	0.576008979282236	0.853036565835769	0.139087395679358	0.0245143856125362	0.358025520307323	0.401096320843704	0.329884348151873	0.289064323567479	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
