file	condition	time	cell	conditiontime	ctrlgroup
foxfcamras12hpf1.txt	FoxF_camras	12hpf	ASM	FoxF_camras_12hpf	FoxF_camras_12hpf
foxfcamras12hpf2.txt	FoxF_camras	12hpf	ASM	FoxF_camras_12hpf	FoxF_camras_12hpf
foxfcamras15hpf1.txt	FoxF_camras	15hpf	ASM	FoxF_camras_15hpf	FoxF_camras_15hpf
foxfcamras15hpf2.txt	FoxF_camras	15hpf	ASM	FoxF_camras_15hpf	FoxF_camras_15hpf
foxfcamras18hpf1.txt	FoxF_camras	18hpf	ASM	FoxF_camras_18hpf	FoxF_camras_18hpf
foxfcamras18hpf2.txt	FoxF_camras	18hpf	ASM	FoxF_camras_18hpf	FoxF_camras_18hpf
foxfcamras20hpf1.txt	FoxF_camras	20hpf	ASM	FoxF_camras_20hpf	FoxF_camras_20hpf
foxfcamras20hpf2.txt	FoxF_camras	20hpf	ASM	FoxF_camras_20hpf	FoxF_camras_20hpf
foxflacz12hpf1.txt	FoxF_LacZ	12hpf	ctrl_FoxF	LacZ_12hpf	FoxF_LacZ_12hpf
foxflacz12hpf2.txt	FoxF_LacZ	12hpf	ctrl_FoxF	LacZ_12hpf	FoxF_LacZ_12hpf
foxflacz15hpf1.txt	FoxF_LacZ	15hpf	ctrl_FoxF	LacZ_15hpf	FoxF_LacZ_15hpf
foxflacz15hpf2.txt	FoxF_LacZ	15hpf	ctrl_FoxF	LacZ_15hpf	FoxF_LacZ_15hpf
foxflacz18hpf1.txt	FoxF_LacZ	18hpf	ctrl_FoxF	LacZ_18hpf	FoxF_LacZ_18hpf
foxflacz18hpf2.txt	FoxF_LacZ	18hpf	ctrl_FoxF	LacZ_18hpf	FoxF_LacZ_18hpf
foxflacz20hpf1.txt	FoxF_LacZ	20hpf	ctrl_FoxF	LacZ_20hpf	FoxF_LacZ_20hpf
foxflacz20hpf2.txt	FoxF_LacZ	20hpf	ctrl_FoxF	LacZ_20hpf	FoxF_LacZ_20hpf
handrdnfgfr12hpf1.txt	handr_dnFGFR	12hpf	FHP	handr_dnFGFR_12hpf	handr_dnFGFR_12hpf
handrdnfgfr12hpf2.txt	handr_dnFGFR	12hpf	FHP	handr_dnFGFR_12hpf	handr_dnFGFR_12hpf
handrdnfgfr15hpf1.txt	handr_dnFGFR	15hpf	FHP	handr_dnFGFR_15hpf	handr_dnFGFR_15hpf
handrdnfgfr15hpf2.txt	handr_dnFGFR	15hpf	FHP	handr_dnFGFR_15hpf	handr_dnFGFR_15hpf
handrdnfgfr18hpf1.txt	handr_dnFGFR	18hpf	FHP	handr_dnFGFR_18hpf	handr_dnFGFR_18hpf
handrdnfgfr18hpf2.txt	handr_dnFGFR	18hpf	FHP	handr_dnFGFR_18hpf	handr_dnFGFR_18hpf
handrdnfgfr20hpf1.txt	handr_dnFGFR	20hpf	ATM	handr_dnFGFR_20hpf	handr_dnFGFR_20hpf
handrdnfgfr20hpf2.txt	handr_dnFGFR	20hpf	ATM	handr_dnFGFR_20hpf	handr_dnFGFR_20hpf
handrlacz12hpf1.txt	handr_LacZ	12hpf	ctrl_handr	LacZ_12hpf	handr_LacZ_12hpf
handrlacz12hpf2.txt	handr_LacZ	12hpf	ctrl_handr	LacZ_12hpf	handr_LacZ_12hpf
handrlacz15hpf1.txt	handr_LacZ	15hpf	ctrl_handr	LacZ_15hpf	handr_LacZ_15hpf
handrlacz15hpf2.txt	handr_LacZ	15hpf	ctrl_handr	LacZ_15hpf	handr_LacZ_15hpf
handrlacz18hpf1.txt	handr_LacZ	18hpf	ctrl_handr	LacZ_18hpf	handr_LacZ_18hpf
handrlacz18hpf2.txt	handr_LacZ	18hpf	ctrl_handr	LacZ_18hpf	handr_LacZ_18hpf
handrlacz20hpf1.txt	handr_LacZ	20hpf	ctrl_handr	LacZ_20hpf	handr_LacZ_20hpf
handrlacz20hpf2.txt	handr_LacZ	20hpf	ctrl_handr	LacZ_20hpf	handr_LacZ_20hpf
