"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","p_val_adj"
"AKR1C2/21",1,1.71400874715514,1,1.71400874715514,1,0.029,NA
"KH2013:KH.C5.228_JMJD5",1,1.54645460439832,1,1.54645460439832,1,0.032,NA
"KH2013:KH.L18.13_JMJD5",0.999,1.58400117516993,0.998,1.58400117516993,1,0.115,NA
"KH2013:KH.C1.561_TUB1/3",0.998,1.6141813638638,0.996,1.6141813638638,1,0.053,NA
"AKR1B15/8",0.997,1.65616995031903,0.994,1.65616995031903,1,0.053,NA
"RTP4",0.997,1.55136880992452,0.994,1.55136880992452,1,0.05,NA
"KH2013:KH.C14.521_JMJD5/7",0.996,1.64386564598293,0.992,1.64386564598293,1,0.103,NA
"TXNDC16",0.996,1.5723841982621,0.992,1.5723841982621,1,0.188,NA
"KH2013:KH.L18.67",0.994,1.49960529693142,0.988,1.49960529693142,1,0.209,NA
"KH2013:KH.C3.921_JMJD5/7",0.994,1.42710940271535,0.988,1.42710940271535,1,0.074,NA
"KH2013:KH.L122.14_JMJD5",0.993,1.43546941929325,0.986,1.43546941929325,1,0.262,NA
"KH2013:KH.L18.135_JMJD5",0.992,1.45655432212089,0.984,1.45655432212089,1,0.165,NA
"EGLN3",0.988,1.19766069784112,0.976,1.19766069784112,1,0.418,NA
"KH2013:KH.L154.6_JMJD5",0.986,1.30509882813586,0.972,1.30509882813586,1,0.315,NA
"KH2013:KH.C6.268_JMJD7",0.983,1.29701307034641,0.966,1.29701307034641,1,0.256,NA
"KH2013:KH.C1.452_CG14331",0.978,1.44388169635937,0.956,1.44388169635937,0.958,0.012,NA
"KH2013:KH.C9.326_JMJD5",0.976,1.61348791653614,0.952,1.61348791653614,0.958,0.074,NA
"KH2013:KH.S936.1_JMJD5",0.976,1.55967563057274,0.952,1.55967563057274,0.958,0.082,NA
"KH2013:KH.C5.508_RAB27B",0.973,1.470918909712,0.946,1.470918909712,0.958,0.038,NA
"KH2013:KH.L132.11",0.971,1.64823962296451,0.942,1.64823962296451,0.958,0.079,NA
"KH2013:KH.C1.30_CG14331",0.969,1.21177905394861,0.938,1.21177905394861,1,0.318,NA
"KH2013:KH.C4.120",0.969,1.05836249471352,0.938,1.05836249471352,1,0.521,NA
