GeneID,GeneName
KH2013:KH.C1.404,Eph.a (Eph receptor.a)
KH2013:KH.C1.1083,Eph.b (Eph receptor.b)
KH2013:KH.C7.568,Eph.c (Eph receptor.c)
KH2013:KH.C1.146,Eph.d (Eph receptor.d)
KH2013:KH.C8.796,Eph.e (Eph receptor.e)
KH2013:KH.C3.762,Efna.a (ephrin A.a)
KH2013:KH.C3.202,Efna.b (ephrin A.b)
KH2013:KH.C3.52,Efna.c (ephrin A.c)
KH2013:KH.C3.716,Efna.d (ephrin A.d)
KH2013:KH.C1.4,Efnb (ephrin B)
KH2013:KH.C14.70,Fgftun1 (Tunicate fibroblast growth factor 1)
KH2013:KH.C1.697,Fgftun2 (Tunicate fibroblast growth factor 2)
KH2013:KH.L28.8,Fgf11/12/13/14
KH2013:KH.S406.19,Fgf3/7/10/22
KH2013:KH.S615.3,Fgf4/5/6
KH2013:KH.C5.5,Fgf8/17/18
KH2013:KH.C2.125,Fgf9/16/20
KH2013:KH.S742.2,FGFR
KH2013:KH.C1.1079,DUSP1.2.4.5
KH2013:KH.C5.143,DUSP6.9
KH2013:KH.C14.575,DUSP8.16
KH2013:KH.L22.45,EGFR1
KH2013:KH.S773.1,EGFR2
KH2013:KH.L153.20,Mapk1/2
KH2013:KH.S606.2,Mapk4/6
KH2013:KH.C5.69,Mapk7
KH2013:KH.C14.416,Mapk8/9/10
KH2013:KH.L147.22,MAPKK1/2
KH2013:KH.L172.1,MAPKK3/6
KH2013:KH.C8.343,MAPKK4
KH2013:KH.C11.84,MAPKK5
KH2013:KH.L22.44,MAPKK7
KH2013:KH.L22.72,MAPKKK4
KH2013:KH.C12.61,MAPKKK9/10/11
KH2013:KH.C3.355,MLTK
KH2013:KH.L96.106,Nemo-Like
KH2013:KH.C11.76,p38
KH2013:KH.L18.20,Raf1
KH2013:KH.C6.34,Tak1/MAPKKK7
KH2013:KH.L8.8,insulinR
KH2013:KH.C14.13,TYRO3/AXL/MER
KH2013:KH.C14.345,VEGFR
KH2013:KH.C2.421,Admp
KH2013:KH.C4.125,Bmp2/4
KH2013:KH.C12.491,Bmp3
KH2013:KH.C2.336,Bmp5/6/7/8
