GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.1,-0.3183630297,3.8311641089,0.3788503644,1,KH2013:KH.C10.1
KH2013:KH.C10.10,-0.2178048835,7.3090773876,0.1892928912,1,KH2013:KH.C10.10
KH2013:KH.C10.100,0.0008753584,5.6109829617,0.9879609529,1,EXOSC5
KH2013:KH.C10.101,0.002561077,5.3304063266,1,1,KH2013:KH.C10.101
KH2013:KH.C10.102,-0.1051673594,5.4881828933,0.5998271976,1,KH2013:KH.C10.102
KH2013:KH.C10.103,0,-1.5241424656,1,1,KH2013:KH.C10.103
KH2013:KH.C10.104,0.0525262161,6.7625337727,0.7557373767,1,KH2013:KH.C10.104
KH2013:KH.C10.105,0.1393495082,8.312290852,0.4141750269,1,KH2013:KH.C10.105
KH2013:KH.C10.106,-0.1158426501,4.8094064551,0.693483377,1,KH2013:KH.C10.106
KH2013:KH.C10.107,0.228732032,3.8346315405,0.5256057294,1,KH2013:KH.C10.107
KH2013:KH.C10.108,-0.1327789896,0.8539634158,1,1,KH2013:KH.C10.108
KH2013:KH.C10.109,0.7876922913,2.7824128281,0.0492817152,1,KH2013:KH.C10.109
KH2013:KH.C10.11,0.5850393885,2.432400882,0.1703577435,1,TREH
KH2013:KH.C10.111,-0.8821398796,2.3925479216,0.0549737355,1,HSCB
KH2013:KH.C10.112,0.4750776502,1.430062851,0.4683726126,1,KH2013:KH.C10.112
KH2013:KH.C10.113,0.1115055901,9.0308643426,0.5439434549,1,KH2013:KH.C10.113
KH2013:KH.C10.114,-0.0786332745,0.1239546654,1,1,KH2013:KH.C10.114
KH2013:KH.C10.115,0.1834157373,6.648222081,0.2832516676,1,VRK1/2
KH2013:KH.C10.116,0.1265189221,4.703171793,0.6914815605,1,KH2013:KH.C10.116
KH2013:KH.C10.117,0.1153571524,3.4225091358,0.7363973975,1,KH2013:KH.C10.117
KH2013:KH.C10.118,0.0671254264,7.1657350585,0.6816767761,1,KH2013:KH.C10.118
KH2013:KH.C10.119,-2.0276957685,-1.1415154971,1,1,KH2013:KH.C10.119
KH2013:KH.C10.12,-2.9229551678,-1.3134177708,0.5247758352,1,KH2013:KH.C10.12
KH2013:KH.C10.120,0,-1.6351972215,1,1,KH2013:KH.C10.120
KH2013:KH.C10.121,0.1020482685,6.1894719693,0.5790397411,1,KH2013:KH.C10.121
KH2013:KH.C10.122,-0.1580793037,7.5353960609,0.3384361078,1,ARF6
KH2013:KH.C10.123,-0.4106386602,1.428075869,0.6051592007,1,KH2013:KH.C10.123
KH2013:KH.C10.124,0.0856848315,6.0460062292,0.6286032133,1,KH2013:KH.C10.124
KH2013:KH.C10.125,-0.2346112995,8.3924527629,0.2086539034,1,KH2013:KH.C10.125
KH2013:KH.C10.126,-0.4322483648,0.3064756001,0.7727063686,1,KH2013:KH.C10.126
KH2013:KH.C10.127,0.0635045449,4.842383497,0.8083481767,1,KH2013:KH.C10.127
KH2013:KH.C10.128,0.3339226385,3.4870505956,0.4017721049,1,KH2013:KH.C10.128
KH2013:KH.C10.129,0.2125955407,5.3437775122,0.3167257161,1,PUS3
KH2013:KH.C10.13,0.2469638563,5.4359203104,0.2519329903,1,KH2013:KH.C10.13
KH2013:KH.C10.130,-0.3816914934,4.7997411057,0.123295298,1,KH2013:KH.C10.130
KH2013:KH.C10.131,1.3346746987,-0.67526688,1,1,KH2013:KH.C10.131
KH2013:KH.C10.132,0.1691060187,5.682899477,0.4289373872,1,KH2013:KH.C10.132
KH2013:KH.C10.133,-0.1150803445,6.9293993778,0.4968000051,1,KH2013:KH.C10.133
KH2013:KH.C10.134,0.3561829374,2.4381262531,0.4617132735,1,KH2013:KH.C10.134
KH2013:KH.C10.135,-0.1195610278,9.1979893006,0.4841493531,1,KH2013:KH.C10.135
KH2013:KH.C10.136,-0.851361526,-0.3089458869,0.4270568132,1,KH2013:KH.C10.136
KH2013:KH.C10.137,0.5616033696,2.167653674,0.2517806143,1,KH2013:KH.C10.137
KH2013:KH.C10.138,0.2807901359,4.422954358,0.3236224296,1,KH2013:KH.C10.138
KH2013:KH.C10.139,0.1925172744,3.3980823521,0.6523131442,1,KH2013:KH.C10.139
KH2013:KH.C10.14,-0.0999020127,3.7335577114,0.7703930079,1,KH2013:KH.C10.14
KH2013:KH.C10.140,0.1548239695,6.8306812973,0.3991432734,1,KH2013:KH.C10.140
KH2013:KH.C10.141,0.0361849751,-0.4643208458,1,1,KH2013:KH.C10.141
KH2013:KH.C10.142,0.0099876674,5.0990817649,1,1,KH2013:KH.C10.142
KH2013:KH.C10.143,0.189660057,5.0863433303,0.4111227575,1,PPP1R36
KH2013:KH.C10.144,-0.4252358975,7.9779042305,0.3362378606,1,KH2013:KH.C10.144
KH2013:KH.C10.145,1.9048111419,0.1194143091,0.0744773908,1,KH2013:KH.C10.145
KH2013:KH.C10.146,-0.3174719105,4.0516983733,0.287331541,1,KH2013:KH.C10.146
KH2013:KH.C10.147,0.3256094897,2.9447835535,0.6762569555,1,KH2013:KH.C10.147
KH2013:KH.C10.148,-0.0513094826,2.4304332491,1,1,KH2013:KH.C10.148
KH2013:KH.C10.149,-0.1114821275,-0.4356211073,1,1,KH2013:KH.C10.149
KH2013:KH.C10.15,-0.0047308852,2.4277432171,1,1,KH2013:KH.C10.15
KH2013:KH.C10.150,-0.3270806195,3.9817983512,0.4278392056,1,KH2013:KH.C10.150
KH2013:KH.C10.151,0.1362595621,2.4493933984,0.784807909,1,KH2013:KH.C10.151
KH2013:KH.C10.152,-0.3362230427,5.0528761475,0.1335241063,1,KH2013:KH.C10.152
KH2013:KH.C10.153,-0.2730929555,4.8217306182,0.3308394399,1,KH2013:KH.C10.153
KH2013:KH.C10.154,0.253542428,6.1231045844,0.1846744349,1,TARBP1
KH2013:KH.C10.155,-0.4344854251,4.1812892141,0.1813344183,1,KH2013:KH.C10.155
KH2013:KH.C10.157,-0.0886402311,5.691152535,0.6582890507,1,KH2013:KH.C10.157
KH2013:KH.C10.158,-0.3268888623,4.3131195407,0.2298385118,1,COQ9
KH2013:KH.C10.159,-0.2336770797,4.3467748706,0.4051962043,1,KH2013:KH.C10.159
KH2013:KH.C10.16,0.3070849552,3.4486673004,0.4533496191,1,KH2013:KH.C10.16
KH2013:KH.C10.161,0.0779282276,4.4842090797,0.7806616582,1,KH2013:KH.C10.161
KH2013:KH.C10.162,0.1852410869,3.6483661514,0.5707350065,1,KH2013:KH.C10.162
KH2013:KH.C10.163,-0.7640833982,1.8674360805,0.195330258,1,KH2013:KH.C10.163
KH2013:KH.C10.164,-0.0650977131,5.693665115,0.7403658838,1,KH2013:KH.C10.164
KH2013:KH.C10.165,-0.7102927267,0.9237311932,0.5624377269,1,KH2013:KH.C10.165
KH2013:KH.C10.166,0.1747004372,3.0988867457,0.6730650046,1,KH2013:KH.C10.166
KH2013:KH.C10.168,0.0840336291,6.4697410088,0.6510197844,1,KH2013:KH.C10.168
