GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.1,-0.0935917402,3.890497649,0.7952120808,1,KH2013:KH.C10.1
KH2013:KH.C10.10,-0.2688578171,7.327636902,0.1063885911,1,KH2013:KH.C10.10
KH2013:KH.C10.100,0.1130690332,5.6631949862,0.598816695,1,EXOSC5
KH2013:KH.C10.101,-0.0134517063,5.377670884,1,1,KH2013:KH.C10.101
KH2013:KH.C10.102,0.0032471518,5.5466906708,1,1,KH2013:KH.C10.102
KH2013:KH.C10.103,-1.9217700901,-1.4089757191,1,1,KH2013:KH.C10.103
KH2013:KH.C10.104,-0.0074314902,6.8079255631,0.974733979,1,KH2013:KH.C10.104
KH2013:KH.C10.105,0.1055351776,8.3551613994,0.5337315859,1,KH2013:KH.C10.105
KH2013:KH.C10.106,-0.0497325275,4.8692562156,0.8396463914,1,KH2013:KH.C10.106
KH2013:KH.C10.107,-0.0713012495,3.9020378736,0.8121974581,1,KH2013:KH.C10.107
KH2013:KH.C10.108,0.1386707983,0.9011122374,0.7552584891,1,KH2013:KH.C10.108
KH2013:KH.C10.109,0.147427878,2.8676182892,0.7189381661,1,KH2013:KH.C10.109
KH2013:KH.C10.11,0.9306061295,2.475735374,0.0273043542,1,TREH
KH2013:KH.C10.111,0.2123021927,2.4514251477,0.5797078986,1,HSCB
KH2013:KH.C10.112,0.3142694073,1.5031557644,0.5832685134,1,KH2013:KH.C10.112
KH2013:KH.C10.113,0.1840383815,9.0785090684,0.3086154906,1,KH2013:KH.C10.113
KH2013:KH.C10.114,0.2502748774,0.2378191441,0.819184566,1,KH2013:KH.C10.114
KH2013:KH.C10.115,0.1059426838,6.696852302,0.5333166832,1,VRK1/2
KH2013:KH.C10.116,0.0919032982,4.7448193654,0.7707689117,1,KH2013:KH.C10.116
KH2013:KH.C10.117,0.054086678,3.481627738,0.8953877025,1,KH2013:KH.C10.117
KH2013:KH.C10.118,0.0448507442,7.2157411381,0.7851915112,1,KH2013:KH.C10.118
KH2013:KH.C10.119,-3.6587743014,-1.0263129591,0.2809976519,1,KH2013:KH.C10.119
KH2013:KH.C10.12,-1.9217700901,-1.1987317771,1,1,KH2013:KH.C10.12
KH2013:KH.C10.120,0,-1.5202957475,1,1,KH2013:KH.C10.120
KH2013:KH.C10.121,0.01807049,6.2352371741,0.9554810431,1,KH2013:KH.C10.121
KH2013:KH.C10.122,-0.1158871834,7.5835119327,0.482161216,1,ARF6
KH2013:KH.C10.123,-0.3779471651,1.4656910279,0.6162017528,1,KH2013:KH.C10.123
KH2013:KH.C10.124,0.1995935329,6.0941723796,0.2719587093,1,KH2013:KH.C10.124
KH2013:KH.C10.125,-0.0241790016,8.4127283818,0.900347999,1,KH2013:KH.C10.125
KH2013:KH.C10.126,1.8326115338,0.3490954914,0.1823554705,1,KH2013:KH.C10.126
KH2013:KH.C10.127,-0.070214049,4.8951404316,0.7837968946,1,KH2013:KH.C10.127
KH2013:KH.C10.128,0.0209399562,3.5397353056,0.9371931718,1,KH2013:KH.C10.128
KH2013:KH.C10.129,0.218511849,5.3951149589,0.2972758707,1,PUS3
KH2013:KH.C10.13,0.1344642795,5.4846791031,0.528592991,1,KH2013:KH.C10.13
