GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.286,58.4617377966,1.0217426674,0.7204767143,1.4181480776,0.1561475372,0.3617933552
KH2013:KH.C1.560,0.8005883362,0.7464177846,4.3353460577,0.1721702892,0.8633036548,NA
KH2013:KH.C1.907,20.895117405,0.9960120078,0.8610305176,1.1567673705,0.2473674163,0.4765754905
KH2013:KH.C1.1180,1485.261737388,0.0464277932,0.3642764952,0.1274520695,0.8985826067,0.9531795194
KH2013:KH.C1.526,281.536363123,0.4815440009,0.4326965619,1.1128907489,0.2657553537,0.4975114457
KH2013:KH.C1.183,61.9005864935,-2.239963577,0.7881261578,-2.8421383491,0.0044812041,0.0303728585
KH2013:KH.C1.172,2175.6326459309,1.3169121063,0.2618386533,5.0294793756,4.91813396510321E-07,1.66841124739837E-05
KH2013:KH.C1.969,2.5322187351,-0.0417642524,2.497782124,-0.0167205346,0.9866595652,NA
KH2013:KH.C1.655,277.5776504775,-1.2238157746,0.3298217443,-3.7105369661,0.0002068201,0.0027300252
KH2013:KH.C1.962,451.1550121545,0.018973262,0.3229652608,0.0587470675,0.9531535696,0.9799832953
KH2013:KH.C1.403,2.7866119119,-1.5347163085,3.6405324281,-0.4215636967,0.6733435091,NA
KH2013:KH.C1.881,143.974257233,-1.66962667,0.6031480983,-2.7681869092,0.0056369118,0.0362524397
KH2013:KH.C1.1034,29.3422280674,-0.2416064412,0.7569518902,-0.3191833514,0.7495874809,0.8731760852
KH2013:KH.C1.165,702.0642910524,-0.604241786,0.2707263245,-2.2319284504,0.0256196922,0.10703909
KH2013:KH.C1.709,22.8988729499,0.9545503645,1.1087986112,0.8608870491,0.3893002552,0.6192906998
KH2013:KH.C1.841,32.174816974,0.63089806,0.8207307726,0.7687028208,0.44206975,0.6658808928
KH2013:KH.C1.1238,568.7747829735,1.2300697535,0.3305806626,3.7209368021,0.0001984851,0.0026356608
KH2013:KH.C1.443,14.07069735,-0.6619768394,1.1912439163,-0.5557021785,0.5784144671,0.7646427046
KH2013:KH.C1.914,133.4560453345,0.2532750882,0.3957314476,0.640017592,0.5221611625,0.7268928284
KH2013:KH.C1.150,643.4954816584,0.2983242332,0.3022117157,0.9871365592,0.3235756974,0.5591643806
KH2013:KH.C1.771,29.4175458473,-3.1003313392,1.1345264892,-2.7327095214,0.0062815704,0.0392068807
KH2013:KH.C1.110,311.6253974326,0.4054676525,0.3399108788,1.192864594,0.2329224076,0.4612091991
KH2013:KH.C1.831,439.4539518605,-0.8699736997,0.3163966077,-2.7496303009,0.0059662537,0.0377692753
KH2013:KH.C1.997,1305.7763158685,0.5456530599,0.2279309564,2.3939401152,0.01666847,0.078275464
KH2013:KH.C1.781,5.7533541908,3.0993064642,1.7726822275,1.7483711497,0.0803997802,NA
KH2013:KH.C1.15,48.3804306407,-2.4627037642,0.8655536898,-2.8452351289,0.0044378651,0.0301557683
KH2013:KH.C1.344,101.0079026462,-0.911779154,0.8188362169,-1.1135061386,0.2654911134,0.4975114457
KH2013:KH.C1.269,421.1282328558,0.52265602,0.2816805634,1.8554919579,0.0635260066,0.2028571784
KH2013:KH.C1.1208,79.8499877218,-0.4900413123,0.9494157326,-0.5161504023,0.6057493677,0.7840643638
KH2013:KH.C1.208,120.1673235222,0.24167645,0.5383518527,0.4489191386,0.6534899893,0.8146931492
KH2013:KH.C1.1011,756.0928370822,0.1079017089,0.3022047501,0.3570483549,0.7210556063,0.8582370631
KH2013:KH.C1.230,215.9278973229,1.2794661666,0.5179184593,2.4704007815,0.0134961752,0.0671885765
KH2013:KH.C1.516,96.8036098706,-2.0184658358,0.4364767761,-4.6244518519,3.75590313617972E-06,9.70420554487365E-05
KH2013:KH.C1.897,162.833806207,-0.6917616411,0.5419662021,-1.276392584,0.2018167765,0.4231867354
KH2013:KH.C1.821,190.8996567442,-0.4157775358,0.3172788991,-1.3104481168,0.1900442851,0.40780145
KH2013:KH.C1.329,13364.1752908653,0.8739634872,0.209563127,4.1704067876,3.04056403833931E-05,0.0005552986
KH2013:KH.C1.301,315.2950662671,-0.1160302911,0.49286721,-0.2354189704,0.8138835635,0.9112871142
KH2013:KH.C1.1197,153.5316880335,-0.7305211083,0.4594610161,-1.5899523195,0.111845553,0.2938177169
KH2013:KH.C1.593,79.8064892054,0.2825450385,0.653294884,0.4324923482,0.6653836123,0.8215309702
KH2013:KH.C1.1300,657.4996636087,-0.290737931,0.3609380786,-0.8055063965,0.4205275167,0.6480722289
KH2013:KH.C1.582,42.7063717163,-2.9069191161,0.9655772982,-3.0105503947,0.0026077467,0.0201311402
KH2013:KH.C1.78,227.0079850212,-0.6937587967,0.3744630924,-1.8526760333,0.0639288072,0.2037355887
KH2013:KH.C1.1225,19.5184761229,-1.4165395707,1.0383128493,-1.3642704813,0.1724824527,0.3847308114
KH2013:KH.C1.671,44.4967629077,0.5584082971,0.5544472692,1.0071441022,0.3138655304,0.5494093528
KH2013:KH.C1.287,8790.6384834712,0.6001925199,0.2053073894,2.9233848891,0.0034624822,0.0250611975
KH2013:KH.C1.869,51.7340539779,-0.9662726568,0.8289308977,-1.1656854143,0.2437416595,0.4728013683
KH2013:KH.C1.1216,737.1938909209,0.9865706014,0.3460813731,2.850689688,0.0043624521,0.029810462
KH2013:KH.C1.1220,32.3765197545,-1.632338909,1.0588140281,-1.5416672481,0.1231544747,0.3123090146
KH2013:KH.C1.791,229.5250268551,0.0939469927,0.3999114873,0.2349194651,0.8142712413,0.9114150104
KH2013:KH.C1.1166,17.2535774553,-2.0434294265,1.6551631123,-1.2345788831,0.2169872721,0.4424031674
KH2013:KH.C1.1253,9.7800628437,-0.4716384753,1.2057890482,-0.3911450979,0.6956899874,0.8422880304
KH2013:KH.C1.139,283.0674853255,-0.294185485,0.3893134753,-0.7556519454,0.4498579027,0.6725186307
KH2013:KH.C1.631,1584.0898918968,-0.4486675625,0.2893828356,-1.5504290762,0.1210385642,0.3087673201
KH2013:KH.C1.130,821.7513159188,-0.1279078008,0.3796868167,-0.3368771187,0.7362095348,0.8673383199
KH2013:KH.C1.608,461.6301823872,0.590872127,0.4639902417,1.2734580899,0.2028555354,0.4243189874
KH2013:KH.C1.1246,1.517748511,2.7761117826,3.5378209095,0.7846953969,0.4326321823,NA
KH2013:KH.C1.1202,1549.3522782862,0.0297180436,0.1966222526,0.1511428293,0.8798630476,0.9437874448
KH2013:KH.C1.318,3.6398980318,-2.3100321059,2.0519718587,-1.1257620791,0.2602662392,NA
KH2013:KH.C1.1156,473.38894551,-0.6184663523,0.5093071144,-1.2143289084,0.2246221508,0.4511552541
KH2013:KH.C1.568,118.7842615525,-0.9623536295,0.586282174,-1.6414512878,0.1007037709,0.2751964968
KH2013:KH.C1.523,149.4451132815,-0.7918826761,0.5756732687,-1.3755765974,0.1689527562,0.3806147594
KH2013:KH.C1.996,498.9776880106,-0.5675697216,0.3827617974,-1.4828275064,0.138120246,0.3352301327
KH2013:KH.C1.1100,200.8189063194,-1.4908566072,0.7362897608,-2.024823224,0.0428855195,0.1548617945
KH2013:KH.C1.1153,11.2845463185,-1.942828859,1.5981614602,-1.2156649421,0.2241125842,0.4508027122
KH2013:KH.C1.114,11.5331344174,-0.9196124987,1.743948802,-0.5273162249,0.597974009,0.7780550916
KH2013:KH.C1.159,3300.2235794914,-0.6217625046,0.3337793697,-1.8627948909,0.0624911291,0.2008514305
KH2013:KH.C1.636,48.7376221303,4.7465471703,1.2507210945,3.7950484655,0.0001476146,0.002060731
KH2013:KH.C1.1256,15.286909128,1.7637175547,1.0439419535,1.6894785661,0.091127756,0.2579985651
KH2013:KH.C1.1039,2260.3216350383,0.3634661608,0.2166894146,1.6773600203,0.0934721023,0.2618554461
KH2013:KH.C1.1214,46.454218467,0.5081603986,0.908204275,0.559522139,0.5758054263,0.7630501825
KH2013:KH.C1.56,30.0253491662,0.6516294667,0.8203662167,0.7943153355,0.4270118785,0.6529329469
KH2013:KH.C1.335,650.8589072199,0.1346960977,0.2572591719,0.5235813237,0.6005697742,0.7797814793
KH2013:KH.C1.714,184.8706769106,-0.3098745266,0.5752490965,-0.5386788584,0.5901084641,0.7731255939
KH2013:KH.C1.1066,114.8709732786,-0.403149895,0.6177450824,-0.6526153043,0.5140043166,0.720742303
KH2013:KH.C1.816,15.5473446089,-1.5373299834,1.1441479433,-1.3436461538,0.1790628372,0.3939000046
KH2013:KH.C1.512,7.3528241171,0.1907819917,1.3744924043,0.1388017796,0.8896067877,0.9489540646
KH2013:KH.C1.375,1.8760096607,0.4833200391,2.9852081593,0.1619049705,0.8713806885,NA
KH2013:KH.C1.1064,178.9241303304,0.3209380733,0.4154331678,0.7725383965,0.4397956147,0.6637259605
