GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.286,58.4617377966,0.0409780188,0.5473386851,0.0748677554,0.940319932,0.9848219058
KH2013:KH.C1.560,0.8005883362,0.0937375542,0.3821942545,0.2452615472,0.8062539234,NA
KH2013:KH.C1.907,20.895117405,1.4509298706,0.6065664191,2.3920379118,0.0167551116,NA
KH2013:KH.C1.1180,1485.261737388,-0.050087213,0.3385235378,-0.1479578445,0.8823760372,0.9719486168
KH2013:KH.C1.526,281.536363123,0.1964199738,0.3896216465,0.5041300338,0.6141700029,0.8792146661
KH2013:KH.C1.183,61.9005864935,-0.9034271702,0.5810712341,-1.5547614772,0.1200028869,0.4590618912
KH2013:KH.C1.172,2175.6326459309,0.8097740563,0.251444818,3.2204841713,0.0012797426,0.0327303334
KH2013:KH.C1.969,2.5322187351,-0.5429814821,0.6004454174,-0.9042978202,0.3658375023,NA
KH2013:KH.C1.655,277.5776504775,-1.5616306926,0.3084390561,-5.0630121635,4.12683511927756E-07,9.22478105525021E-05
KH2013:KH.C1.962,451.1550121545,0.540860181,0.3047170564,1.7749586692,0.0759047118,0.3674869727
KH2013:KH.C1.403,2.7866119119,-0.0418592428,0.4395355884,-0.0952351617,0.9241280419,NA
KH2013:KH.C1.881,143.974257233,-0.7833527695,0.49908931,-1.569564312,0.1165165066,0.4524971843
KH2013:KH.C1.1034,29.3422280674,-0.2678374539,0.5659678704,-0.4732379132,0.6360434517,0.888235342
KH2013:KH.C1.165,702.0642910524,-0.1599631051,0.2597071035,-0.6159365798,0.5379363778,0.8391378176
KH2013:KH.C1.709,22.8988729499,-0.3945741695,0.6505565924,-0.6065178251,0.5441709494,0.8420320618
KH2013:KH.C1.841,32.174816974,0.064768917,0.5900482701,0.1097688448,0.9125927,0.9793247887
KH2013:KH.C1.1238,568.7747829735,0.7042322658,0.3096270121,2.2744535788,0.0229387292,0.1944880229
KH2013:KH.C1.443,14.07069735,-0.6073828186,0.6576819382,-0.9235206006,0.3557359699,NA
KH2013:KH.C1.914,133.4560453345,-0.3910226007,0.3598687147,-1.0865701425,0.2772268263,0.6674855418
KH2013:KH.C1.150,643.4954816584,-0.0166699514,0.2864285014,-0.0581993458,0.9535898418,0.9866592516
KH2013:KH.C1.771,29.4175458473,-0.4194784667,0.6547078628,-0.6407109041,0.5217105283,0.8317070479
KH2013:KH.C1.110,311.6253974326,-0.017962596,0.3168865219,-0.0566846324,0.9547964159,0.9869045843
KH2013:KH.C1.831,439.4539518605,-0.9968487308,0.2984486562,-3.3401012544,0.0008374785,0.024484313
KH2013:KH.C1.997,1305.7763158685,0.4159427872,0.2207217351,1.8844668245,0.0595018582,0.3217433972
KH2013:KH.C1.781,5.7533541908,0.7421141493,0.6477756974,1.1456344415,0.2519464402,NA
KH2013:KH.C1.15,48.3804306407,-1.2159570925,0.5987438463,-2.030846914,0.0422705263,0.2683451687
KH2013:KH.C1.344,101.0079026462,-0.0378445675,0.5928548229,-0.06383446,0.9491020391,0.9859749646
KH2013:KH.C1.269,421.1282328558,0.3522246257,0.2683357519,1.3126265255,0.1893088269,0.5662205438
KH2013:KH.C1.1208,79.8499877218,-0.4168600479,0.6276387715,-0.66417192,0.5065802833,0.8257631803
KH2013:KH.C1.208,120.1673235222,0.2276506607,0.459308801,0.4956374886,0.6201501983,0.8817883242
KH2013:KH.C1.1011,756.0928370822,0.142612297,0.2868912933,0.4970952426,0.6191218893,0.8817883242
KH2013:KH.C1.230,215.9278973229,0.3349261067,0.4471513861,0.7490217344,0.4538441056,0.7926993859
KH2013:KH.C1.516,96.8036098706,-1.4861452562,0.3915383171,-3.795657261,0.0001472528,0.0073528674
KH2013:KH.C1.897,162.833806207,0.2744678606,0.4649031723,0.5903763987,0.5549383299,0.8462372995
KH2013:KH.C1.821,190.8996567442,0.0557265285,0.2996323705,0.1859830046,0.8524580892,0.964529233
KH2013:KH.C1.329,13364.1752908653,0.4169329741,0.2043637558,2.0401512606,0.0413352625,0.2656426179
KH2013:KH.C1.301,315.2950662671,0.5190446941,0.4331520008,1.1982968868,0.2308014581,0.6170934296
KH2013:KH.C1.1197,153.5316880335,0.4230522936,0.4110431976,1.029216141,0.3033781191,0.6902886405
KH2013:KH.C1.593,79.8064892054,0.0014431678,0.5240412763,0.0027539202,0.9978026924,0.9990420889
KH2013:KH.C1.1300,657.4996636087,0.4018211301,0.3360677659,1.1956550757,0.2318311893,0.6179062284
KH2013:KH.C1.582,42.7063717163,0.5958813095,0.6314451802,0.9436786093,0.3453339082,0.7260503373
KH2013:KH.C1.78,227.0079850212,0.1385336094,0.3469834048,0.3992513979,0.6897079749,0.9091641743
KH2013:KH.C1.1225,19.5184761229,-1.4494562942,0.6404416128,-2.2632137969,0.0236225131,NA
KH2013:KH.C1.671,44.4967629077,-0.5662011508,0.4627791022,-1.2234803776,0.2211483111,0.6061837967
KH2013:KH.C1.287,8790.6384834712,0.1335704034,0.2003868553,0.6665627005,0.505051501,0.82434281
KH2013:KH.C1.869,51.7340539779,-0.0352441321,0.592639348,-0.0594697807,0.9525779344,0.9866592516
KH2013:KH.C1.1216,737.1938909209,0.2742870716,0.3228380438,0.8496119861,0.3955408458,0.7600337894
KH2013:KH.C1.1220,32.3765197545,-1.660634896,0.6382111254,-2.6020149599,0.0092677809,0.1153122748
KH2013:KH.C1.791,229.5250268551,-0.1374656903,0.3650014998,-0.3766167822,0.7064584143,0.9157723422
KH2013:KH.C1.1166,17.2535774553,-2.1590944275,0.6366907796,-3.3911193574,0.0006960778,NA
KH2013:KH.C1.1253,9.7800628437,-1.549612591,0.6453876107,-2.4010572334,0.0163477794,NA
KH2013:KH.C1.139,283.0674853255,-0.2566605265,0.3578291023,-0.7172712474,0.4732067449,0.8076433932
KH2013:KH.C1.631,1584.0898918968,0.0649121752,0.2761521637,0.2350594479,0.8141625928,0.9520075494
KH2013:KH.C1.130,821.7513159188,0.2867668314,0.3508610943,0.8173229693,0.4137438838,0.7705933873
KH2013:KH.C1.608,461.6301823872,-0.1595436981,0.4115744037,-0.3876424207,0.6982806717,0.9113323261
KH2013:KH.C1.1246,1.517748511,-0.2441211767,0.469762281,-0.5196696001,0.6032938787,NA
KH2013:KH.C1.1202,1549.3522782862,0.3682232181,0.1921504264,1.9163278736,0.0553233751,0.30713716
KH2013:KH.C1.318,3.6398980318,-0.0883233753,0.612628321,-0.1441712247,0.8853652629,NA
KH2013:KH.C1.1156,473.38894551,0.1909299773,0.4439035144,0.4301159399,0.6671113054,0.9005273249
KH2013:KH.C1.568,118.7842615525,-0.3369942983,0.4901027933,-0.6875992198,0.4917051997,0.8173879211
KH2013:KH.C1.523,149.4451132815,-0.2975149629,0.4839159118,-0.6148071507,0.5386820864,0.8391378176
KH2013:KH.C1.996,498.9776880106,-0.5602398043,0.3529262015,-1.5874134645,0.1124190318,0.4448909635
KH2013:KH.C1.1100,200.8189063194,-1.3547869083,0.5612638436,-2.4138146859,0.0157864892,0.1569608196
KH2013:KH.C1.1153,11.2845463185,-0.0302784385,0.6608225192,-0.04581932,0.9634542598,NA
KH2013:KH.C1.114,11.5331344174,0.025640622,0.6562796352,0.0390696596,0.9688348506,NA
KH2013:KH.C1.159,3300.2235794914,0.25188426,0.3139110095,0.8024065813,0.4223178073,0.7759847769
KH2013:KH.C1.636,48.7376221303,-0.1699057905,0.5522125398,-0.3076818766,0.7583244115,0.9350637387
KH2013:KH.C1.1256,15.286909128,1.5848328121,0.6421700217,2.4679333488,0.013589562,NA
KH2013:KH.C1.1039,2260.3216350383,0.8836609498,0.2109694184,4.1885736635,2.80713194448137E-05,0.002364066
KH2013:KH.C1.1214,46.454218467,0.6133276838,0.6170558684,0.9939581086,0.3202432625,0.7052066918
KH2013:KH.C1.56,30.0253491662,0.8674160951,0.5876488027,1.4760790649,0.1399226683,0.4935109049
KH2013:KH.C1.335,650.8589072199,0.3647696001,0.2472978191,1.4750215002,0.1402067632,0.4939848026
KH2013:KH.C1.714,184.8706769106,0.0349433524,0.4839858229,0.0721991239,0.9424434424,0.9849805168
KH2013:KH.C1.1066,114.8709732786,0.7599615173,0.5086984242,1.4939333033,0.1351930528,0.486421217
KH2013:KH.C1.816,15.5473446089,-0.9232902753,0.6551070894,-1.4093730479,0.1587248893,NA
KH2013:KH.C1.512,7.3528241171,-0.2864072385,0.6631333722,-0.431899902,0.665814166,NA
KH2013:KH.C1.375,1.8760096607,0.3072765057,0.4996752438,0.6149524306,0.5385861359,NA
KH2013:KH.C1.1064,178.9241303304,0.0930769579,0.3758015375,0.2476758304,0.8043852338,0.9500106118
KH2013:KH.C1.1094,74.4807481618,0.5042557467,0.4724307954,1.0673642606,0.2858073805,0.673910633
KH2013:KH.C1.421,662.5815789892,0.5642253203,0.3393924094,1.6624570987,0.0964211585,0.4115403833
KH2013:KH.C1.331,29.8545497906,-0.1327431372,0.5868635647,-0.2261907967,0.8210530283,0.9541327798
KH2013:KH.C1.1000,607.250417777,0.264222212,0.2356582042,1.1212094779,0.2621987063,0.6503850464
KH2013:KH.C1.666,76.2651261313,-0.6873291758,0.6401188791,-1.073752389,0.282933674,0.6719274892
KH2013:KH.C1.588,9.4118144078,-0.0728891372,0.6614436515,-0.110197047,0.9122531041,NA
KH2013:KH.C1.922,102.656539967,-0.6303842261,0.5835503213,-1.08025684,0.2800278234,0.6695156752
KH2013:KH.C1.193,0.135461797,0,0.2629053684,0,1,NA
KH2013:KH.C1.10,155.0008740047,0.5806547523,0.5170071915,1.1231076895,0.2613917607,0.6497370088
KH2013:KH.C1.487,413.8789181428,0.3264744435,0.397272241,0.8217902228,0.4111962992,0.7686547857
KH2013:KH.C1.927,55.3853497221,-0.2684097538,0.6272535875,-0.4279126643,0.6687147065,0.9007613558
KH2013:KH.C1.376,203.8743518656,0.1896400885,0.375497627,0.5050367162,0.6135330481,0.8792146661
KH2013:KH.C1.912,4859.4243307779,0.4589246243,0.2322056969,1.9763710817,0.0481127643,0.2856141743
KH2013:KH.C1.539,2571.0784774621,0.0504439254,0.1924103493,0.2621684625,0.7931915665,0.9481468663
KH2013:KH.C1.584,869.6109373282,-0.4382798656,0.2436532299,-1.7987853712,0.0720526383,0.3560929023
KH2013:KH.C1.352,57.8536173075,-0.6957375403,0.563441678,-1.2347995675,0.2169051084,0.5996506977
KH2013:KH.C1.245,106.5784404253,-0.3319573319,0.4242215507,-0.7825093546,0.4339152899,0.7838938333
KH2013:KH.C1.96,4612.5172396828,0.23920859,0.2252419737,1.0620071654,0.2882324323,0.6764173837
KH2013:KH.C1.359,75.7937716422,-0.5299867897,0.3992469511,-1.3274660915,0.1843545495,0.5588125932
KH2013:KH.C1.596,27.9180941542,-2.4796463419,0.5849224757,-4.2392734847,2.24244335415687E-05,0.0020084106
KH2013:KH.C1.866,121.0468706425,-1.1335291907,0.4219432138,-2.6864496298,0.0072215836,0.0983101335
KH2013:KH.C1.858,255.2783490283,-0.2035284247,0.3611828241,-0.5635052697,0.5730908727,0.8563732122
KH2013:KH.C1.234,251.6078733258,-0.1301492846,0.3879960026,-0.3354397565,0.737293382,0.9271624489
KH2013:KH.C1.1155,122.470087038,0.4036320019,0.4915660967,0.8211144027,0.4115811069,0.7687343249
KH2013:KH.C1.240,752.7031128253,-0.0887821076,0.2113706455,-0.420030451,0.6744632086,0.9035799045
KH2013:KH.C1.177,259.9050658285,-0.1699452119,0.3489542214,-0.487012913,0.62624918,0.8838661997
KH2013:KH.C1.326,1585.1559334641,0.6359421253,0.2027551888,3.1365023452,0.0017097607,0.0391372199
KH2013:KH.C1.383,6.8003450626,-0.1277467185,0.6493158826,-0.1967404801,0.8440306306,NA
KH2013:KH.C1.566,10.7007420361,-0.8136335539,0.6611879324,-1.2305632243,0.2184862668,NA
KH2013:KH.C1.404,2899.4507896892,0.0518795112,0.2009760483,0.2581377813,0.7963005742,0.9488210435
KH2013:KH.C1.1083,869.4518362099,-0.6172513193,0.3397804193,-1.8166182753,0.0692755832,0.3476100293
KH2013:KH.C1.1295,14.4976556286,-0.611056872,0.6422263869,-0.9514664681,0.3413676327,NA
KH2013:KH.C1.1067,71.7622991996,0.3968128419,0.6360364594,0.6238837979,0.5327039015,0.8378776797
KH2013:KH.C1.405,64.139406537,0.7913326333,0.6108065855,1.2955535386,0.1951293449,0.5729962348
KH2013:KH.C1.577,40.2121305086,-0.2120765924,0.5633598815,-0.3764495829,0.7065826905,0.9157723422
KH2013:KH.C1.842,132.0521409594,0.2484568779,0.4552044969,0.5458137598,0.5851939639,0.8630310876
KH2013:KH.C1.476,16.7788514352,-0.1393914514,0.5748412309,-0.242486871,0.8084029288,NA
KH2013:KH.C1.823,25.7827082255,-0.7735284845,0.5640478245,-1.3713881181,0.1702539995,0.5370897776
KH2013:KH.C1.355,271.2482251145,0.0341051907,0.3363606738,0.1013947033,0.9192371409,0.9808593461
KH2013:KH.C1.1027,7984.4029837667,0.6788134245,0.1566221922,4.3340820042,0.000014637,0.0014239492
KH2013:KH.C1.970,110.4557264198,0.3403148946,0.4030375935,0.8443750661,0.398459851,0.7617035688
KH2013:KH.C1.140,307.7511191203,0.5057691541,0.2884928593,1.7531427132,0.0795775134,0.3754315378
KH2013:KH.C1.1062,426.978134486,0.3167685235,0.3681842372,0.8603533001,0.3895943202,0.7569128034
KH2013:KH.C1.928,22.5823192755,-0.6751690283,0.628644449,-1.0740077788,0.2828191951,0.6719274892
KH2013:KH.C1.1274,0,NA,NA,NA,NA,NA
KH2013:KH.C1.538,503.2536766688,0.0903587607,0.2823991112,0.3199682901,0.7489923687,0.9317276568
KH2013:KH.C1.875,40.8977667213,-0.3800936197,0.4685969656,-0.8111312015,0.4172903294,0.7728740139
KH2013:KH.C1.1120,117.8905447562,-1.0610039142,0.4830293632,-2.196561938,0.0280517471,0.21673242
KH2013:KH.C1.388,554.1624275186,0.5998162053,0.2852014527,2.1031316625,0.0354542619,0.2456116301
KH2013:KH.C1.195,152.9048143162,0.1502976775,0.4376411162,0.3434267759,0.7312774188,0.9256831937
KH2013:KH.C1.797,16.8899216332,0.6976995929,0.6314984691,1.1048318041,0.2692324767,NA
KH2013:KH.C1.603,9194.0478829011,-0.1998827157,0.2521935322,-0.7925766927,0.4280244925,0.7804582967
KH2013:KH.C1.483,318.0549368924,-0.2268365037,0.3419243043,-0.6634114654,0.5070670648,0.8261986466
KH2013:KH.C1.1188,43.9898029147,-0.7743095882,0.6459822402,-1.198654607,0.2306622754,0.6169764821
KH2013:KH.C1.1170,45.4125999801,0.3337136153,0.6352953273,0.5252889498,0.5993823379,0.8716445167
KH2013:KH.C1.445,70.2406580105,-0.8267131575,0.5846574838,-1.4140127859,0.1573581484,0.5217266192
KH2013:KH.C1.98,5987.6356376854,0.2759917195,0.1893989476,1.4571977459,0.1450618026,0.5040398204
KH2013:KH.C1.779,44.657067832,-0.6930594757,0.5582508589,-1.2414839398,0.2144270274,0.5966789023
KH2013:KH.C1.515,128.070617553,-1.4820687524,0.4458316442,-3.3242789551,0.0008864748,0.0255405438
KH2013:KH.C1.414,15.551403168,0.1192522553,0.6634708857,0.1797399975,0.8573566913,NA
KH2013:KH.C1.769,3.4427791812,-0.240310825,0.5136813137,-0.4678208427,0.6399127143,NA
