GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.286,58.4617377966,-0.7301421972,0.5449810062,-1.3397571455,0.1803243122,0.4705094902
KH2013:KH.C1.560,0.8005883362,0.0465160039,0.3883872724,0.1197670654,0.9046676721,NA
KH2013:KH.C1.907,20.895117405,0.745858078,0.6038810264,1.2351076544,0.216790441,0.521235376
KH2013:KH.C1.1180,1485.261737388,-0.0932768652,0.337898467,-0.2760499805,0.7825096782,0.9273261359
KH2013:KH.C1.526,281.536363123,-0.2386613929,0.387848794,-0.6153464871,0.5383259234,0.7993778089
KH2013:KH.C1.183,61.9005864935,0.7771000357,0.5724797473,1.3574279952,0.174645258,0.4627127543
KH2013:KH.C1.172,2175.6326459309,-0.4576698137,0.2515503252,-1.8193966291,0.0688509406,0.2827851942
KH2013:KH.C1.969,2.5322187351,-0.5663016645,0.6127972137,-0.924125717,0.3554208652,NA
KH2013:KH.C1.655,277.5776504775,-0.4123221323,0.2973661093,-1.3865807818,0.1655696318,0.4511200039
KH2013:KH.C1.962,451.1550121545,0.5232968837,0.3025620722,1.7295521538,0.0837103208,0.3148145864
KH2013:KH.C1.403,2.7866119119,0.0909138997,0.4452282834,0.2041961463,0.8382002227,NA
KH2013:KH.C1.881,143.974257233,0.6043365372,0.4923118543,1.2275482134,0.2196166123,0.5248497363
KH2013:KH.C1.1034,29.3422280674,-0.092724333,0.5551445812,-0.1670273586,0.8673485223,0.9590070456
KH2013:KH.C1.165,702.0642910524,0.4208600961,0.2570428377,1.6373150088,0.1015646665,0.3467607315
KH2013:KH.C1.709,22.8988729499,-0.9367162614,0.6493744413,-1.4424901901,0.149164137,0.4257902201
KH2013:KH.C1.841,32.174816974,-0.3913850814,0.5865990272,-0.6672105872,0.5046376295,0.774203553
KH2013:KH.C1.1238,568.7747829735,-0.4535840453,0.3097199977,-1.4644971222,0.1430581688,0.4177394005
KH2013:KH.C1.443,14.07069735,-0.2597360549,0.6547471472,-0.396696734,0.6915911089,0.8856298784
KH2013:KH.C1.914,133.4560453345,-0.623573765,0.354977748,-1.756655927,0.078976474,0.3049535302
KH2013:KH.C1.150,643.4954816584,-0.3002938022,0.2850553762,-1.0534577744,0.2921312372,0.6028937545
KH2013:KH.C1.771,29.4175458473,1.5287198367,0.650884695,2.3486799558,0.0188400928,0.1323740376
KH2013:KH.C1.110,311.6253974326,-0.3987125923,0.3144110372,-1.2681253044,0.2047532063,0.5048923432
KH2013:KH.C1.831,439.4539518605,-0.1738569317,0.2934126104,-0.5925339453,0.5534930967,0.8095633533
KH2013:KH.C1.997,1305.7763158685,-0.1141054765,0.2199635125,-0.5187472922,0.6039369779,0.8389796592
KH2013:KH.C1.781,5.7533541908,-0.3187160466,0.6479290954,-0.491899575,0.6227903388,NA
KH2013:KH.C1.15,48.3804306407,0.467064162,0.5840164787,0.7997448342,0.423858651,0.7173581242
KH2013:KH.C1.344,101.0079026462,0.6256590427,0.5899876218,1.0604613038,0.2889347854,0.6001627141
KH2013:KH.C1.269,421.1282328558,-0.147849638,0.2668654897,-0.5540230705,0.5795630569,0.8247610799
KH2013:KH.C1.1208,79.8499877218,-0.0929921671,0.6260383658,-0.148540684,0.8819160808,0.9632725864
KH2013:KH.C1.208,120.1673235222,0.0185706282,0.4540465506,0.0409002736,0.9673753993,0.9897973919
KH2013:KH.C1.1011,756.0928370822,0.0402839752,0.2856345913,0.1410332516,0.8878436739,0.9656332077
KH2013:KH.C1.230,215.9278973229,-0.7740747694,0.4471486774,-1.731135098,0.0834276717,0.3143299153
KH2013:KH.C1.516,96.8036098706,0.3452129276,0.3702285153,0.9324320342,0.351113296,0.657449784
KH2013:KH.C1.897,162.833806207,0.8735860654,0.4613020061,1.8937400094,0.0582595279,0.2570205249
KH2013:KH.C1.821,190.8996567442,0.4511388667,0.293129003,1.5390454788,0.1237931939,0.388484704
KH2013:KH.C1.329,13364.1752908653,-0.4357256476,0.2043263819,-2.1324982291,0.0329659099,0.183049359
KH2013:KH.C1.301,315.2950662671,0.6217573064,0.4313848752,1.4413052987,0.149498451,0.4262432312
KH2013:KH.C1.1197,153.5316880335,1.0785332892,0.4048919211,2.6637560124,0.0077273587,0.0764251828
KH2013:KH.C1.593,79.8064892054,-0.2261891172,0.5207926591,-0.4343170229,0.664058244,0.8707955426
KH2013:KH.C1.1300,657.4996636087,0.6728429785,0.3343736935,2.0122485458,0.0441937434,0.2187802033
KH2013:KH.C1.582,42.7063717163,2.5635587354,0.6238683105,4.1091343991,3.97144907844664E-05,0.00164956
KH2013:KH.C1.78,227.0079850212,0.7832032581,0.3414711366,2.2936148162,0.0218126336,0.1447516331
KH2013:KH.C1.1225,19.5184761229,-0.5601700375,0.6332075522,-0.8846547005,0.3763428946,0.6792207217
KH2013:KH.C1.671,44.4967629077,-1.0424097994,0.4561118842,-2.2854256501,0.0222878814,0.146910483
KH2013:KH.C1.287,8790.6384834712,-0.4526152926,0.2002866747,-2.2598372722,0.0238313522,0.1522614656
KH2013:KH.C1.869,51.7340539779,0.6138653553,0.5844471539,1.0503350922,0.2935640764,0.6043539634
KH2013:KH.C1.1216,737.1938909209,-0.64899105,0.3225684283,-2.011948452,0.0442253711,0.2187802033
KH2013:KH.C1.1220,32.3765197545,-0.7606547576,0.6297113232,-1.2079420038,0.2270695713,0.5327096309
KH2013:KH.C1.791,229.5250268551,-0.2236111916,0.3615193557,-0.6185317275,0.5362248902,0.797933932
KH2013:KH.C1.1166,17.2535774553,-1.8428743917,0.6230489739,-2.9578323194,0.003098106,0.0412626868
KH2013:KH.C1.1253,9.7800628437,-1.3813813017,0.6365609163,-2.1700692993,0.0300015965,0.1737810977
KH2013:KH.C1.139,283.0674853255,0.0156478087,0.354719661,0.0441131699,0.964814195,0.9893018649
KH2013:KH.C1.631,1584.0898918968,0.4931618659,0.2749591654,1.7935822043,0.072879879,0.2919574962
KH2013:KH.C1.130,821.7513159188,0.4053474847,0.3498437732,1.1586528496,0.2465977173,0.5545381645
KH2013:KH.C1.608,461.6301823872,-0.6844055856,0.4103214503,-1.6679741827,0.095320852,0.3354376388
KH2013:KH.C1.1246,1.517748511,-0.4332426571,0.4783270515,-0.905745673,0.365070482,NA
KH2013:KH.C1.1202,1549.3522782862,0.3391810264,0.190937194,1.7764010217,0.0756668428,0.2971481903
KH2013:KH.C1.318,3.6398980318,0.7049099783,0.6243513981,1.1290276285,0.2588861789,NA
KH2013:KH.C1.1156,473.38894551,0.7298944853,0.4420390115,1.6511992522,0.0986978958,0.3422902803
KH2013:KH.C1.568,118.7842615525,0.4724435809,0.4843961173,0.9753248717,0.329399137,0.6392120019
KH2013:KH.C1.523,149.4451132815,0.3695676648,0.4792454599,0.7711448428,0.4406210833,0.7278572214
KH2013:KH.C1.996,498.9776880106,-0.0354440821,0.3505343415,-0.1011144355,0.9194596189,0.9765748033
KH2013:KH.C1.1100,200.8189063194,-0.2424536806,0.5571630298,-0.4351575169,0.6634480968,0.8704083868
KH2013:KH.C1.1153,11.2845463185,0.5938043127,0.6633981564,0.8950949093,0.370736355,0.6757540197
KH2013:KH.C1.114,11.5331344174,0.2071926627,0.6599024997,0.3139746596,0.753540285,0.9128152441
KH2013:KH.C1.159,3300.2235794914,0.8353041459,0.3127663945,2.670696598,0.0075694031,0.0752537522
KH2013:KH.C1.636,48.7376221303,-2.551623912,0.5776834622,-4.416993179,1.00083387246443E-05,0.000544617
KH2013:KH.C1.1256,15.286909128,0.5162286929,0.642037913,0.8040470546,0.4213698002,0.7158094258
KH2013:KH.C1.1039,2260.3216350383,0.5296275631,0.2104232698,2.516962898,0.0118371293,0.0998924487
KH2013:KH.C1.1214,46.454218467,0.2690241798,0.6139970993,0.4381521999,0.6612759565,0.869544876
KH2013:KH.C1.56,30.0253491662,0.3941575408,0.5821931047,0.6770220011,0.4983919953,0.770205411
