GeneID,UniqueNAME,Cell type,Type
KH2013:KH.C1.1083,KH2013:KH.C1.1083_EPHA10/2/3/4/5/6/7/8,FHP,De Novo
KH2013:KH.C1.1211,LAMA1/2,FHP,De Novo
KH2013:KH.C1.1161,KH2013:KH.C1.1161_CCH1,FHP,De Novo
KH2013:KH.C11.186,JAG1/2,FHP,De Novo
KH2013:KH.C12.13,FRAS1,FHP,De Novo
KH2013:KH.C12.49,COL13A1,FHP,Primed
KH2013:KH.C12.244,KH2013:KH.C12.244,FHP,De Novo
KH2013:KH.C2.170,ODZ1/2/3/4,FHP,De Novo
KH2013:KH.C3.815,DSEL,FHP,Uncertain
KH2013:KH.C3.693,MYLK2/3/4,FHP,De Novo
KH2013:KH.C3.21,KH2013:KH.C3.21_HSPG2,FHP,De Novo
KH2013:KH.C4.231,BX005256.5,FHP,Primed
KH2013:KH.C5.236,MMP21,FHP,De Novo
KH2013:KH.C7.207,FOXP1/2/4,FHP,De Novo
KH2013:KH.C8.738,ERG5,FHP,Uncertain
KH2013:KH.L154.10,SMTN,FHP,De Novo
KH2013:KH.L96.80,KH2013:KH.L96.80_SLC5A12/8,FHP,De Novo
KH2013:KH.S423.6,SMYD1,FHP,Uncertain
