GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.C1.1017,NRCAM,KYOTOGRAIL2005.94.16.1,2.158518279,0.0463539,2.11198128,0.141032869,-0.046536999,0.996279848
KH2013:KH.C1.1067,FRQ1/2,KYOTOGRAIL2005.59.45.1,1.922414919,0.000161047,1.457300646,0.031572576,-0.465114272,0.68354601
KH2013:KH.C1.1281,ARHGEF16/26,KYOTOGRAIL2005.113.46.1,2.266049494,0.000000329,1.25358786,0.034767055,-1.012461635,0.071120999
KH2013:KH.C1.200,FAM110C,KYOTOGRAIL2005.262.6.1,1.494838327,0.000456497,0.365439784,0.775740591,-1.129398543,0.021752805
KH2013:KH.C1.232,KCNA1/10/2/3/4/5/6/7,KYOTOGRAIL2005.185.33.1,1.605719544,0.000260754,1.128868852,0.070371843,-0.476850692,0.57638481
KH2013:KH.C1.448,RAP1GAP/2,KYOTOGRAIL2005.126.7.1,1.614371649,0.006805834,0.237292402,0.930833924,-1.377079247,0.040931842
KH2013:KH.C1.483,CAPN3/8,KYOTOGRAIL2005.116.42.1,1.311081264,0.034640622,0.22301965,0.936354929,-1.088061614,0.132109966
KH2013:KH.C1.509,KH2013:KH.C1.509,KYOTOGRAIL2005.365.13.1,2.411411384,0.013749541,1.297326793,0.474665149,-1.114084591,0.484988516
KH2013:KH.C1.515,RAB12,KYOTOGRAIL2005.116.32.1,1.683481648,0.004606317,0.906534556,0.399616044,-0.776947093,0.40724524
KH2013:KH.C1.744,HMGA2,KYOTOGRAIL2005.113.20.1,1.320022109,0.019322045,0.400434132,0.809258641,-0.919587977,0.19938213
KH2013:KH.C1.801,GABRB1,KYOTOGRAIL2005.113.47.1,1.558663899,0.017244173,0.873074403,0.459618236,-0.685589495,0.532331754
KH2013:KH.C1.90,SLC25A33/36,KYOTOGRAIL2005.126.4.1,2.102729948,0.039580371,0.609162232,0.851495775,-1.493567717,0.249349788
KH2013:KH.C10.250,RBFOX1/2/3,KYOTOGRAIL2005.279.3.1,1.678108566,0.000012,0.085992189,0.977392736,-1.592116376,0.0000843
KH2013:KH.C10.291,KCNJ12/14/18/2/4,KYOTOGRAIL2005.9.81.1,1.590066574,0.009139303,0.710926423,0.576855592,-0.87914015,0.315564708
