GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.C1.1116,HAND/2,KYOTOGRAIL2005.146.27.1,-2.361243431,0.000161047,-2.198238336,0.003464332,0.163005095,0.954787102
KH2013:KH.C1.1146,KH2013:KH.C1.1146_QDR1/2/3,KYOTOGRAIL2005.155.20.1,-1.763993717,0.024379135,-0.433394448,0.873369885,1.330599269,0.163634816
KH2013:KH.C1.142,RASSF10A,KYOTOGRAIL2005.162.24.1,-1.252498311,0.000668368,-0.707872334,0.270777905,0.544625977,0.34154666
KH2013:KH.C1.146,KH2013:KH.C1.146_EPHA10/2/3/4/5/6/7/8,KYOTOGRAIL2005.168.13.1,-1.032806447,0.023315165,-0.165662181,0.938501284,0.867144267,0.099993595
KH2013:KH.C1.159,HES1/2/4,KYOTOGRAIL2005.275.9.1,-1.123695302,0.037472,0.140634924,0.961550579,1.264330227,0.020574779
KH2013:KH.C1.22,UBE2D1/3,KYOTOGRAIL2005.113.8.1,-1.007935501,0.028622172,-0.32625419,0.804380653,0.681681311,0.255873399
KH2013:KH.C1.324,KH2013:KH.C1.324_CDIPT,KYOTOGRAIL2005.2351.1.1,-2.826989175,0.00011173,-0.163035694,0.977588621,2.663953482,0.000634386
KH2013:KH.C1.50,KH2013:KH.C1.50_CHDH,KYOTOGRAIL2005.354.8.1,-1.0925615,0.023412679,-0.133792022,0.959811097,0.958769478,0.079719934
KH2013:KH.C1.522,KH2013:KH.C1.522,KYOTOGRAIL2005.33.36.1,-3.362776506,0.012358818,-2.069708729,0.367549278,1.293067777,0.600641113
KH2013:KH.C1.635,KH2013:KH.C1.635,KYOTOGRAIL2005.69.55.1,-1.744894531,0.001077637,-0.168977738,0.956460288,1.575916793,0.006872903
KH2013:KH.C1.638,KH2013:KH.C1.638_C17ORF105,KYOTOGRAIL2005.450.9.1,-1.692818592,0.000607011,-0.562514781,0.622366035,1.130303811,0.060453075
KH2013:KH.C1.69,KH2013:KH.C1.69,KYOTOGRAIL2005.173.17.1,-3.733939791,0.004707813,-0.664419188,0.899671404,3.069520603,0.041616099
KH2013:KH.C1.697,FGF4,KYOTOGRAIL2005.137.16.1,-2.510757836,0.000119458,0.323928231,0.913194234,2.834686067,0.0000337
KH2013:KH.C1.770,FAM134C,KYOTOGRAIL2005.911.3.1,-1.289508703,0.013088354,-0.16341253,0.954375373,1.126096173,0.055101897
KH2013:KH.C1.822,Y56A3A.30,KYOTOGRAIL2005.23.61.1,-1.037692558,0.025619632,-0.08899146,0.978742067,0.948701097,0.066224311
KH2013:KH.C1.881,PTPMT1,KYOTOGRAIL2005.697.2.1,-1.303113059,0.038294136,-0.973164257,0.319745324,0.329948802,0.840032857
KH2013:KH.C1.953,KH2013:KH.C1.953_CG32702,KYOTOGRAIL2005.708.3.1,-2.023237755,0.011972971,-1.144231693,0.429734165,0.879006062,0.516040932
KH2013:KH.C1.961,KH2013:KH.C1.961,KYOTOGRAIL2005.155.17.1,-2.563601173,0.010267082,-0.240951761,0.969559455,2.322649412,0.03653011
KH2013:KH.C10.113,KH2013:KH.C10.113,KYOTOGRAIL2005.344.11.1,-2.0551084,0.0000017,-0.807711994,0.29050973,1.247396405,0.012940494
KH2013:KH.C10.119,KH2013:KH.C10.119,KYOTOGRAIL2005.38.77.1,-3.020070643,0.011972971,-0.273312541,0.97226214,2.746758102,0.039690974
KH2013:KH.C10.174,KH2013:KH.C10.174,KYOTOGRAIL2005.38.22.1,-1.205480172,0.004100938,-0.282143592,0.84613021,0.923336581,0.063418584
KH2013:KH.C10.203,KH2013:KH.C10.203,KYOTOGRAIL2005.39.38.1,-2.335168465,0.002350668,-0.3196698,0.92712957,2.015498664,0.018897438
KH2013:KH.C10.289,KH2013:KH.C10.289,KYOTOGRAIL2005.192.4.1,-2.618292826,0.004004024,-0.409892659,0.919669271,2.208400167,0.032212647
KH2013:KH.C10.439,KH2013:KH.C10.439_MIF,KYOTOGRAIL2005.38.23.1,-1.329021284,0.01509562,-0.339954816,0.852422536,0.989066467,0.139500104
