GeneID,UniqueNAME,Cell type,Type
KH2013:KH.C1.21,KH2013:KH.C1.21_CG2781,ASM,Primed
KH2013:KH.C1.740,MAP4K4,ASM,Primed
KH2013:KH.C1.397,NAB1/2,ASM,Primed
KH2013:KH.C1.612,GNAI1/2/3,ASM,Primed
KH2013:KH.C1.330,SI:DKEY-79F11.5,ASM,Primed
KH2013:KH.C1.1116,HAND/2,ASM,Primed
KH2013:KH.C1.129,RHOF,ASM,Primed
KH2013:KH.C10.209,KH2013:KH.C10.209,ASM,Primed
KH2013:KH.C11.697,HUNK,ASM,Primed
KH2013:KH.C11.291,TUBA1L/2,ASM,Primed
KH2013:KH.C11.417,NOVA1/2,ASM,Primed
KH2013:KH.C11.540,PCBP3,ASM,Primed
KH2013:KH.C11.698,LGR4/5/6,ASM,Primed
KH2013:KH.C12.283,KH2013:KH.C12.283,ASM,Primed
KH2013:KH.C12.630,KH2013:KH.C12.630,ASM,Primed
KH2013:KH.C13.73,KH2013:KH.C13.73_FNBP1,ASM,Primed
KH2013:KH.C14.310,ZCCHC24,ASM,Primed
KH2013:KH.C14.65,DCDC2B,ASM,Primed
KH2013:KH.C14.464,FRS2/3,ASM,Primed
KH2013:KH.C2.450,KH2013:KH.C2.450,ASM,Primed
KH2013:KH.C2.140,TMSB15B1/2,ASM,Primed
KH2013:KH.C3.354,KH2013:KH.C3.354,ASM,Primed
KH2013:KH.C3.298,SEPT12/3/9,ASM,Primed
KH2013:KH.C3.246,SELT/2,ASM,Primed
KH2013:KH.C3.885,KH2013:KH.C3.885_CRG1,ASM,Primed
KH2013:KH.C3.562,MYO10,ASM,Primed
KH2013:KH.C3.230,SMAD6/7,ASM,Primed
KH2013:KH.C4.45,SMURF1/2,ASM,Primed
KH2013:KH.C4.506,KH2013:KH.C4.506_HMCN1,ASM,Primed
KH2013:KH.C4.265,CALD1,ASM,Primed
KH2013:KH.C4.635,CASQ1/2,ASM,Primed
KH2013:KH.C5.16,CD109,ASM,Primed
KH2013:KH.C6.94,TP53I11,ASM,Primed
KH2013:KH.C7.120,GIGYF1/2,ASM,Primed
KH2013:KH.C7.21,PALLD,ASM,Primed
KH2013:KH.C7.49,PRMT3,ASM,Primed
KH2013:KH.C7.702,ZBTB10/46,ASM,Primed
KH2013:KH.C7.582,KH2013:KH.C7.582_SRM,ASM,Primed
KH2013:KH.C7.805,KH2013:KH.C7.805_ID1/2/3/4,ASM,Primed
KH2013:KH.C8.865,TIMM23,ASM,Primed
KH2013:KH.C8.422,STARD7,ASM,Primed
KH2013:KH.C8.247,ELK1/3/4,ASM,Primed
KH2013:KH.C8.644,MAK16,ASM,Primed
KH2013:KH.C8.87,SLC6A11/12/13/2/6/8,ASM,Primed
KH2013:KH.C8.479,SRP54,ASM,Primed
KH2013:KH.C8.892,KH2013:KH.C8.892_TUB1/3,ASM,Primed
KH2013:KH.C8.106,Ci-clstr03153,ASM,Primed
