GeneID,UniqueNAME,Cell type,Type
KH2013:KH.C1.603,TAOK1/2/3,pan-cardiac,Primed
KH2013:KH.C1.574,KH2013:KH.C1.574_MS4A15/2,pan-cardiac,Primed
KH2013:KH.C1.142,RASSF10A,pan-cardiac,Primed
KH2013:KH.C1.738,KH2013:KH.C1.738_CG9550,pan-cardiac,Primed
KH2013:KH.C10.118,KH2013:KH.C10.118,pan-cardiac,Primed
KH2013:KH.C10.174,KH2013:KH.C10.174,pan-cardiac,Primed
KH2013:KH.C10.229,PCTP,pan-cardiac,Primed
KH2013:KH.C11.378,KH2013:KH.C11.378_CLDN1/10/14/19/2/3/4/5/6/7/9,pan-cardiac,Primed
KH2013:KH.C11.218,SPECC1,pan-cardiac,Primed
KH2013:KH.C11.482,KH2013:KH.C11.482,pan-cardiac,Primed
KH2013:KH.C11.217,KH2013:KH.C11.217_SLC17A5,pan-cardiac,Primed
KH2013:KH.C11.122,KH2013:KH.C11.122_SLC17A5,pan-cardiac,Primed
KH2013:KH.C12.84,KH2013:KH.C12.84_TRIM2,pan-cardiac,Primed
KH2013:KH.C14.368,ARL1,pan-cardiac,Primed
KH2013:KH.C14.604,HAND/1/2,pan-cardiac,Primed
KH2013:KH.C14.539,SCYL,pan-cardiac,Primed
KH2013:KH.C14.330,KH2013:KH.C14.330,pan-cardiac,Primed
KH2013:KH.C2.994,KH2013:KH.C2.994_RNF149,pan-cardiac,Primed
KH2013:KH.C2.514,KH2013:KH.C2.514_ENPP1/2/3,pan-cardiac,Primed
KH2013:KH.C2.209,KH2013:KH.C2.209_CALM1/3,pan-cardiac,Primed
KH2013:KH.C2.935,KH2013:KH.C2.935_S1PR1/2/3/4/5,pan-cardiac,Primed
KH2013:KH.C3.665,KH2013:KH.C3.665_ZAN,pan-cardiac,Primed
KH2013:KH.C3.191,KH2013:KH.C3.191_WBSCR27,pan-cardiac,Primed
KH2013:KH.C3.17,RORB,pan-cardiac,Primed
KH2013:KH.C4.394,TRAF4,pan-cardiac,Primed
KH2013:KH.C4.125,KH2013:KH.C4.125_BMP2/4,pan-cardiac,Primed
KH2013:KH.C4.391,KH2013:KH.C4.391_FRMD4A,pan-cardiac,Primed
KH2013:KH.C4.226,KH2013:KH.C4.226,pan-cardiac,Primed
KH2013:KH.C4.366,ERF,pan-cardiac,Primed
KH2013:KH.C4.359,KH2013:KH.C4.359_GPA33,pan-cardiac,Primed
KH2013:KH.C4.249,NHS,pan-cardiac,Primed
KH2013:KH.C5.299,KH2013:KH.C5.299_CAPSL,pan-cardiac,Primed
KH2013:KH.C5.74,FOXG1,pan-cardiac,Primed
KH2013:KH.C5.227,KH2013:KH.C5.227_F56C4.4,pan-cardiac,Primed
KH2013:KH.C6.71,TCF7L1/2,pan-cardiac,Primed
KH2013:KH.C6.162,FZD4,pan-cardiac,Primed
KH2013:KH.C7.216,KH2013:KH.C7.216,pan-cardiac,Primed
KH2013:KH.C7.205,KH2013:KH.C7.205_ASB2,pan-cardiac,Primed
KH2013:KH.C8.482,NKX2-3,pan-cardiac,Primed
KH2013:KH.C8.467,KH2013:KH.C8.467_SRP-1/2/3/6/7/8,pan-cardiac,Primed
KH2013:KH.C8.686,CG15828,pan-cardiac,Primed
KH2013:KH.C8.166,KH2013:KH.C8.166,pan-cardiac,Primed
KH2013:KH.C9.161,KH2013:KH.C9.161,pan-cardiac,Primed
KH2013:KH.C9.773,WNT9B,pan-cardiac,Primed
KH2013:KH.C9.247,KH2013:KH.C9.247_BX119910.1/10/11/12/13/14/16/2/3/4/5/6/7/8/9,pan-cardiac,Primed
KH2013:KH.C9.717,FOXH1,pan-cardiac,Primed
KH2013:KH.C9.28,TNS1/3,pan-cardiac,Primed
KH2013:KH.C9.133,UNC5A,pan-cardiac,Primed
KH2013:KH.C9.234,MTDH,pan-cardiac,Primed
KH2013:KH.C9.371,DDR/1/2,pan-cardiac,Primed
KH2013:KH.L119.8,SNX11,pan-cardiac,Primed
