GeneID,UniqueNAME,Cell type,Type
KH2013:KH.S555.1,KH2013:KH.S555.1_HTR7,STVC,Primed
KH2013:KH.C7.628,TBX1/10,STVC,De Novo
KH2013:KH.C4.404,KH2013:KH.C4.404,STVC,De Novo
KH2013:KH.S854.4,TMSB15A,STVC,De Novo
KH2013:KH.C8.247,ELK1/3/4,STVC,Primed
KH2013:KH.C1.1116,HAND/2,STVC,Primed
KH2013:KH.C6.94,TP53I11,STVC,Primed
KH2013:KH.C10.464,HRH1,STVC,De Novo
KH2013:KH.C1.777,ZEB1/2,STVC,De Novo
KH2013:KH.C3.696,KH2013:KH.C3.696,STVC,De Novo
KH2013:KH.C4.45,SMURF1/2,STVC,Primed
KH2013:KH.C1.21,KH2013:KH.C1.21_CG2781,STVC,Primed
KH2013:KH.C4.125,KH2013:KH.C4.125_BMP2/4,STVC,Primed
KH2013:KH.C4.317,ZK637.14,STVC,De Novo
KH2013:KH.C3.267,NOX5,STVC,De Novo
KH2013:KH.C10.203,KH2013:KH.C10.203,STVC,De Novo
KH2013:KH.C11.485,IRX4/6,STVC,De Novo
KH2013:KH.C10.58,ITPKA,STVC,Primed
KH2013:KH.C3.170,FOXF1/2,STVC,De Novo
KH2013:KH.C14.310,ZCCHC24,STVC,Primed
KH2013:KH.S1012.2,KH2013:KH.S1012.2,STVC,De Novo
KH2013:KH.L108.33,KH2013:KH.L108.33,STVC,De Novo
