GeneID,UniqueNAME,Cell type,Type
KH2013:KH.C1.10,LASP/1,TVC-specific,Primed
KH2013:KH.C1.757,KH2013:KH.C1.757,TVC-specific,Primed
KH2013:KH.C1.117,FBXO25/32,TVC-specific,Primed
KH2013:KH.C1.697,FGF4,TVC-specific,Primed
KH2013:KH.C1.611,KH2013:KH.C1.611_TSTA3,TVC-specific,Primed
KH2013:KH.C10.269,KH2013:KH.C10.269,TVC-specific,Primed
KH2013:KH.C10.182,KH2013:KH.C10.182,TVC-specific,Primed
KH2013:KH.C10.125,KH2013:KH.C10.125,TVC-specific,Primed
KH2013:KH.C11.458,KH2013:KH.C11.458,TVC-specific,Primed
KH2013:KH.C11.531,KH2013:KH.C11.531_CYP3A11/13/16/25/4/43/44/5/57/59/65/7,TVC-specific,Primed
KH2013:KH.C11.256,STAB2,TVC-specific,Primed
KH2013:KH.C11.515,KH2013:KH.C11.515,TVC-specific,Primed
KH2013:KH.C12.268,KH2013:KH.C12.268,TVC-specific,Primed
KH2013:KH.C12.15,BAR-1,TVC-specific,Primed
KH2013:KH.C12.510,KH2013:KH.C12.510,TVC-specific,Primed
KH2013:KH.C12.11,KH2013:KH.C12.11,TVC-specific,Primed
KH2013:KH.C12.194,KH2013:KH.C12.194_CYP-33C1/11/12/3/4/5/6/7/8,TVC-specific,Primed
KH2013:KH.C12.691,KH2013:KH.C12.691_CYP-33C1/11/12/3/4/5/6/7/8,TVC-specific,Primed
KH2013:KH.C12.261,KH2013:KH.C12.261_USH2A,TVC-specific,Primed
KH2013:KH.C12.156,NAS-30/33/36/37/38/39,TVC-specific,Primed
KH2013:KH.C14.194,KH2013:KH.C14.194,TVC-specific,Primed
KH2013:KH.C14.353,KH2013:KH.C14.353,TVC-specific,Primed
KH2013:KH.C2.245,KH2013:KH.C2.245_B3GNT2/7/9,TVC-specific,Primed
KH2013:KH.C2.869,KH2013:KH.C2.869_GDPD1,TVC-specific,Primed
KH2013:KH.C2.1004,KH2013:KH.C2.1004_AGMAT,TVC-specific,Primed
KH2013:KH.C2.996,KH2013:KH.C2.996,TVC-specific,Primed
KH2013:KH.C2.1040,KH2013:KH.C2.1040,TVC-specific,Primed
KH2013:KH.C2.250,KH2013:KH.C2.250,TVC-specific,Primed
KH2013:KH.C3.174,HMGN5,TVC-specific,Primed
KH2013:KH.C3.546,KH2013:KH.C3.546,TVC-specific,Primed
KH2013:KH.C3.351,KH2013:KH.C3.351,TVC-specific,Primed
KH2013:KH.C3.600,KH2013:KH.C3.600_T05B4.12/13/8,TVC-specific,Primed
KH2013:KH.C3.316,KH2013:KH.C3.316_TSP,TVC-specific,Primed
KH2013:KH.C4.697,KH2013:KH.C4.697_ALD4/5/6,TVC-specific,Primed
KH2013:KH.C5.618,CYP-34A9,TVC-specific,Primed
KH2013:KH.C5.616,KH2013:KH.C5.616_CYP-33C1/11/12/3/4/5/6/7/8,TVC-specific,Primed
KH2013:KH.C5.309,KH2013:KH.C5.309_CYP-33C1/11/12/3/4/5/6/7/8,TVC-specific,Primed
KH2013:KH.C5.363,KH2013:KH.C5.363_GPR161,TVC-specific,Primed
KH2013:KH.C6.110,KH2013:KH.C6.110,TVC-specific,Primed
KH2013:KH.C6.86,KH2013:KH.C6.86_ARF1/2,TVC-specific,Primed
KH2013:KH.C7.531,KH2013:KH.C7.531,TVC-specific,Primed
KH2013:KH.C7.569,KH2013:KH.C7.569_LOXHD1,TVC-specific,Primed
KH2013:KH.C7.551,KH2013:KH.C7.551_CYP11A1,TVC-specific,Primed
KH2013:KH.C8.918,KH2013:KH.C8.918,TVC-specific,Primed
KH2013:KH.C8.743,KH2013:KH.C8.743,TVC-specific,Primed
KH2013:KH.C8.603,TAG-320,TVC-specific,Primed
KH2013:KH.C8.332,KH2013:KH.C8.332_ECT2,TVC-specific,Primed
KH2013:KH.C9.162,KH2013:KH.C9.162_RGS3,TVC-specific,Primed
KH2013:KH.C9.672,KH2013:KH.C9.672_RGS3,TVC-specific,Primed
KH2013:KH.C9.456,KH2013:KH.C9.456,TVC-specific,Primed
KH2013:KH.C9.510,KH2013:KH.C9.510,TVC-specific,Primed
KH2013:KH.C9.433,KH2013:KH.C9.433_CDC42,TVC-specific,Primed
KH2013:KH.L104.1,KH2013:KH.L104.1,TVC-specific,Primed
KH2013:KH.L119.32,KH2013:KH.L119.32_TUB1/3,TVC-specific,Primed
KH2013:KH.L119.19,KH2013:KH.L119.19_TUB1/3,TVC-specific,Primed
KH2013:KH.L129.5,STP22,TVC-specific,Primed
KH2013:KH.L13.35,KH2013:KH.L13.35,TVC-specific,Primed
KH2013:KH.L134.29,KH2013:KH.L134.29,TVC-specific,Primed
KH2013:KH.L141.18,KH2013:KH.L141.18,TVC-specific,Primed
KH2013:KH.L143.9,KH2013:KH.L143.9,TVC-specific,Primed
KH2013:KH.L146.5,KH2013:KH.L146.5,TVC-specific,Primed
KH2013:KH.L152.22,KH2013:KH.L152.22,TVC-specific,Primed
KH2013:KH.L153.106,KH2013:KH.L153.106,TVC-specific,Primed
KH2013:KH.L154.5,KH2013:KH.L154.5_HIS-13/17/2/25/27/42/45/49/55/59/6/63/9,TVC-specific,Primed
KH2013:KH.L154.17,ACTB/1,TVC-specific,Primed
KH2013:KH.L164.11,KH2013:KH.L164.11_MYHZ1.1/2/3,TVC-specific,Primed
KH2013:KH.L27.2,KH2013:KH.L27.2,TVC-specific,Primed
KH2013:KH.L37.39,KH2013:KH.L37.39_VBA2/3/5,TVC-specific,Primed
KH2013:KH.L37.70,KH2013:KH.L37.70_MYHZ1.1/2/3,TVC-specific,Primed
KH2013:KH.L4.12,KH2013:KH.L4.12,TVC-specific,Primed
KH2013:KH.L42.11,KH2013:KH.L42.11_CG31705,TVC-specific,Primed
KH2013:KH.L67.2,KH2013:KH.L67.2_GPR133,TVC-specific,Primed
KH2013:KH.L8.12,HERC1,TVC-specific,Primed
KH2013:KH.L84.7,BICD1,TVC-specific,Primed
KH2013:KH.L96.44,MMP23B,TVC-specific,Primed
KH2013:KH.S1012.2,KH2013:KH.S1012.2,TVC-specific,Primed
KH2013:KH.S1036.2,KH2013:KH.S1036.2,TVC-specific,Primed
KH2013:KH.S1054.1,SCEL,TVC-specific,Primed
KH2013:KH.S1111.2,KH2013:KH.S1111.2,TVC-specific,Primed
KH2013:KH.S1219.3,KH2013:KH.S1219.3,TVC-specific,Primed
KH2013:KH.S1248.1,KH2013:KH.S1248.1,TVC-specific,Primed
KH2013:KH.S1328.1,KH2013:KH.S1328.1,TVC-specific,Primed
KH2013:KH.S1354.2,KH2013:KH.S1354.2,TVC-specific,Primed
KH2013:KH.S1365.1,KH2013:KH.S1365.1,TVC-specific,Primed
KH2013:KH.S1366.1,KH2013:KH.S1366.1,TVC-specific,Primed
KH2013:KH.S1393.1,KH2013:KH.S1393.1,TVC-specific,Primed
KH2013:KH.S1641.1,KH2013:KH.S1641.1,TVC-specific,Primed
KH2013:KH.S1937.1,KH2013:KH.S1937.1_Y20F4.8,TVC-specific,Primed
KH2013:KH.S2084.1,KH2013:KH.S2084.1,TVC-specific,Primed
KH2013:KH.S2237.1,KH2013:KH.S2237.1,TVC-specific,Primed
KH2013:KH.S2830.1,KH2013:KH.S2830.1,TVC-specific,Primed
KH2013:KH.S2892.2,KH2013:KH.S2892.2_CCDC39,TVC-specific,Primed
KH2013:KH.S2892.1,KH2013:KH.S2892.1,TVC-specific,Primed
KH2013:KH.S404.9,KH2013:KH.S404.9,TVC-specific,Primed
KH2013:KH.S497.6,KAZALD1/2,TVC-specific,Primed
KH2013:KH.S511.1,KH2013:KH.S511.1,TVC-specific,Primed
KH2013:KH.S598.4,KH2013:KH.S598.4,TVC-specific,Primed
KH2013:KH.S683.3,RGS1/10/13/18/21/3/4/5/8,TVC-specific,Primed
