GeneID,UniqueNAME,Cell type,Type
KH2013:KH.C7.628,TBX1/10,STVC,De Novo
KH2013:KH.C4.404,KH2013:KH.C4.404,STVC,De Novo
KH2013:KH.S854.4,TMSB15A,STVC,De Novo
KH2013:KH.C10.464,HRH1,STVC,De Novo
KH2013:KH.C1.777,ZEB1/2,STVC,De Novo
KH2013:KH.C3.696,KH2013:KH.C3.696,STVC,De Novo
KH2013:KH.C4.317,ZK637.14,STVC,De Novo
KH2013:KH.C3.267,NOX5,STVC,De Novo
KH2013:KH.C10.203,KH2013:KH.C10.203,STVC,De Novo
KH2013:KH.C11.485,IRX4/6,STVC,De Novo
KH2013:KH.S1012.2,KH2013:KH.S1012.2,STVC,De Novo
KH2013:KH.L108.33,KH2013:KH.L108.33,STVC,De Novo
