foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
__alignment_not_unique	0	0	0	0	0	0
__ambiguous	29791	69235	32747	21381	23905	98694
KH2013:KH.C10.1	43	158	54	35	45	177
KH2013:KH.C10.10	587	1288	589	389	597	2104
KH2013:KH.C10.100	177	423	250	116	135	674
KH2013:KH.C10.101	158	296	147	126	135	528
KH2013:KH.C10.102	165	405	216	100	139	594
KH2013:KH.C10.103	0	0	0	0	0	1
KH2013:KH.C10.104	364	880	439	325	404	1353
KH2013:KH.C10.105	1079	2539	1499	890	1065	4074
KH2013:KH.C10.106	94	264	106	80	106	327
KH2013:KH.C10.107	51	93	65	39	59	182
KH2013:KH.C10.108	6	14	6	4	2	21
KH2013:KH.C10.109	10	51	39	20	23	102
KH2013:KH.C10.11	14	43	32	20	13	50
KH2013:KH.C10.111	13	82	23	6	5	57
KH2013:KH.C10.112	7	18	13	8	8	31
KH2013:KH.C10.113	1936	4064	2529	1462	1682	6402
KH2013:KH.C10.114	2	9	5	1	1	11
KH2013:KH.C10.115	343	764	441	307	353	1254
KH2013:KH.C10.116	87	215	141	56	85	329
KH2013:KH.C10.117	27	97	60	20	29	155
KH2013:KH.C10.118	443	1306	678	377	468	1922
KH2013:KH.C10.119	0	1	0	0	1	3
KH2013:KH.C10.12	1	1	0	0	0	1
KH2013:KH.C10.120	0	0	0	0	0	0
KH2013:KH.C10.121	243	578	297	220	295	833
KH2013:KH.C10.122	681	1634	764	468	676	2337
KH2013:KH.C10.123	4	29	10	3	5	36
KH2013:KH.C10.124	203	630	314	187	193	846
KH2013:KH.C10.125	1294	3034	1527	739	985	4521
KH2013:KH.C10.126	3	17	3	4	2	2
KH2013:KH.C10.127	76	272	134	70	114	349
KH2013:KH.C10.128	40	69	49	34	39	153
KH2013:KH.C10.129	131	341	179	131	132	490
KH2013:KH.C10.13	136	329	177	149	156	530
KH2013:KH.C10.130	114	277	124	53	82	359
KH2013:KH.C10.131	1	0	2	0	3	3
KH2013:KH.C10.132	155	431	208	162	207	601
KH2013:KH.C10.133	427	1154	594	279	362	1654
KH2013:KH.C10.134	15	33	19	16	26	70
KH2013:KH.C10.135	1949	5561	2593	1417	1939	8017
KH2013:KH.C10.136	3	5	3	0	1	4
KH2013:KH.C10.137	10	38	24	14	15	37
KH2013:KH.C10.138	49	203	124	49	74	271
KH2013:KH.C10.139	40	71	51	26	38	131
KH2013:KH.C10.14	48	107	51	33	46	187
KH2013:KH.C10.140	309	1035	506	328	398	1531
KH2013:KH.C10.141	2	3	1	2	1	5
KH2013:KH.C10.142	122	254	142	87	124	470
KH2013:KH.C10.143	111	279	134	118	127	398
KH2013:KH.C10.144	563	2973	520	703	1435	2738
KH2013:KH.C10.145	0	3	6	1	0	15
KH2013:KH.C10.146	75	136	67	37	62	179
KH2013:KH.C10.147	15	82	6	43	27	86
KH2013:KH.C10.148	10	47	18	12	8	105
KH2013:KH.C10.149	2	6	1	3	2	1
KH2013:KH.C10.15	17	32	16	13	35	66
KH2013:KH.C10.150	45	173	44	47	63	173
KH2013:KH.C10.151	25	45	16	28	14	43
KH2013:KH.C10.152	129	326	147	69	107	420
KH2013:KH.C10.153	109	275	140	51	61	433
KH2013:KH.C10.154	204	569	339	198	205	1012
KH2013:KH.C10.155	66	184	59	47	77	199
KH2013:KH.C10.157	169	447	221	123	178	742
KH2013:KH.C10.158	76	182	78	44	72	250
KH2013:KH.C10.159	79	179	86	45	80	219
KH2013:KH.C10.16	33	66	38	34	36	189
KH2013:KH.C10.161	50	218	91	59	87	298
KH2013:KH.C10.162	32	114	55	36	33	181
KH2013:KH.C10.163	9	37	13	3	9	56
KH2013:KH.C10.164	179	470	252	119	170	674
KH2013:KH.C10.165	4	10	1	4	11	27
KH2013:KH.C10.166	30	75	35	31	34	65
KH2013:KH.C10.168	273	750	349	264	362	1072
KH2013:KH.C10.169	353	797	387	199	269	1281
KH2013:KH.C10.17	89	323	136	112	128	419
KH2013:KH.C10.170	1283	2701	1321	1035	1350	3661
KH2013:KH.C10.171	29	38	26	4	17	71
KH2013:KH.C10.172	95	566	173	154	322	416
KH2013:KH.C10.173	0	0	1	0	0	5
KH2013:KH.C10.174	737	1564	863	702	765	2654
KH2013:KH.C10.175	4	15	9	1	3	19
KH2013:KH.C10.176	39	76	28	14	24	102
KH2013:KH.C10.177	99	254	129	75	109	393
KH2013:KH.C10.178	152	407	198	76	130	526
KH2013:KH.C10.179	237	988	520	246	346	1590
KH2013:KH.C10.18	45	73	54	27	43	130
KH2013:KH.C10.180	128	232	99	93	92	322
KH2013:KH.C10.181	115	331	136	103	114	510
KH2013:KH.C10.182	0	2	0	1	4	12
KH2013:KH.C10.183	17	44	22	13	21	99
KH2013:KH.C10.184	14	8	18	7	10	37
KH2013:KH.C10.185	1	0	0	0	0	0
KH2013:KH.C10.186	60	101	68	33	54	209
KH2013:KH.C10.187	214	531	284	188	195	775
KH2013:KH.C10.188	69	214	105	57	47	303
KH2013:KH.C10.19	80	236	144	74	83	381
KH2013:KH.C10.190	79	394	77	84	199	358
KH2013:KH.C10.191	7	17	11	1	5	30
KH2013:KH.C10.192	103	375	146	86	131	523
KH2013:KH.C10.193	3	1	1	2	1	1
KH2013:KH.C10.194	137	358	175	79	112	516
KH2013:KH.C10.195	43	62	53	22	45	132
KH2013:KH.C10.196	28	155	80	108	105	163
KH2013:KH.C10.197	633	1614	891	495	670	2605
KH2013:KH.C10.198	26	35	8	21	20	92
KH2013:KH.C10.199	142	415	209	100	141	648
KH2013:KH.C10.2	662	1675	870	568	808	2644
KH2013:KH.C10.20	5	21	7	5	3	11
KH2013:KH.C10.200	52	117	16	43	57	123
KH2013:KH.C10.201	85	111	93	46	67	291
KH2013:KH.C10.202	255	559	329	167	229	792
KH2013:KH.C10.203	55	173	87	43	59	186
KH2013:KH.C10.204	11	32	12	8	11	23
KH2013:KH.C10.205	0	5	0	2	1	3
KH2013:KH.C10.206	9	15	18	7	14	27
KH2013:KH.C10.207	116	288	156	110	75	481
KH2013:KH.C10.208	282	604	305	180	287	907
KH2013:KH.C10.209	378	906	534	308	369	1444
KH2013:KH.C10.21	111	227	122	66	108	366
KH2013:KH.C10.210	1	4	1	0	0	0
KH2013:KH.C10.211	211	630	259	175	199	841
