GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	41
KH2013:KH.C1.560	243	1
KH2013:KH.C1.907	1206	9
KH2013:KH.C1.1180	5846	1192
KH2013:KH.C1.526	2967	236
KH2013:KH.C1.183	1497	50
KH2013:KH.C1.172	2479	1455
KH2013:KH.C1.969	681	0
KH2013:KH.C1.655	2801	105
KH2013:KH.C1.962	2944	343
KH2013:KH.C1.403	406	1
KH2013:KH.C1.881	2324	68
KH2013:KH.C1.1034	1695	19
KH2013:KH.C1.165	1434	630
KH2013:KH.C1.709	986	21
KH2013:KH.C1.841	1578	29
KH2013:KH.C1.1238	2918	568
KH2013:KH.C1.443	1155	3
KH2013:KH.C1.914	1565	114
KH2013:KH.C1.150	1240	534
KH2013:KH.C1.771	2816	10
KH2013:KH.C1.110	2303	332
KH2013:KH.C1.831	638	278
KH2013:KH.C1.997	4129	1047
KH2013:KH.C1.781	1913	3
KH2013:KH.C1.15	2872	25
KH2013:KH.C1.344	2410	80
KH2013:KH.C1.269	1831	445
KH2013:KH.C1.1208	2155	47
KH2013:KH.C1.208	5895	50
KH2013:KH.C1.1011	1588	741
KH2013:KH.C1.230	1226	210
KH2013:KH.C1.516	1660	46
KH2013:KH.C1.897	1671	117
KH2013:KH.C1.821	920	158
KH2013:KH.C1.329	907	11690
KH2013:KH.C1.301	1586	354
KH2013:KH.C1.1197	2048	118
KH2013:KH.C1.593	2345	75
KH2013:KH.C1.1300	2984	612
KH2013:KH.C1.582	1789	14
KH2013:KH.C1.78	1007	200
KH2013:KH.C1.1225	1437	12
KH2013:KH.C1.671	697	50
KH2013:KH.C1.287	2021	8030
KH2013:KH.C1.869	1328	41
KH2013:KH.C1.1216	1198	699
KH2013:KH.C1.1220	2152	21
KH2013:KH.C1.791	6664	113
KH2013:KH.C1.1166	1663	31
KH2013:KH.C1.1253	698	0
KH2013:KH.C1.139	1118	226
KH2013:KH.C1.631	3832	1143
KH2013:KH.C1.130	2557	738
KH2013:KH.C1.608	3738	459
KH2013:KH.C1.1246	640	0
KH2013:KH.C1.1202	6444	1369
KH2013:KH.C1.318	611	6
KH2013:KH.C1.1156	2481	241
KH2013:KH.C1.568	2097	168
KH2013:KH.C1.523	2577	130
KH2013:KH.C1.996	1994	393
KH2013:KH.C1.1100	3228	154
KH2013:KH.C1.1153	1681	19
KH2013:KH.C1.114	1315	3
KH2013:KH.C1.159	1186	1191
KH2013:KH.C1.636	1430	17
KH2013:KH.C1.1256	849	21
KH2013:KH.C1.1039	2839	1265
KH2013:KH.C1.1214	1240	13
KH2013:KH.C1.56	498	26
KH2013:KH.C1.335	2790	418
KH2013:KH.C1.714	791	166
KH2013:KH.C1.1066	1523	116
KH2013:KH.C1.816	1612	4
KH2013:KH.C1.512	1486	4
KH2013:KH.C1.375	725	1
KH2013:KH.C1.1064	1816	175
KH2013:KH.C1.1094	1883	36
KH2013:KH.C1.421	2129	608
KH2013:KH.C1.331	1067	21
KH2013:KH.C1.1000	3403	606
KH2013:KH.C1.666	1755	86
KH2013:KH.C1.588	833	3
KH2013:KH.C1.922	2172	28
KH2013:KH.C1.193	216	0
KH2013:KH.C1.10	2071	114
KH2013:KH.C1.487	3664	258
KH2013:KH.C1.927	2614	44
KH2013:KH.C1.376	2168	153
KH2013:KH.C1.912	1001	4587
KH2013:KH.C1.539	1686	2410
KH2013:KH.C1.584	1443	554
KH2013:KH.C1.352	1598	38
KH2013:KH.C1.245	1200	92
KH2013:KH.C1.96	918	4243
KH2013:KH.C1.359	2229	63
KH2013:KH.C1.596	1105	13
KH2013:KH.C1.866	1708	20
KH2013:KH.C1.858	1721	129
KH2013:KH.C1.234	871	208
KH2013:KH.C1.1155	1315	76
KH2013:KH.C1.240	2580	440
KH2013:KH.C1.177	2798	211
KH2013:KH.C1.326	3690	937
KH2013:KH.C1.383	527	2
KH2013:KH.C1.566	581	8
KH2013:KH.C1.404	3747	2268
KH2013:KH.C1.1083	3916	649
KH2013:KH.C1.1295	936	6
KH2013:KH.C1.1067	1030	62
KH2013:KH.C1.405	1883	56
KH2013:KH.C1.577	1865	11
