GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	64
KH2013:KH.C1.560	243	0
KH2013:KH.C1.907	1206	11
KH2013:KH.C1.1180	5846	1390
KH2013:KH.C1.526	2967	460
KH2013:KH.C1.183	1497	78
KH2013:KH.C1.172	2479	1969
KH2013:KH.C1.969	681	5
KH2013:KH.C1.655	2801	328
KH2013:KH.C1.962	2944	455
KH2013:KH.C1.403	406	0
KH2013:KH.C1.881	2324	78
KH2013:KH.C1.1034	1695	57
KH2013:KH.C1.165	1434	500
KH2013:KH.C1.709	986	95
KH2013:KH.C1.841	1578	34
KH2013:KH.C1.1238	2918	300
KH2013:KH.C1.443	1155	44
KH2013:KH.C1.914	1565	143
KH2013:KH.C1.150	1240	407
KH2013:KH.C1.771	2816	36
KH2013:KH.C1.110	2303	296
KH2013:KH.C1.831	638	189
KH2013:KH.C1.997	4129	1359
KH2013:KH.C1.781	1913	5
KH2013:KH.C1.15	2872	162
KH2013:KH.C1.344	2410	42
KH2013:KH.C1.269	1831	348
KH2013:KH.C1.1208	2155	162
KH2013:KH.C1.208	5895	54
KH2013:KH.C1.1011	1588	640
KH2013:KH.C1.230	1226	96
KH2013:KH.C1.516	1660	30
KH2013:KH.C1.897	1671	104
KH2013:KH.C1.821	920	245
KH2013:KH.C1.329	907	9740
KH2013:KH.C1.301	1586	387
KH2013:KH.C1.1197	2048	327
KH2013:KH.C1.593	2345	32
KH2013:KH.C1.1300	2984	896
KH2013:KH.C1.582	1789	37
KH2013:KH.C1.78	1007	230
KH2013:KH.C1.1225	1437	34
KH2013:KH.C1.671	697	10
KH2013:KH.C1.287	2021	3830
KH2013:KH.C1.869	1328	6
KH2013:KH.C1.1216	1198	720
KH2013:KH.C1.1220	2152	159
KH2013:KH.C1.791	6664	183
KH2013:KH.C1.1166	1663	9
KH2013:KH.C1.1253	698	1
KH2013:KH.C1.139	1118	327
KH2013:KH.C1.631	3832	3668
KH2013:KH.C1.130	2557	595
KH2013:KH.C1.608	3738	945
KH2013:KH.C1.1246	640	0
KH2013:KH.C1.1202	6444	1899
KH2013:KH.C1.318	611	3
KH2013:KH.C1.1156	2481	2575
KH2013:KH.C1.568	2097	89
KH2013:KH.C1.523	2577	209
KH2013:KH.C1.996	1994	398
KH2013:KH.C1.1100	3228	374
KH2013:KH.C1.1153	1681	67
KH2013:KH.C1.114	1315	18
KH2013:KH.C1.159	1186	8431
KH2013:KH.C1.636	1430	7
KH2013:KH.C1.1256	849	9
KH2013:KH.C1.1039	2839	1764
KH2013:KH.C1.1214	1240	14
KH2013:KH.C1.56	498	22
KH2013:KH.C1.335	2790	744
KH2013:KH.C1.714	791	271
KH2013:KH.C1.1066	1523	64
KH2013:KH.C1.816	1612	2
KH2013:KH.C1.512	1486	1
KH2013:KH.C1.375	725	0
KH2013:KH.C1.1064	1816	384
KH2013:KH.C1.1094	1883	59
KH2013:KH.C1.421	2129	290
KH2013:KH.C1.331	1067	32
KH2013:KH.C1.1000	3403	1066
KH2013:KH.C1.666	1755	3
KH2013:KH.C1.588	833	0
KH2013:KH.C1.922	2172	125
KH2013:KH.C1.193	216	0
KH2013:KH.C1.10	2071	340
KH2013:KH.C1.487	3664	223
KH2013:KH.C1.927	2614	61
KH2013:KH.C1.376	2168	186
KH2013:KH.C1.912	1001	4468
KH2013:KH.C1.539	1686	1559
KH2013:KH.C1.584	1443	1070
KH2013:KH.C1.352	1598	51
KH2013:KH.C1.245	1200	80
KH2013:KH.C1.96	918	3152
KH2013:KH.C1.359	2229	76
KH2013:KH.C1.596	1105	28
KH2013:KH.C1.866	1708	67
KH2013:KH.C1.858	1721	170
KH2013:KH.C1.234	871	94
KH2013:KH.C1.1155	1315	91
KH2013:KH.C1.240	2580	1193
KH2013:KH.C1.177	2798	332
KH2013:KH.C1.326	3690	3056
KH2013:KH.C1.383	527	19
KH2013:KH.C1.566	581	28
KH2013:KH.C1.404	3747	2544
KH2013:KH.C1.1083	3916	961
KH2013:KH.C1.1295	936	1
KH2013:KH.C1.1067	1030	19
KH2013:KH.C1.405	1883	81
KH2013:KH.C1.577	1865	150
KH2013:KH.C1.842	1190	97
KH2013:KH.C1.476	547	14
KH2013:KH.C1.823	604	7
KH2013:KH.C1.355	1112	132
KH2013:KH.C1.1027	2171	6337
KH2013:KH.C1.970	2096	44
KH2013:KH.C1.140	1498	364
KH2013:KH.C1.1062	1510	509
KH2013:KH.C1.928	2813	17
KH2013:KH.C1.1274	1293	0
KH2013:KH.C1.538	1424	163
KH2013:KH.C1.875	1234	18
KH2013:KH.C1.1120	1067	38
KH2013:KH.C1.388	1487	685
KH2013:KH.C1.195	2961	332
KH2013:KH.C1.797	1066	13
KH2013:KH.C1.603	4639	7190
KH2013:KH.C1.483	2756	94
KH2013:KH.C1.1188	2195	26
KH2013:KH.C1.1170	1807	66
KH2013:KH.C1.445	2098	97
KH2013:KH.C1.98	3327	4216
KH2013:KH.C1.779	1414	34
KH2013:KH.C1.515	1375	56
KH2013:KH.C1.414	1704	12
KH2013:KH.C1.769	1103	6
KH2013:KH.C1.879	1125	6
KH2013:KH.C1.1287	4890	465
KH2013:KH.C1.667	805	27
KH2013:KH.C1.553	1994	138
KH2013:KH.C1.470	781	29
KH2013:KH.C1.101	1479	167
KH2013:KH.C1.82	697	163
KH2013:KH.C1.246	2225	182
KH2013:KH.C1.59	1733	340
KH2013:KH.C1.933	2577	913
KH2013:KH.C1.983	2252	4305
KH2013:KH.C1.535	2961	2173
KH2013:KH.C1.1221	1789	216
KH2013:KH.C1.936	1721	414
KH2013:KH.C1.191	623	4
KH2013:KH.C1.68	1662	33
KH2013:KH.C1.309	1082	119
KH2013:KH.C1.199	2497	505
KH2013:KH.C1.991	1124	46
KH2013:KH.C1.449	1418	7
KH2013:KH.C1.317	2162	709
KH2013:KH.C1.1152	1479	4
KH2013:KH.C1.863	1412	21
KH2013:KH.C1.1284	839	26
KH2013:KH.C1.787	5921	4344
KH2013:KH.C1.677	5403	5302
KH2013:KH.C1.809	1641	81
KH2013:KH.C1.1081	2921	726
KH2013:KH.C1.63	2224	338
KH2013:KH.C1.1122	1930	4
KH2013:KH.C1.1158	2487	0
KH2013:KH.C1.99	2564	657
KH2013:KH.C1.1053	1931	5
KH2013:KH.C1.89	1846	39
KH2013:KH.C1.633	3857	2810
KH2013:KH.C1.4	2005	730
KH2013:KH.C1.898	2908	453
KH2013:KH.C1.628	1174	194
KH2013:KH.C1.884	1969	541
KH2013:KH.C1.484	1397	132
KH2013:KH.C1.574	1455	8228
KH2013:KH.C1.733	516	15
KH2013:KH.C1.100	348	2
KH2013:KH.C1.1279	438	0
KH2013:KH.C1.1268	423	0
KH2013:KH.C1.1192	392	0
KH2013:KH.C1.187	2678	468
KH2013:KH.C1.546	2677	1419
KH2013:KH.C1.128	122	0
KH2013:KH.C1.1012	1096	288
KH2013:KH.C1.1109	3157	610
KH2013:KH.C1.158	2767	22
KH2013:KH.C1.485	318	0
KH2013:KH.C1.461	1014	1
KH2013:KH.C1.805	1215	5
KH2013:KH.C1.749	2734	136
KH2013:KH.C1.481	1081	170
KH2013:KH.C1.1014	935	11
KH2013:KH.C1.540	860	3
KH2013:KH.C1.637	4236	1655
KH2013:KH.C1.867	2170	694
KH2013:KH.C1.119	636	5
KH2013:KH.C1.746	1711	42
KH2013:KH.C1.220	1074	65
KH2013:KH.C1.670	1119	328
KH2013:KH.C1.832	2124	28
KH2013:KH.C1.1276	1668	4
KH2013:KH.C1.1157	3012	336
KH2013:KH.C1.285	4076	502
KH2013:KH.C1.583	3444	743
KH2013:KH.C1.1045	2415	543
KH2013:KH.C1.430	1570	36
KH2013:KH.C1.1275	1509	1491
KH2013:KH.C1.1224	3339	831
KH2013:KH.C1.146	3995	1454
KH2013:KH.C1.1075	1570	76
KH2013:KH.C1.913	1475	1
KH2013:KH.C1.993	8300	575
KH2013:KH.C1.47	1339	22
KH2013:KH.C1.1302	735	36
KH2013:KH.C1.411	778	50
KH2013:KH.C1.124	2374	4140
KH2013:KH.C1.178	1127	18
KH2013:KH.C1.1270	807	30
KH2013:KH.C1.1121	1546	14
KH2013:KH.C1.147	4942	19
KH2013:KH.C1.974	1076	5
KH2013:KH.C1.133	1682	9984
KH2013:KH.C1.252	1636	2406
KH2013:KH.C1.999	1625	20
KH2013:KH.C1.142	4936	7737
KH2013:KH.C1.113	4446	16523
KH2013:KH.C1.1247	1431	112
KH2013:KH.C1.308	1513	12
KH2013:KH.C1.5	5068	85
KH2013:KH.C1.272	1869	8
KH2013:KH.C1.108	1216	387
KH2013:KH.C1.563	1403	0
KH2013:KH.C1.847	1348	26
KH2013:KH.C1.25	1510	30
KH2013:KH.C1.855	1057	0
KH2013:KH.C1.891	1124	7
KH2013:KH.C1.1028	1220	0
KH2013:KH.C1.857	1328	0
KH2013:KH.C1.1255	786	8
KH2013:KH.C1.475	1361	3
KH2013:KH.C1.595	1281	0
KH2013:KH.C1.1169	953	116
KH2013:KH.C1.729	2466	150
KH2013:KH.C1.880	3335	231
KH2013:KH.C1.1144	1395	58
KH2013:KH.C1.1235	2094	284
KH2013:KH.C1.550	956	88
KH2013:KH.C1.1138	2758	1708
KH2013:KH.C1.92	3456	2043
KH2013:KH.C1.48	2980	48
KH2013:KH.C1.496	3541	4
KH2013:KH.C1.838	664	0
KH2013:KH.C1.605	908	126
KH2013:KH.C1.80	2628	905
KH2013:KH.C1.1160	3361	1161
KH2013:KH.C1.597	1644	13
KH2013:KH.C1.1139	1920	0
KH2013:KH.C1.399	2075	519
KH2013:KH.C1.310	3097	16
KH2013:KH.C1.254	495	1
KH2013:KH.C1.915	1017	0
KH2013:KH.C1.1117	1697	5
KH2013:KH.C1.1065	3121	1478
KH2013:KH.C1.1165	2066	60
KH2013:KH.C1.635	418	0
KH2013:KH.C1.151	1240	11
KH2013:KH.C1.1035	892	0
KH2013:KH.C1.357	957	2
KH2013:KH.C1.381	889	47
KH2013:KH.C1.33	1833	56
KH2013:KH.C1.957	318	1
KH2013:KH.C1.1228	728	2
KH2013:KH.C1.1219	6023	877
KH2013:KH.C1.265	1280	59
KH2013:KH.C1.930	1251	872
KH2013:KH.C1.226	2274	1009
KH2013:KH.C1.237	1119	58
KH2013:KH.C1.1082	1583	190
KH2013:KH.C1.149	2251	90
KH2013:KH.C1.256	900	275
KH2013:KH.C1.1103	1359	140
KH2013:KH.C1.542	1791	367
KH2013:KH.C1.469	834	17
KH2013:KH.C1.724	1553	55
KH2013:KH.C1.661	2462	4594
KH2013:KH.C1.629	1056	0
KH2013:KH.C1.489	1339	23
KH2013:KH.C1.1250	1344	74
KH2013:KH.C1.486	1043	104
KH2013:KH.C1.520	696	189
KH2013:KH.C1.543	1600	196
KH2013:KH.C1.1248	1356	231
KH2013:KH.C1.827	356	28
KH2013:KH.C1.973	1257	8
KH2013:KH.C1.379	1120	13
KH2013:KH.C1.796	2518	22
KH2013:KH.C1.657	2490	2
KH2013:KH.C1.773	3053	9
KH2013:KH.C1.575	2240	125
KH2013:KH.C1.1091	705	0
KH2013:KH.C1.87	1314	53
KH2013:KH.C1.162	2178	129
KH2013:KH.C1.888	1055	9
KH2013:KH.C1.548	2742	814
KH2013:KH.C1.126	1727	0
KH2013:KH.C1.865	2990	2607
KH2013:KH.C1.426	1927	1627
