GeneID	UniqueNAME
KH2013:KH.C1.907	KH2013:KH.C1.907_CG9903
KH2013:KH.C1.286	KH2013:KH.C1.286_RGS22
KH2013:KH.C1.560	KH2013:KH.C1.560
KH2013:KH.C1.183	TDH
KH2013:KH.C1.526	IFT88
KH2013:KH.C1.1180	ARFGEF1/2
KH2013:KH.C1.655	BARD1
KH2013:KH.C1.969	KH2013:KH.C1.969
KH2013:KH.C1.403	HIS-11/15/20/22/29/34/39/41/44/48/52/54/58/62/66/8
KH2013:KH.C1.1034	PAQR5/7
KH2013:KH.C1.962	RAB23
KH2013:KH.C1.881	PTPMT1
KH2013:KH.C1.709	ENKUR
KH2013:KH.C1.443	KH2013:KH.C1.443_B4GALT1
KH2013:KH.C1.914	DNAJB9
KH2013:KH.C1.771	KH2013:KH.C1.771_LPHN1/2/3
KH2013:KH.C1.150	NAA10/11
KH2013:KH.C1.165	VAMP1/2/3
KH2013:KH.C1.841	CYB5D1
KH2013:KH.C1.1238	WDR33
KH2013:KH.C1.1208	C12ORF56
KH2013:KH.C1.269	DNAJC3
KH2013:KH.C1.997	ATAD2
KH2013:KH.C1.208	TEX14
KH2013:KH.C1.1011	RAB35
KH2013:KH.C1.897	C17ORF101
KH2013:KH.C1.781	KH2013:KH.C1.781
KH2013:KH.C1.15	KH2013:KH.C1.15_KIAA1161
KH2013:KH.C1.344	S1PR3
KH2013:KH.C1.230	SLC25A26
KH2013:KH.C1.516	HMG20A
KH2013:KH.C1.110	PUF60/68
KH2013:KH.C1.831	TCEB1
KH2013:KH.C1.172	MPHOSPH10
KH2013:KH.C1.1197	PGS1
KH2013:KH.C1.593	KH2013:KH.C1.593
KH2013:KH.C1.301	HOMER/1/2/3
KH2013:KH.C1.582	F13E9.14/4
KH2013:KH.C1.671	KH2013:KH.C1.671
KH2013:KH.C1.78	KH2013:KH.C1.78_BATH-1/10/13/15/2/20/24/27/29/3/31/33/35/36/38/39/4/5/7/9
KH2013:KH.C1.1225	KH2013:KH.C1.1225
KH2013:KH.C1.1300	MAK
KH2013:KH.C1.869	KH2013:KH.C1.869
KH2013:KH.C1.1220	KH2013:KH.C1.1220_SRPX/2
KH2013:KH.C1.1166	KH2013:KH.C1.1166
KH2013:KH.C1.1253	KH2013:KH.C1.1253
KH2013:KH.C1.791	MUA-3
KH2013:KH.C1.139	TSTD1
KH2013:KH.C1.1246	KH2013:KH.C1.1246
KH2013:KH.C1.130	MKLN1
KH2013:KH.C1.608	ISLR/2
KH2013:KH.C1.287	EIF4A1/2
KH2013:KH.C1.1153	KH2013:KH.C1.1153
KH2013:KH.C1.631	LRIG1/2/3
KH2013:KH.C1.1100	KH2013:KH.C1.1100_BX119910.1/10/11/12/13/14/16/2/3/4/5/6/7/8/9
KH2013:KH.C1.1216	IMP4
KH2013:KH.C1.114	KH2013:KH.C1.114
KH2013:KH.C1.996	LPCAT3
KH2013:KH.C1.523	GYG/1/2
KH2013:KH.C1.636	KH2013:KH.C1.636_TLL2
KH2013:KH.C1.1256	KH2013:KH.C1.1256
KH2013:KH.C1.1202	DOCK10/11/9
KH2013:KH.C1.318	KH2013:KH.C1.318
KH2013:KH.C1.1156	OTOL1
KH2013:KH.C1.568	Ci-Endo2
KH2013:KH.C1.1214	KH2013:KH.C1.1214
KH2013:KH.C1.56	KH2013:KH.C1.56
KH2013:KH.C1.714	RTTN
KH2013:KH.C1.1066	CDR-1
KH2013:KH.C1.512	KH2013:KH.C1.512
KH2013:KH.C1.375	KH2013:KH.C1.375
KH2013:KH.C1.816	KH2013:KH.C1.816_BPIFB2/3/4/6
KH2013:KH.C1.331	RNF181
KH2013:KH.C1.1064	KDELC1/2
KH2013:KH.C1.1094	KH2013:KH.C1.1094_ABAT
KH2013:KH.C1.421	KH2013:KH.C1.421_ABAT
KH2013:KH.C1.335	TMCC1/2/3
KH2013:KH.C1.588	KH2013:KH.C1.588
KH2013:KH.C1.666	TMEM196
KH2013:KH.C1.1000	PDCD6IP
KH2013:KH.C1.922	KH2013:KH.C1.922_BARHL1/2
KH2013:KH.C1.193	KH2013:KH.C1.193
KH2013:KH.C1.10	LASP/1
