GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	138
KH2013:KH.C1.560	243	1
KH2013:KH.C1.907	1206	7
KH2013:KH.C1.1180	5846	3647
KH2013:KH.C1.526	2967	646
KH2013:KH.C1.183	1497	123
KH2013:KH.C1.172	2479	3547
KH2013:KH.C1.969	681	8
KH2013:KH.C1.655	2801	1213
KH2013:KH.C1.962	2944	800
KH2013:KH.C1.403	406	1
KH2013:KH.C1.881	2324	296
KH2013:KH.C1.1034	1695	62
KH2013:KH.C1.165	1434	1912
KH2013:KH.C1.709	986	83
KH2013:KH.C1.841	1578	44
KH2013:KH.C1.1238	2918	905
KH2013:KH.C1.443	1155	34
KH2013:KH.C1.914	1565	499
KH2013:KH.C1.150	1240	1965
KH2013:KH.C1.771	2816	32
KH2013:KH.C1.110	2303	677
KH2013:KH.C1.831	638	1134
KH2013:KH.C1.997	4129	2399
KH2013:KH.C1.781	1913	10
KH2013:KH.C1.15	2872	124
KH2013:KH.C1.344	2410	252
KH2013:KH.C1.269	1831	1123
KH2013:KH.C1.1208	2155	322
KH2013:KH.C1.208	5895	177
KH2013:KH.C1.1011	1588	2448
KH2013:KH.C1.230	1226	483
KH2013:KH.C1.516	1660	380
KH2013:KH.C1.897	1671	325
KH2013:KH.C1.821	920	486
KH2013:KH.C1.329	907	29010
KH2013:KH.C1.301	1586	590
KH2013:KH.C1.1197	2048	136
KH2013:KH.C1.593	2345	189
KH2013:KH.C1.1300	2984	1315
KH2013:KH.C1.582	1789	17
KH2013:KH.C1.78	1007	540
KH2013:KH.C1.1225	1437	79
KH2013:KH.C1.671	697	143
KH2013:KH.C1.287	2021	25402
KH2013:KH.C1.869	1328	28
KH2013:KH.C1.1216	1198	1268
KH2013:KH.C1.1220	2152	119
KH2013:KH.C1.791	6664	767
KH2013:KH.C1.1166	1663	60
KH2013:KH.C1.1253	698	41
KH2013:KH.C1.139	1118	1036
KH2013:KH.C1.631	3832	3494
KH2013:KH.C1.130	2557	2112
KH2013:KH.C1.608	3738	826
KH2013:KH.C1.1246	640	4
KH2013:KH.C1.1202	6444	3076
KH2013:KH.C1.318	611	8
KH2013:KH.C1.1156	2481	748
KH2013:KH.C1.568	2097	265
KH2013:KH.C1.523	2577	452
KH2013:KH.C1.996	1994	1308
KH2013:KH.C1.1100	3228	915
KH2013:KH.C1.1153	1681	3
KH2013:KH.C1.114	1315	10
KH2013:KH.C1.159	1186	2055
KH2013:KH.C1.636	1430	51
KH2013:KH.C1.1256	849	9
KH2013:KH.C1.1039	2839	3406
KH2013:KH.C1.1214	1240	10
KH2013:KH.C1.56	498	15
KH2013:KH.C1.335	2790	1117
KH2013:KH.C1.714	791	616
KH2013:KH.C1.1066	1523	54
KH2013:KH.C1.816	1612	29
KH2013:KH.C1.512	1486	9
KH2013:KH.C1.375	725	0
KH2013:KH.C1.1064	1816	276
KH2013:KH.C1.1094	1883	58
KH2013:KH.C1.421	2129	1050
KH2013:KH.C1.331	1067	111
KH2013:KH.C1.1000	3403	1120
KH2013:KH.C1.666	1755	136
KH2013:KH.C1.588	833	19
KH2013:KH.C1.922	2172	275
KH2013:KH.C1.193	216	0
KH2013:KH.C1.10	2071	161
KH2013:KH.C1.487	3664	748
KH2013:KH.C1.927	2614	169
KH2013:KH.C1.376	2168	417
KH2013:KH.C1.912	1001	8935
KH2013:KH.C1.539	1686	7723
KH2013:KH.C1.584	1443	2744
KH2013:KH.C1.352	1598	251
KH2013:KH.C1.245	1200	296
KH2013:KH.C1.96	918	12080
KH2013:KH.C1.359	2229	236
KH2013:KH.C1.596	1105	197
KH2013:KH.C1.866	1708	290
KH2013:KH.C1.858	1721	649
KH2013:KH.C1.234	871	696
KH2013:KH.C1.1155	1315	232
KH2013:KH.C1.240	2580	1829
KH2013:KH.C1.177	2798	746
KH2013:KH.C1.326	3690	2609
KH2013:KH.C1.383	527	7
KH2013:KH.C1.566	581	25
KH2013:KH.C1.404	3747	6485
KH2013:KH.C1.1083	3916	1233
KH2013:KH.C1.1295	936	24
