GeneID,UniqueNAME,Cell type,Type
KH2013:KH.C8.445,SLIT1/2/3,FHP(14hpf),De Novo
KH2013:KH.C9.717,FOXH1,FHP(14hpf),Primed
KH2013:KH.C9.40,KH2013:KH.C9.40_GSTO1/2,FHP(14hpf),Primed
KH2013:KH.C4.335,LRP4/8,FHP(14hpf),De Novo
KH2013:KH.C4.326,DEF6,FHP(14hpf),Primed
KH2013:KH.C7.805,KH2013:KH.C7.805_ID1/2/3/4,FHP(14hpf),Primed
KH2013:KH.C2.884,MOGAT1/2,FHP(14hpf),De Novo
KH2013:KH.C2.469,SFRP2,FHP(14hpf),De Novo
KH2013:KH.C3.298,SEPT12/3/9,FHP(14hpf),Primed
KH2013:KH.L154.10,SMTN,FHP(14hpf),De Novo
KH2013:KH.L13.24,FOXN2/3,FHP(14hpf),Primed
KH2013:KH.S1159.1,KH2013:KH.S1159.1_FLI1,FHP(14hpf),De Novo
KH2013:KH.C13.152,KH2013:KH.C13.152_F14B6.6,FHP(14hpf),De Novo
KH2013:KH.C12.49,COL13A1,FHP(14hpf),Primed
KH2013:KH.C5.227,KH2013:KH.C5.227_F56C4.4,FHP(14hpf),Primed
KH2013:KH.C1.159,HES1/2/4,FHP(14hpf),Primed
KH2013:KH.C14.88,FAT1/2/3/4,FHP(14hpf),Primed
KH2013:KH.C1.200,FAM110C,FHP(14hpf),De Novo
KH2013:KH.C12.525,PDE5A,FHP(14hpf),De Novo
KH2013:KH.C8.48,VWC2L,FHP(14hpf),De Novo
KH2013:KH.C4.747,Fli/ERG-d,FHP(14hpf),De Novo
KH2013:KH.C9.863,LYS2,FHP(14hpf),De Novo
KH2013:KH.C9.650,KH2013:KH.C9.650_SULT1ST1/2/3/4,FHP(14hpf),De Novo
