GeneID	Length	accepted_hits.bam
KH2013:KH.C1.286	4995	23
KH2013:KH.C1.560	243	1
KH2013:KH.C1.907	1206	9
KH2013:KH.C1.1180	5846	2175
KH2013:KH.C1.526	2967	323
KH2013:KH.C1.183	1497	58
KH2013:KH.C1.172	2479	1254
KH2013:KH.C1.969	681	1
KH2013:KH.C1.655	2801	351
KH2013:KH.C1.962	2944	461
KH2013:KH.C1.403	406	0
KH2013:KH.C1.881	2324	492
KH2013:KH.C1.1034	1695	44
KH2013:KH.C1.165	1434	1270
KH2013:KH.C1.709	986	0
KH2013:KH.C1.841	1578	6
KH2013:KH.C1.1238	2918	247
KH2013:KH.C1.443	1155	4
KH2013:KH.C1.914	1565	151
KH2013:KH.C1.150	1240	581
KH2013:KH.C1.771	2816	10
KH2013:KH.C1.110	2303	240
KH2013:KH.C1.831	638	698
KH2013:KH.C1.997	4129	1228
KH2013:KH.C1.781	1913	0
KH2013:KH.C1.15	2872	67
KH2013:KH.C1.344	2410	14
KH2013:KH.C1.269	1831	491
KH2013:KH.C1.1208	2155	199
KH2013:KH.C1.208	5895	101
KH2013:KH.C1.1011	1588	1006
KH2013:KH.C1.230	1226	62
KH2013:KH.C1.516	1660	197
KH2013:KH.C1.897	1671	533
KH2013:KH.C1.821	920	317
KH2013:KH.C1.329	907	11958
KH2013:KH.C1.301	1586	606
KH2013:KH.C1.1197	2048	289
KH2013:KH.C1.593	2345	32
KH2013:KH.C1.1300	2984	974
KH2013:KH.C1.582	1789	221
KH2013:KH.C1.78	1007	368
KH2013:KH.C1.1225	1437	51
KH2013:KH.C1.671	697	39
KH2013:KH.C1.287	2021	9234
KH2013:KH.C1.869	1328	24
KH2013:KH.C1.1216	1198	629
KH2013:KH.C1.1220	2152	3
KH2013:KH.C1.791	6664	202
KH2013:KH.C1.1166	1663	1
KH2013:KH.C1.1253	698	3
KH2013:KH.C1.139	1118	406
KH2013:KH.C1.631	3832	2488
KH2013:KH.C1.130	2557	1840
KH2013:KH.C1.608	3738	100
KH2013:KH.C1.1246	640	0
KH2013:KH.C1.1202	6444	1953
KH2013:KH.C1.318	611	0
KH2013:KH.C1.1156	2481	244
KH2013:KH.C1.568	2097	332
KH2013:KH.C1.523	2577	267
KH2013:KH.C1.996	1994	1086
KH2013:KH.C1.1100	3228	316
KH2013:KH.C1.1153	1681	0
KH2013:KH.C1.114	1315	1
KH2013:KH.C1.159	1186	2809
KH2013:KH.C1.636	1430	0
KH2013:KH.C1.1256	849	3
KH2013:KH.C1.1039	2839	2779
KH2013:KH.C1.1214	1240	22
KH2013:KH.C1.56	498	5
KH2013:KH.C1.335	2790	841
KH2013:KH.C1.714	791	445
