Chr,Start,End,Rep.TSS,Strand,Location,GeneID,TranscriptID
KhL18,62456,62458,62458,+,intergenic,KH.L18.101,KH.L18.101.v1.A.ND1-1
KhC10,364846,364848,364848,-,TSS,KH.C10.57,KH.C10.57.v1.A.nonSL3-1
KhL55,8907,8998,8922,+,intron,KH.L55.2,KH.L55.2.v1.B.ND1-1
KhC8,3512243,3512244,3512243,-,TSS,KH.C8.66,KH.C8.66.v1.A.nonSL3-1
KhL44,30719,30741,30726,+,TSS,KH.L44.5,KH.L44.5.v1.A.nonSL5-1
KhC2,5084636,5084649,5084638,-,TSS,KH.C2.866,KH.C2.866.v1.A.nonSL2-1
KhC1,3116958,3116958,3116958,+,intron,KH.C1.1105,KH.C1.1105.v1.A.ND1-1
KhC7,3983717,3983722,3983720,+,intron,KH.C7.745,KH.C7.745.v1.A.ND1-1
KhL154,202685,202691,202688,+,TSS,KH.L154.36,KH.L154.36.v1.A.nonSL2-1
KhC3,6377747,6377747,6377747,-,intergenic,KH.C3.171,KH.C3.171.v1.C.nonSL4-1
KhL24,116170,116314,116242,+,5UTR,KH.L24.31,KH.L24.31.v1.A.nonSL8-1
KhC8,2297370,2297436,2297393,+,TSS,KH.C8.32,KH.C8.32.v1.A.nonSL21-1
KhS681,7593,7598,7598,+,intergenic,KH.S681.6,KH.S681.6.v1.B.nonSL3-1
KhC2,4294399,4294469,4294428,-,TSS,KH.C2.550,KH.C2.550.v1.A.nonSL7-1
KhL71,112933,112935,112935,-,intergenic,KH.L71.1,KH.L71.1.v2.A.ND2-1
KhL153,329325,329330,329326,+,intergenic,KH.L153.56,KH.L153.56.v1.C.ND1-1
KhC10,3322180,3322268,3322265,-,TSS,KH.C10.13,KH.C10.13.v1.A.nonSL3-1
KhC3,4351724,4351754,4351748,+,TSS,KH.C3.61,KH.C3.61.v1.A.nonSL3-1
KhC11,151835,151972,151958,+,TSS,KH.C11.382,KH.C11.382.v2.A.nonSL7-2
KhL96,346967,346977,346970,+,TSS,KH.L96.85,KH.L96.85.v1.A.nonSL6-1
KhC7,2111111,2111195,2111195,-,intergenic,KH.C7.722,KH.C7.722.v1.C.ND1-1
KhL50,38129,38136,38129,+,intergenic,KH.L50.20,KH.L50.20.v1.C.ND1-1
KhC8,1839521,1839541,1839529,-,TSS,KH.C8.417,KH.C8.417.v1.A.nonSL4-1
KhC8,2393216,2393221,2393218,+,intergenic,KH.C8.349,KH.C8.349.v1.A.ND1-1
KhL153,241701,241709,241704,+,TSS,KH.L153.33,KH.L153.33.v1.A.nonSL3-1
KhC1,6945159,6945215,6945213,-,TSS,KH.C1.610,KH.C1.610.v1.A.nonSL4-1
KhS790,16829,16913,16913,-,TSS,KH.S790.5,KH.S790.5.v1.A.nonSL3-1
KhC1,2391172,2391201,2391181,+,TSS,KH.C1.149,KH.C1.149.v1.A.nonSL4-1
KhL139,168124,168126,168124,+,TSS,KH.L139.23,KH.L139.23.v1.A.nonSL3-1
KhC3,4189716,4189807,4189807,+,intron,KH.C3.867,KH.C3.867.v1.C.ND1-1
KhC12,2066101,2066154,2066101,+,TSS,KH.C12.73,KH.C12.73.v1.A.nonSL9-1
KhS406,12944,12997,12946,+,TSS,KH.S406.7,KH.S406.7.v1.A.nonSL15-1
KhC5,961665,961712,961712,-,TSS,KH.C5.639,KH.C5.639.v1.A.ND1-1
KhS390,39492,39498,39495,+,5UTR,KH.S390.6,KH.S390.6.v1.A.SL2-1
KhC5,3817031,3817050,3817045,+,intergenic,KH.C5.195,KH.C5.195.v1.A.ND1-1
KhL18,274935,274954,274938,+,TSS,KH.L18.30,KH.L18.30.v1.A.nonSL1-1
KhS913,3583,3598,3587,-,intergenic,No_transcripts,No_transcripts
KhC10,4406198,4406288,4406250,-,TSS,KH.C10.267,KH.C10.267.v1.A.ND2-1
KhC1,1840608,1840628,1840628,-,TSS,KH.C1.1275,KH.C1.1275.v1.A.nonSL1-1
KhL20,302399,302399,302399,+,intergenic,KH.L20.17,KH.L20.17.v1.A.ND1-1
KhL112,89731,89781,89733,-,TSS,KH.L112.13,KH.L112.13.v1.A.nonSL12-1
KhC14,1970516,1970537,1970516,+,intron,KH.C14.380,KH.C14.380.v1.C.ND1-1
KhC1,5584966,5585038,5585006,+,TSS,KH.C1.53,KH.C1.53.v1.A.nonSL4-1
KhC10,111711,111838,111829,-,TSS,KH.C10.384,KH.C10.384.v1.A.ND1-1
KhC8,40913,41067,41055,+,TSS,KH.C8.168,KH.C8.168.v2.A.nonSL5-1
KhC10,3758516,3758518,3758516,+,intergenic,KH.C10.326,KH.C10.326.v1.A.nonSL2-1
KhS1108,10899,10901,10899,+,intergenic,No_transcripts,No_transcripts
KhC3,6002497,6002531,6002520,+,TSS,KH.C3.320,KH.C3.320.v1.A.nonSL2-1
KhC5,2624494,2624497,2624494,+,intron,KH.C5.495,KH.C5.495.v1.A.SL1-1
KhC7,5607246,5607246,5607246,+,TSS,KH.C7.775,KH.C7.775.v1.A.nonSL2-1
KhC11,2623025,2623036,2623031,-,TSS,KH.C11.235,KH.C11.235.v1.A.ND1-1
KhC8,5231145,5231234,5231145,+,TAS,KH.C8.287,KH.C8.287.v1.B.SL1-1
KhL87,473153,473153,473153,-,5UTR,KH.L87.41,KH.L87.41.v1.B.ND1-1
KhC2,5995394,5995477,5995434,-,TSS,KH.C2.348,KH.C2.348.v1.A.nonSL9-2
KhL154,215154,215163,215163,-,TSS,KH.L154.9,KH.L154.9.v1.A.ND1-2
KhC10,1109647,1109647,1109647,+,TSS,KH.C10.434,KH.C10.434.v2.A.nonSL3-1
KhL44,18901,18921,18903,-,intergenic,No_transcripts,No_transcripts
KhC8,4556694,4556718,4556702,-,intergenic,KH.C8.607,KH.C8.607.v1.A.ND1-1
KhL61,6355,6428,6355,+,intergenic,KH.L61.3,KH.L61.3.v4.A.ND3-1
KhC12,3615307,3615373,3615311,+,TSS,KH.C12.323,KH.C12.323.v1.A.ND1-1
KhC1,2387702,2387776,2387727,-,TSS,KH.C1.237,KH.C1.237.v1.A.nonSL4-1
KhC2,1348913,1348917,1348917,-,intergenic,KH.C2.1098,KH.C2.1098.v1.A.nonSL2-1
KhS597,5322,5324,5322,+,intron,KH.S597.3,KH.S597.3.v2.A.SL1-1
KhC3,451204,451211,451204,-,intergenic,KH.C3.9,KH.C3.9.v1.A.nonSL7-1
KhC2,7636476,7636519,7636481,+,TSS,KH.C2.523,KH.C2.523.v1.A.nonSL6-1
KhL22,277981,278008,277981,+,intergenic,KH.L22.62,KH.L22.62.v2.A.ND2-2
KhC3,1575516,1575551,1575533,+,intergenic,KH.C3.93,KH.C3.93.v2.A.ND1-1
KhC2,2311884,2311897,2311897,+,intron,KH.C2.743,KH.C2.743.v1.A.SL2-1
KhL23,71170,71170,71170,-,intergenic,KH.L23.5,KH.L23.5.v1.C.ND1-1
KhC10,865207,865214,865211,-,TSS,KH.C10.590,KH.C10.590.v1.A.nonSL4-1
KhC8,844215,844235,844215,-,TSS,KH.C8.390,KH.C8.390.v1.A.nonSL23-1
KhL76,115376,115381,115381,-,intergenic,KH.L76.13,KH.L76.13.v1.C.ND2-1
KhC8,5846362,5846463,5846409,-,5UTR,KH.C8.719,KH.C8.719.v1.A.SL1-1
KhC6,534190,534210,534198,-,TSS,KH.C6.21,KH.C6.21.v1.A.nonSL3-1
KhC4,2020731,2020769,2020742,+,intergenic,KH.C4.736,KH.C4.736.v1.A.ND1-1
KhL139,212044,212072,212046,+,TSS,KH.L139.10,KH.L139.10.v2.A.nonSL14-1
KhS753,5348,5348,5348,+,intergenic,No_transcripts,No_transcripts
KhS115,205507,205538,205525,+,TSS,KH.S115.16,KH.S115.16.v1.A.nonSL3-1
KhC10,4290614,4290615,4290614,+,intergenic,KH.C10.68,KH.C10.68.v1.A.ND1-1
KhC12,4318075,4318078,4318077,-,TSS,KH.C12.468,KH.C12.468.v1.B.nonSL2-1
KhC12,3354414,3354425,3354425,-,intergenic,KH.C12.570,KH.C12.570.v1.A.ND1-1
KhC10,4713308,4713344,4713344,-,TSS,KH.C10.495,KH.C10.495.v1.A.nonSL3-1
KhC11,4355812,4355842,4355814,-,TSS,KH.C11.535,KH.C11.535.v1.A.nonSL1-1
KhC9,3795073,3795083,3795081,-,TSS,KH.C9.835,KH.C9.835.v1.A.nonSL4-1
KhC7,5800769,5800770,5800769,-,TSS,KH.C7.805,KH.C7.805.v1.A.ND1-1
KhC7,6053403,6053418,6053412,+,TSS,KH.C7.703,KH.C7.703.v2.A.ND1-1
KhL153,259695,259719,259709,+,TAS,KH.L153.32,KH.L153.32.v1.A.SL2-1
KhC5,2224706,2224707,2224706,-,TSS,KH.C5.184,KH.C5.184.v3.A.nonSL8-1
KhC1,1620308,1620308,1620308,+,TSS,KH.C1.1279,KH.C1.1279.v1.A.nonSL10-1
KhC11,4421178,4421198,4421196,+,intergenic,KH.C11.514,KH.C11.514.v1.A.ND1-1
KhC1,5286450,5286454,5286450,-,TSS,KH.C1.336,KH.C1.336.v2.A.ND1-1
KhL133,16860,16913,16889,-,TSS,KH.L133.11,KH.L133.11.v1.A.nonSL7-1
KhL28,54807,54810,54810,+,5UTR,KH.L28.8,KH.L28.8.v1.A.ND1-1
KhC5,2253990,2254119,2254026,+,intron,KH.C5.384,KH.C5.384.v1.B.SL2-1
KhC3,3650847,3650899,3650872,+,TAS,KH.C3.374,KH.C3.374.v2.C.SL1-1
KhC9,5517939,5517944,5517944,-,intergenic,KH.C9.400,KH.C9.400.v1.A.ND1-1
KhC4,4404729,4404736,4404736,+,intron,KH.C4.3,KH.C4.3.v1.A.ND1-1
KhC11,3806985,3807029,3807028,+,TSS,KH.C11.352,KH.C11.352.v1.A.nonSL2-1
KhL153,744713,744821,744787,-,TSS,KH.L153.39,KH.L153.39.v1.B.nonSL2-1
KhC2,1434534,1434534,1434534,+,intergenic,KH.C2.849,KH.C2.849.v1.A.ND1-1
KhC8,4384350,4384374,4384355,+,5UTR,KH.C8.33,KH.C8.33.v1.A.SL4-1
KhL32,10842,10885,10880,-,intergenic,KH.L32.3,KH.L32.3.v1.A.ND1-1
KhC11,4040952,4041063,4041021,-,intergenic,KH.C11.598,KH.C11.598.v1.C.nonSL5-1
KhL107,10859,10866,10862,+,intergenic,KH.L107.6,KH.L107.6.v1.C.ND1-1
KhL132,131903,131905,131903,-,intergenic,KH.L132.4,KH.L132.4.v1.A.ND1-1
KhC14,2467312,2467314,2467313,-,TSS,KH.C14.470,KH.C14.470.v1.A.ND1-1
KhL18,735236,735270,735270,+,intergenic,KH.L18.59,KH.L18.59.v1.A.ND1-1
KhC12,1103475,1103475,1103475,+,TSS,KH.C12.685,KH.C12.685.v1.A.nonSL2-1
KhC2,5831842,5831847,5831846,+,TSS,KH.C2.817,KH.C2.817.v1.A.ND1-1
KhC1,3315319,3315390,3315368,+,TSS,KH.C1.755,KH.C1.755.v1.A.nonSL2-1
KhS406,4414,4472,4430,-,TSS,KH.S406.21,KH.S406.21.v1.A.nonSL10-1
KhC2,1481364,1481371,1481366,+,TSS,KH.C2.86,KH.C2.86.v1.A.nonSL1-1
KhC1,4825128,4825131,4825128,-,intergenic,KH.C1.468,KH.C1.468.v1.A.ND1-1
KhC9,6448778,6448859,6448814,-,intergenic,KH.C9.204,KH.C9.204.v2.A.ND2-1
KhL172,16052,16052,16052,-,TSS,KH.L172.3,KH.L172.3.v1.A.nonSL2-1
KhC5,418112,418185,418123,+,intergenic,KH.C5.481,KH.C5.481.v1.A.ND1-1
KhC1,10010998,10011058,10011024,+,intergenic,KH.C1.777,KH.C1.777.v2.A.nonSL3-1
KhL63,41303,41343,41307,-,5UTR,KH.L63.22,KH.L63.22.v1.A.ND1-1
KhC8,278069,278122,278086,-,intergenic,KH.C8.599,KH.C8.599.v1.A.ND1-1
KhC4,3404493,3404533,3404523,-,intergenic,KH.C4.617,KH.C4.617.v1.A.ND1-1
KhC7,5762046,5762058,5762053,-,TSS,KH.C7.498,KH.C7.498.v1.A.nonSL5-1
KhL84,98359,98442,98399,-,TSS,KH.L84.19,KH.L84.19.v1.A.nonSL3-1
KhL163,15140,15140,15140,+,intergenic,KH.L163.2,KH.L163.2.v1.C.ND1-1
KhC9,5852023,5852024,5852024,+,intron,KH.C9.3,KH.C9.3.v3.A.SL5-1
KhC11,3224414,3224496,3224416,-,TSS,KH.C11.117,KH.C11.117.v1.A.nonSL6-1
KhC5,339031,339048,339035,+,TAS,KH.C5.183,KH.C5.183.v1.A.SL2-1
KhC1,8335085,8335138,8335096,+,5UTR,KH.C1.1179,KH.C1.1179.v1.A.nonSL2-1
KhC1,3771277,3771282,3771279,-,intergenic,KH.C1.737,KH.C1.737.v1.A.nonSL3-1
KhC12,4286619,4286693,4286690,-,intron,KH.C12.414,KH.C12.414.v2.A.SL1-1
KhC8,4785110,4785137,4785129,-,intergenic,KH.C8.841,KH.C8.841.v1.A.nonSL2-1
